word,meaning,pronunciation,syllables,partOfSpeech,example
benefit,The change will benefit employees. / We benefit from exercise.,ˈbe-nə-ˌfit,ben-e-fit,타동사(이익을 주다) / 자동사(from) 구분.,"benefit'는 좋은 결과나 도움을 주는 것, 혹은 회사가 제공하는 '복리 후생'을 의미하는 명사입니다.\r\n The company offers excellent health benefits to all full-time employees."
bill,They billed the client for repairs.,ˈbil,bill,목적어 + for + 이유 구조.,"bill'은 새의 부리라는 뜻도 있지만, 토익에서는 지불해야 할 금액이 적힌 '청구서'나 '계산서'를 의미하는 명사로 주로 쓰입니다.\r\n Please pay the utility bill before the due date."
boost,The campaign boosted sales.,ˈbüst,boost,타동사. 구체적 결과 목적어 필요.,"boost'는 (매출, 사기, 생산성 등을) 밀어 올리거나 '신장시킨다'는 의미의 동사입니다.\r\n The new advertising campaign is expected to boost sales."
brief,The manager briefed the team on the schedule.,ˈbrēf,brief,목적어(사람) + on + 내용. 수동형 빈출.,"brief'는 (시간이나 길이가) '짧거나' (보고서, 설명 등이) '간결하다'는 의미의 형용사입니다.\r\n The manager gave a brief update on the project's progress."
build,They built a new factory. / We built up trust.,ˈbild,build,타동사. up과 함께 ‘강조·축적’ 의미.,"build'는 건물을 '짓다'는 의미 외에, (관계, 경력, 명성 등을) 점진적으로 '구축한다'는 의미의 동사입니다.\r\n We are trying to build strong relationships with our clients."
carry,He carried out the plan successfully.,ˈker-ē,car-ry,carry out = 실행하다. 타동사 구.,"carry'는 물건을 '운반하다'는 의미 외에, 상점에서 특정 상품을 '판매하거나 취급한다'는 의미로도 쓰이는 동사입니다.\r\n This supermarket carries a wide variety of organic products."
certify,The report certified that the product was safe.,ˈsər-tə-ˌfī,cer-ti-fy,목적어 혹은 명사절을 취함.,certify'는 (권위 있는 기관이) 어떤 사실이나 자격을 공식적으로 '증명하거나' '인증한다'는 의미의 동사입니다.\r\n All our technicians are certified to repair this equipment.
change,They changed the plan. / Water changes into vapor.,ˈchānj,change,타/자동사 모두 가능.,"change'는 (날짜, 계획, 정책 등을) 이전과 다르게 '바꾸거나' '변경한다'는 의미의 동사입니다.\r\n We need to change the date of the monthly meeting."
check,Please check your email. / Check for errors.,ˈchek,check,"타동사(검사), 자동사(for ~확인).","check'는 (재고, 상태, 정보 등을) '검사'하거나 '확인한다'는 의미의 동사입니다.\r\n Please check the inventory to see if we have the item in stock."
choose,He chose the best candidate. / She chose to stay.,ˈchüz,choose,목적어 또는 to부정사 가능.,choose'는 (여러 선택지 중에서) 자유롭게 '선택하거나' '고른다'는 의미의 동사입니다.\r\n Customers can choose between standard and express shipping.
cite,The article cited several studies.,ˈsīt,cite,타동사. ‘근거·자료’ 목적어로.,"cite'는 (법정에) '소환하다'는 의미도 있으나, (연구, 예시, 자료 등을) '인용하거나' '언급한다'는 의미로 더 자주 쓰이는 동사입니다.\r\n The report cites several studies on market trends."
claim,He claimed that he was innocent.,ˈklām,claim,명사절 목적어 자주 사용.,"claim'은 (비용, 보상, 수하물 등을) 자신의 권리로서 '요구'하거나 '청구한다'는 의미의 동사입니다.\r\n You can claim your travel expenses by submitting the receipts."
clarify,Could you clarify your point?,ˈkler-ə-ˌfī,clar-i-fy,타동사. 말·입장 목적어.,clarify'는 (불분명한 점을) 더 이해하기 쉽게 '명확하게' 만든다는 의미의 동사입니다.\r\n Could you clarify the new policy on remote work?
close,The store closed early. / They closed down the branch.,ˈklōz,close,"자동사(닫히다), 타동사(닫다).","close'는 문을 '닫다'는 의미 외에, (계약이나 거래를) 성공적으로 '마무리'하거나 '성사시킨다'는 의미의 동사입니다.\r\n We expect to close the deal by the end of the week."
coincide,His opinion coincides with mine.,ˌkō-ən-ˈsīd,co-in-cide,자동사 + with. ‘의견·시기’ 주로.,coincide'는 두 개 이상의 사건이 (우연히) 같은 시간에 '동시에 일어나거나' '겹친다'는 의미의 동사입니다.\r\n The CEO's visit will coincide with the company's anniversary.
collaborate,The teams collaborated with each other on the project.,kə-ˈla-bə-ˌrāt,col-lab-o-rate,자동사 + with/on 고정 구문.,collaborate'는 (특히 지적인 작업에서) 다른 사람이나 팀과 '공동으로 일'하거나 '협력한다'는 의미의 동사입니다.\r\n The marketing and R&D departments will collaborate on this new product.
collect,She collected stamps as a hobby.,kə-ˈlekt,col-lect,타동사. 수동형 가능.,"collect'는 (데이터, 피드백, 물건 등을) 여러 곳에서 '모으거나' '수집한다'는 의미의 동사입니다. (제공된 '짧은 기도'라는 명사 뜻은 토익에서 쓰이지 않습니다.)\r\n We need to collect customer feedback to improve our service."
combine,Combine theory with practice.,kəm-ˈbīn,com-bine,타/자동사 모두 가능.,combine'은 (두 개 이상의 것을) 하나로 '합치거나' '결합한다'는 의미의 동사입니다.\r\n The two companies will combine to form a larger corporation.
commit,She committed herself to helping others.,kə-ˈmit,com-mit,"자동사(to -ing), 타동사(저지르다).","commit'는 (범죄 등) 나쁜 일을 '저지르다'는 뜻도 있지만, (주로 'be committed to' 형태로) '~에 '전념하다', '헌신하다'는 의미로도 자주 쓰이는 동사입니다.\r\n Our company is committed to providing excellent customer service."
compare,Compare your answer with mine.,kəm-ˈper,com-pare,with/to 모두 가능. to는 유사 비교.,compare'는 (두 개 이상의 것을) 유사점이나 차이점을 찾기 위해 '비교한다'는 의미의 동사입니다.\r\n We need to compare the prices of several suppliers.
compete,Many firms compete for talent.,kəm-ˈpēt,com-pete,자동사 + 전치사 with/for.,compete'는 (상대방보다) 더 나은 성과나 이익을 얻기 위해 '경쟁한다'는 의미의 동사입니다.\r\n Our company must compete globally to survive.
compile,He compiled data from several sources.,kəm-ˈpī(-ə)l,com-pile,타동사. 자료·데이터 목적어.,compile'는 (여러 출처의 자료나 정보)를 모아서 하나로 '엮거나' '편집한다'는 의미의 동사입니다.\r\n The intern was asked to compile a list of potential clients.
complete,Please complete the form.,kəm-ˈplēt,com-plete,타동사. 완성 대상 목적어 필요.,"complete'는 (필요한 모든 부분이 포함되어) '완벽'하거나 '빠짐없는', 혹은 '완료된' 상태를 의미하는 형용사입니다.\r\n Please fill out the complete application form."
comply,All staff must comply with regulations.,kəm-ˈplī,com-ply,자동사 + with. 수동형 불가.,"comply'는 (주로 'comply with' 형태로) 법률, 규정, 요청 등을 '따르거나' '준수한다'는 의미의 동사입니다.\r\n All factories must comply with environmental regulations."
compromise,We compromised on the price.,ˈkäm-prə-ˌmīz,com-pro-mise,자동사. on + 조건 형태 자주.,compromise'는 (서로 다른 의견을 가진 양측이) 상호 양보를 통해 도달하는 '합의'나 '타협'을 의미하는 명사입니다.\r\n Both sides had to make concessions to reach a compromise.
conceal,He concealed the truth.,kən-ˈsēl,con-ceal,타동사. ‘정보·사실’ 목적어.,conceal'은 (사실이나 물건 등을) 다른 사람이 알거나 보지 못하도록 '숨기거나' '감춘다'는 의미의 동사입니다.\r\n It is illegal to conceal important information from investors.
conduct,They conducted a survey.,kən-ˈdəkt,con-duct,타동사. 조사·행동·연구 목적어.,"conduct'는 (조사, 연구, 회의 등을) 조직하고 '수행'하거나 '실시한다'는 의미의 동사입니다.\r\n The company will conduct a survey to measure employee satisfaction."
confirm,Please confirm your reservation.,kən-ˈfərm,con-firm,타동사. 명사절 가능.,"confirm'은 (예약, 정보, 일정 등이) 확실한지 다시 '확인'하거나 '확정한다'는 의미의 동사입니다.\r\n I am calling to confirm my flight reservation for tomorrow."
congratulate,We congratulated her on her success.,kən-ˈgra-chə-ˌlāt,con-grat-u-late,사람 목적어 + on + 이유.,congratulate'는 (누군가의 성공이나 좋은 일에 대해) '축하'의 말을 전한다는 의미의 동사입니다.\r\n We congratulate the sales team on exceeding their targets.
conserve,We must conserve energy.,kən-ˈsərv,con-serve,타동사. 자원·환경 관련 목적어.,"conserve'는 (자원, 에너지 등을) 낭비하지 않고 '아껴 쓰거나' '보존한다'는 의미의 동사입니다.\r\n The new policy is designed to conserve energy in the office."
consider,We considered him a friend. / She considered applying for the job.,kən-ˈsi-dər,con-sid-er,"목적어, to부정사, 동명사, 명사절 모두 가능.",consider'는 (결정을 내리기 전에) 어떤 사안이나 가능성을 신중하게 '생각'하거나 '고려한다'는 의미의 동사입니다.\r\n We are considering several candidates for the position.
consist,The team consists of five members.,kən-ˈsist,con-sist,자동사 + of. 항상 수동형 불가.,consist'는 (주로 'consist of' 형태로) 여러 부분이나 요소들로 '구성'되거나 '이루어져 있다'는 의미의 동사입니다.\r\n The review panel consists of five experts from the industry.
constitute,Women constitute half of the population.,ˈkän(t)-stə-ˌtüt,con-sti-tute,타동사. consist와 반대(수동 가능).,"constitute'는 (어떤 것의) 구성 요소가 되거나, (어떤 행위가) 특정 상태나 결과에 해당한다는 의미의 동사입니다.\r\n These errors constitute a violation of the company's policy."
consult,He consulted a lawyer. / She consulted with her manager.,kən-ˈsəlt,con-sult,사람을 목적어로 취하거나 with 사용 가능.,"consult'는 (전문가에게) 조언을 구하거나 '상담하다', 혹은 (문서, 매뉴얼 등에서) 정보를 '참고하다'는 의미의 동사입니다.\r\n Please consult the user manual before operating the machine."
contact,Please contact our office.,ˈkän-ˌtakt,con-tact,타동사. ‘with’ 사용하지 않음.,contact'는 (사람이나 사물 사이의) '접촉' 혹은 (사람들 간의) '연락'을 의미하는 명사입니다.\r\n Please provide your contact information on the form.
contain,The box contains old photos.,kən-ˈtān,con-tain,타동사. 수동형 가능.,contain'은 (어떤 것이) 내부에 무언가를 '담고 있거나' '포함한다'는 의미의 동사입니다.\r\n This package contains the fragile items you ordered.
continue,She continued to work despite the pain.,kən-ˈtin-(ˌ)yü,con-tin-ue,자동·타동 모두 가능.,continue'는 (어떤 상태나 행동을) 멈추지 않고 '계속'하거나 '지속한다'는 의미의 동사입니다.\r\n The factory will continue operations throughout the holiday weekend.
contribute,He contributed to the project’s success.,kən-ˈtri-(ˌ)byüt,con-trib-ute,자동사 + to. 수동형 불가.,"contribute'는 (돈, 시간, 아이디어 등을) '기부'하거나 '제공'함으로써 (~에) '기여한다'는 의미의 동사입니다.\r\n All team members are expected to contribute ideas to the project."
