word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
hands-on,The trainees gained hands-on experience during the workshop.,ˈhan(d)z-ˈȯn,hands-on,"직접 해보는, 실무의","'hands-on'은 이론만이 아닌, 실제 행동을 통해 직접 경험하는, 즉 '실습의' 또는 '실무적인'이라는 의미의 형용사입니다. (예: hands-on experience - 실무 경험)",The workshop provided ____ experience that helped new hires learn quickly.
ideal,This hotel is an ideal place for a family vacation.,ī-ˈdē(-ə)l,ide-al,이상적인,"'ideal'은 생각할 수 있는 것 중 가장 완벽하고 최상의 상태, 즉 '이상적인'이라는 의미의 형용사입니다.",She is the ____ candidate for the front-desk position.
identical,The twins wore identical outfits to the party.,ī-ˈden-ti-kəl,iden-ti-cal,동일한,"'identical'은 모든 면에서 두 개 이상의 대상이 완전히 똑같은, 즉 '동일한' 상태를 나타내는 형용사입니다.",The two samples produced ____ results in the lab test.
immediate,We must take immediate action to prevent damage.,i-ˈmē-dē-ət,im-me-di-ate,즉각적인; 바로 옆의,"'immediate'는 시간적으로 지체 없는 '즉각적인'이라는 의미와, 공간적으로 바로 '옆에 있는', '직속의'라는 두 가지 주요 의미를 가집니다.",The situation requires ____ action from the management team.
immense,The company made an immense profit last quarter.,i-ˈmen(t)s,im-mense,"엄청난, 어마어마한","'immense'는 크기, 양, 정도 등이 측정하기 어려울 정도로 '거대한' 또는 '엄청난'이라는 의미의 형용사입니다.",The new product has ____ potential in the Asian market.
impressive,The students gave an impressive presentation.,im-ˈpre-siv,im-pres-sive,인상적인,"'impressive'는 뛰어난 솜씨나 규모 등으로 깊은 감명이나 존경심을 불러일으키는, 즉 '인상적인'이라는 의미의 형용사입니다.",The CEO gave an ____ speech that motivated the staff.
incidental,He received an incidental expense reimbursement.,ˌin(t)-sə-ˈden-tᵊl,in-ci-den-tal,부수적인,'incidental'은 주요한 일에 덧붙여 발생하는 '부수적인' 또는 '중요하지 않은' 일을 묘사하는 형용사입니다. (예: incidental expenses - 부대 비용),Please keep receipts for any ____ expenses during your trip.
inclement,The event was canceled due to inclement weather.,(ˌ)in-ˈkle-mənt,in-clem-ent,"(날씨가) 궂은, 혹독한","'inclement'는 비나 눈, 바람 등으로 날씨가 매우 좋지 않은, 즉 '궂은' 또는 '혹독한' 상태를 나타내는 격식 있는 단어입니다.",The outdoor event was canceled due to ____ weather.
informative,It was an informative seminar about digital marketing.,in-ˈfȯr-mə-tiv,in-for-ma-tive,"유익한, 정보를 많이 주는","'informative'는 유용하거나 흥미로운 정보를 많이 담고 있어 '유익한' 책, 웹사이트, 대화 등을 묘사하는 형용사입니다.",The brochure was short but very ____.
initial,Please sign the initial contract to start the process.,i-ˈni-shəl,ini-tial,"처음의, 초기의","'initial'은 어떤 과정이나 기간의 맨 앞부분, 즉 '처음의' 또는 '초기의'라는 의미를 가진 형용사입니다.",Please submit your report at the ____ stage of the project.
innovative,The company introduced an innovative product this year.,ˈi-nə-ˌvā-tiv,in-no-va-tive,혁신적인,"'innovative'는 기존의 방식에서 벗어나 새롭고 독창적인 아이디어나 기술을 도입하는, 즉 '혁신적인'이라는 의미의 형용사입니다.",Our team developed an ____ design that reduces costs.
intensive,We offer an intensive training program for new employees.,in-ˈten(t)-siv,in-ten-sive,집중적인,"'intensive'는 짧은 시간 안에 많은 노력이나 활동을 쏟아붓는, 즉 '집중적인' 또는 '집약적인'이라는 의미의 형용사입니다.",All new employees must complete ____ training this week.
invaluable,Her advice was an invaluable resource during the project.,(ˌ)in-ˈval-yə-bəl,in-valu-able,매우 귀중한,'invaluable'은 값을 매길 수 없을 정도로 '매우 귀중한' 또는 '소중한'이라는 의미의 형용사입니다. 접두사 'in-'이 부정의 의미가 아니라 강조의 의미로 쓰인 특별한 경우입니다.,Your feedback has been ____ in improving our service.
invigorated,The manager gave an invigorated speech to motivate the staff.,in-ˈvi-gə-ˌrāt,in-vig-o-rat-ed,활력을 되찾은,'invigorated'는 기운이나 활력을 되찾아 '생기가 넘치는' 상태를 묘사하는 형용사입니다.,"After the team-building event, everyone felt ____ and focused."
joint,They signed a joint agreement between two companies.,ˈjȯint,joint,공동의; 관절,"'joint'는 둘 이상의 사람이나 그룹이 함께하는 '공동의'라는 의미의 형용사와, 뼈와 뼈가 만나는 '관절'이라는 의미의 명사로 쓰입니다.",The two firms formed a ____ venture to enter Europe.
key,Communication is a key skill for team leaders.,ˈkē,key,"핵심적인, 중요한",'key'는 문제 해결이나 성공에 있어 가장 '핵심적인' 또는 '중요한' 역할을 하는 것을 묘사하는 형용사입니다. 명사로는 '열쇠'를 의미합니다.,Customer service is a ____ priority for our company.
large-scale,The company launched a large-scale project in Asia.,,large-scale,대규모의,"'large-scale'은 많은 사람이나 자원이 동원되거나 넓은 지역에 걸쳐 이루어지는, 즉 '대규모의'라는 의미를 가진 형용사입니다.",The city plans a ____ redevelopment of the waterfront.
latest,She bought the latest model of the smartphone.,ˈlā-təst,lat-est,최신의,"'latest'는 'late'의 최상급으로, 시간상 가장 최근의, 즉 '최신의'라는 의미를 가집니다.",Please install the ____ version of the software.
legal,The company hired a new legal advisor.,ˈlē-gəl,le-gal,"법률의, 합법적인","'legal'은 법과 관련된 '법률의'라는 의미와, 법으로 허용되는 '합법적인'이라는 두 가지 의미를 가집니다.",We need ____ approval before signing the contract.
legible,Please write your name in legible handwriting.,ˈle-jə-bəl,leg-i-ble,"읽기 쉬운, 또렷한",'legible'은 글씨가 명확하여 '읽기 쉬운' 또는 '알아볼 수 있는' 상태를 묘사하는 형용사입니다.,Make sure the handwriting on the form is ____ and clear.
lenient,The teacher took a lenient attitude toward late students.,ˈlē-nē-ənt,le-nient,관대한,'lenient'는 처벌이나 규칙 적용에 있어 너그럽고 '관대한' 태도를 묘사하는 형용사입니다.,The supervisor was ____ with minor first-time mistakes.
likely,It is a likely outcome given the current situation.,ˈlī-klē,like-ly,"~할 것 같은, ~할 가능성이 있는",'likely'는 어떤 일이 일어날 '가능성이 높은' 상태를 나타냅니다. 'be likely to do ~' 형태로 '~할 것 같다'라고 쓰입니다.,"It is ____ to rain this afternoon, so bring an umbrella."
limited,The seats are available in limited quantity.,ˈli-mə-təd,lim-it-ed,제한된,"'limited'는 수, 양, 범위 등이 정해져 있어 '한정된' 또는 '제한적인' 상태를 나타내는 형용사입니다.",Seating is ____ for the keynote session.
local,We support local businesses in our community.,ˈlō-kəl,lo-cal,"지역의, 현지의",'local'은 자신이 살고 있거나 현재 이야기하고 있는 특정 '지역의' 또는 '현지의'라는 의미를 가진 형용사입니다.,We prefer to hire from the ____ community when possible.
long-standing,They have a long-standing relationship with the supplier.,ˈlȯŋ-ˈstan-diŋ,long-stand-ing,오래된,"'long-standing'은 오랜 기간 동안 계속되어 온 관계, 문제, 전통 등을 묘사하는 형용사입니다.",They have a ____ partnership with a major supplier.
long-time,He is a long-time customer of our company.,ˈlȯŋ-ˈtīm,long-time,오랜 시간 동안의,'long-time'은 오랜 기간 동안 어떤 관계나 상태가 지속되어 왔음을 나타내는 형용사입니다. (예: long-time friend - 오랜 친구),She is a ____ supporter of the charity.
loyal,The company rewards loyal employees with bonuses.,ˈlȯi(-ə)l,loy-al,"충성스러운, 의리 있는","'loyal'은 어떤 사람, 단체, 국가 등에 대해 변함없는 지지와 믿음을 보이는, 즉 '충성스러운' 또는 '의리 있는' 태도를 묘사하는 형용사입니다.",Our ____ customers receive early access to new items.
lucrative,They found a lucrative opportunity in the foreign market.,ˈlü-krə-tiv,lu-cra-tive,수익성이 좋은,"'lucrative'는 많은 돈을 벌 수 있는, 즉 '수익성이 좋은' 사업이나 직업을 묘사하는 형용사입니다.",The new licensing deal proved highly ____.
mandatory,Attendance at the meeting is mandatory requirement.,ˈman-də-ˌtȯr-ē,man-da-to-ry,의무적인,"'mandatory'는 법이나 규정에 의해 반드시 따라야 하는, 즉 '의무적인' 또는 '필수적인'이라는 의미의 형용사입니다.",Attendance at the safety seminar is ____.
marine,The island is home to marine species found nowhere else.,mə-ˈrēn,ma-rine,"바다의, 해양의","'marine'은 바다나 바다 생물과 관련된, 즉 '해양의'라는 의미를 가진 형용사입니다. (예: marine biology - 해양 생물학)",The lab studies ____ life along the coastline.
