word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
daunting,Starting a new business can be a daunting task.,ˈdȯn-tiŋ,daunt-ing,domare (길들이다) / 억누르다,"'daunting'은 어떤 과업이나 도전이 너무 크고 어려워 보여 '겁이 나는', '주눅이 들게 하는', '벅찬'이라는 의미의 형용사입니다.","The project looked ____ at first, but the team succeeded."
defective,We need to replace the defective parts immediately.,di-ˈfek-tiv,de-fec-tive,de- + fect / 아래로 + 만들다,'defective'는 제품 등이 제대로 만들어지지 않아 '결함이 있는' 상태를 묘사하는 형용사입니다.,The company recalled all ____ products immediately.
definite,We need a definite answer by tomorrow.,ˈde-fə-nit,def-i-nite,de- + fin / 완전히 + 경계짓다,'definite'는 의심의 여지가 없이 '확실한' 또는 내용이 '명확한' 상태를 나타내는 형용사입니다.,We need a ____ answer before we can move forward.
deliberate,The board made a deliberate decision after long discussion.,di-ˈli-bə-ˌrāt,de-lib-er-ate,de- + liber / 완전히 + 저울질하다,"'deliberate'는 우연이 아닌 '의도적인' 행동을 묘사하며, 서두르지 않고 '신중한' 태도를 나타내기도 합니다. 동사로는 '심사숙고하다'는 의미입니다.",Her action was not a mistake; it was ____.
delicate,Please handle the delicate materials with care.,ˈde-li-kət,del-i-cate,"delic / 즐거운, 섬세한","'delicate'는 모양이나 색깔이 '섬세하고 우아한' 상태를, 또는 부서지거나 손상되기 쉬운 '연약한' 상태를 묘사하는 형용사입니다.",Handle the glass vase carefully; it’s very ____.
demographic,The demographic data shows an aging population.,ˌde-mə-ˈgra-fik,dem-o-graph-ic,demo + graph / 사람 + 기록하다,"'demographic'은 특정 집단의 연령, 성별, 소득, 교육 수준 등 '인구 통계학적인' 특성과 관련된 것을 나타내는 형용사입니다. 명사로는 '인구 통계'를 의미합니다.",The company is studying the ____ trends of online consumers.
desirable,Good communication skills are desirable qualities in a leader.,di-ˈzī-rə-bəl,de-sir-able,de- + sire / 완전히 + 바라다,"'desirable'은 많은 사람들이 갖고 싶어 하거나 그렇다고 생각하는, 즉 '바람직한', '매력적인', '가치 있는'이라는 의미의 형용사입니다.",Good communication skills are always ____.
diligent,He is known as a diligent employee in the company.,ˈdi-lə-jənt,dil-i-gent,di- + leg / 완전히 + 선택하다,"'diligent'는 자신의 일에 주의와 노력을 기울이는, 즉 '성실한' 또는 '근면한' 태도를 묘사하는 형용사입니다.",She is a ____ student who studies late every night.
distinguished,She received an award for her distinguished career.,dɪˈstɪŋɡwɪʃt,dis-tin-guished,dis- + stinguish / 분리하다 + 표시하다,"'distinguished'는 특정 분야에서 큰 성공을 거두어 많은 사람들에게 존경받는, 즉 '저명한' 또는 '뛰어난' 인물을 묘사하는 형용사입니다.",He is one of the most ____ scientists in the country.
diversified,The company offers a diversified portfolio of products.,də-ˈvər-sə-ˌfīd,di-ver-si-fied,di- + vers / 떨어져 + 돌다,"'diversified'는 한 가지에 집중하지 않고 여러 다른 종류로 구성된, 즉 '다양화된' 또는 '다각화된' 상태를 나타냅니다.",The company has a ____ portfolio of products in many industries.
due,The due date for payment is next Friday.,ˈdü,due,debere / 빚지다,"'due'는 '~할 예정인'이라는 의미와, '지불 기일이 된', 그리고 '마땅히 받아야 할' 등 다양한 의미로 쓰입니다. 'due to'는 '~ 때문에'라는 뜻의 중요한 전치사구입니다.",The final report is ____ next Monday.
durable,The shoes are made of durable material.,ˈdu̇r-ə-bəl,du-ra-ble,dur / 견디다,"'durable'은 오랫동안 사용해도 쉽게 닳거나 망가지지 않는, 즉 '내구성이 좋은' 또는 '튼튼한' 제품의 특성을 묘사하는 형용사입니다.",This bag is made of ____ leather that will last for years.
ecological,We should consider ecological factors before construction.,ˌē-kə-ˈlä-ji-kəl,eco-log-i-cal,eco + log / 집 + 학문,'ecological'은 생물과 환경의 상호 관계를 연구하는 '생태학의'라는 의미를 가진 형용사입니다.,We must protect the forest for ____ reasons.
effective,The new policy had an effective result on the market.,i-ˈfek-tiv,ef-fec-tive,ef- + fect / 밖으로 + 만들다,"'effective'는 원하는 결과나 목적을 성공적으로 달성하는, 즉 '효과적인'이라는 의미의 형용사입니다.",The new strategy proved to be highly ____.
elaborate,The architect designed an elaborate structure for the museum.,i-ˈla-b(ə-)rət,elab-o-rate,e- + labor / 밖으로 + 일하다,"'elaborate'는 많은 세부 사항으로 복잡하고 '정교하게' 만들어진 것을 묘사하는 형용사와, 어떤 것에 대해 '상세하게 덧붙여 설명하다'라는 의미의 동사로 쓰입니다.",She gave an ____ description of the new policy.
electronic,You can make an electronic payment online.,i-ˌlek-ˈträ-nik,elec-tron-ic,electr / 호박(amber) → 전기,"'electronic'은 컴퓨터, 스마트폰 등 전자 회로를 사용하는 장비와 관련된, 즉 '전자의'라는 의미를 가진 형용사입니다. (예: electronic mail - 이메일)",All invoices must be sent by ____ mail.
elementary,The book explains elementary concepts in science.,ˌe-lə-ˈmen-tə-rē,el-e-men-ta-ry,element / 기본 구성 요소,'elementary'는 어떤 주제의 가장 '기초적인' 또는 '초보 단계의'라는 의미를 가진 형용사입니다. (예: elementary school - 초등학교),The course is designed for ____ learners.
eligible,Only eligible applicants will be interviewed.,ˈe-lə-jə-bəl,el-i-gi-ble,e- + leg / 밖으로 + 고르다,'eligible'은 특정 조건을 충족하여 어떤 직책을 맡거나 혜택을 받을 '자격이 있는' 상태를 나타내는 형용사입니다. 'be eligible for ~' 또는 'be eligible to do ~' 형태로 자주 쓰입니다.,Only members are ____ to apply for the scholarship.
emphatic,He gave an emphatic denial of the rumor.,im-ˈfa-tik,em-phat-ic,em- + phan / phanai / 안에 + 나타내다,"'emphatic'은 자신의 의견이나 감정을 매우 강하게 표현하는, 즉 '단호한' 또는 '강력히 주장하는' 태도를 묘사하는 형용사입니다.",The teacher was ____ when explaining the rules.
encouraging,The manager gave an encouraging speech to the staff.,in-ˈkər-i-jiŋ,en-cour-ag-ing,en- + courage / 안에 + 용기,'encouraging'은 자신감이나 희망을 갖게 하여 '힘이 되는' 또는 '고무적인' 소식이나 말을 묘사하는 형용사입니다.,The first month’s sales results are very ____.
enthusiastic,She is an enthusiastic supporter of the new project.,in-ˌthü-zē-ˈa-stik,en-thu-si-as-tic,en- + theos / 안에 + 신,"'enthusiastic'은 어떤 것에 대해 강한 흥분과 관심을 보이는, 즉 '열정적인' 또는 '열렬한' 태도를 묘사하는 형용사입니다.",All employees are ____ to take paid leave.
entitled,You are entitled benefits to receive company benefits.,in-ˈtī-tᵊld,en-ti-tled,en- + title / 안에 + 이름,'entitled'는 법이나 규정에 따라 어떤 것을 받거나 할 '권리가 있는' 상태를 나타냅니다. 'be entitled to ~' 형태로 자주 쓰입니다.,Make sure the surface is perfectly ____ before painting it.
even,The road has an even surface.,ˈē-vən,even,게르만어 efen / 평평한,"'even'은 표면이 '평평한', 숫자가 '짝수의'라는 의미의 형용사와, 예상 밖의 것을 강조하는 '심지어 ~조차도'라는 의미의 부사로 쓰입니다.",Her work performance has been truly ____.
exemplary,She received an award for her exemplary performance.,ig-ˈzem-plə-rē,ex-em-pla-ry,ex- + empl / emere / 밖으로 + 취하다,"'exemplary'는 매우 훌륭하여 다른 사람의 본보기가 될 만한, 즉 '모범적인' 행동이나 태도를 묘사하는 형용사입니다.",The company plans to replace all ____ machines this year.
existing,We must review the existing policy before making changes.,ig-ˈzist,ex-ist-ing,ex- + sist / 밖으로 + 서다,"'existing'은 새로운 것이 아니라 이전부터 '이미 존재하고 있는', '기존의'라는 의미를 가진 형용사입니다.",That watch is too ____ for a student to buy.
expensive,He bought an expensive watch for his father.,ik-ˈspen(t)-siv,ex-pen-sive,"ex- + pend / 밖으로 + 무게달다, 지불하다","'expensive'는 가격이 높은, 즉 '값비싼'이라는 의미를 가진 가장 일반적인 형용사입니다.",The company has ____ knowledge of the Asian market.
