word,meaning,pronunciation,syllables,partOfSpeech,example
rehearsal,"The practicing of something which is to be performed before an audience, usually to test or improve the interaction between several participating people, or to allow technical adjustments with respect to staging to be done.",/ɹɪˈhɜː(ɹ)səl/,r-eh-ears-al,noun,
rehearse,"To repeat, as what has been already said; to tell over again; to recite.",[ɹɪˈhɜːs],r-eh-ears-e,verb,"There's no need to rehearse the same old argument; we've heard it before, and we all agree."
reimburse,"To compensate with payment; especially, to repay money spent on one's behalf.",,r-eimb-urs-e,verb,The company will reimburse you for your expenses for the business trip.
reimbursement,The act of compensating someone for an expense.,/ˌɹiː.ɪmˈbɜːs.mənt/,r-eimb-urs-em-ent,noun,
reinforce,"To strengthen, especially by addition or augmentation.",/ˌɹiːɪnˈfɔː(ɹ)s/,r-einf-orc-e,verb,He reinforced the handle with a metal rod and a bit of tape.
relaxation,The act of relaxing or the state of being relaxed; the opposite of stress or tension; the aim of recreation and leisure activities.,/ˌɹilækˈseɪʃən/,r-el-ax-at-ion,noun,relaxation of the soft palate
reliability,"The quality of being reliable, dependable or trustworthy.",,r-el-iab-il-it-y,noun,
relieve,"To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the distress of.",/ɹɪˈliːv/,r-el-iev-e,verb,I was greatly relieved by the jury's verdict.
relocate,To move (something) from one place to another.,,r-el-oc-at-e,verb,We had to relocate the magazine rack because we bruised our shins on it too frequently when it was near the door.
relocation,The act of moving from one place to another.,/ˌɹiːləʊˈkeɪʃən/,r-el-oc-at-ion,noun,
reluctant,Opposing; offering resistance (to).,/ɹɪˈlʌktənt/,r-el-uct-ant,adjective,She was reluctant to lend him the money
remainder,A part or parts remaining after some has/have been removed.,/ɹəˈmeɪndə/,r-em-aind-er,noun,My son ate part of his cake and I ate the remainder.
reminder,Someone or something that reminds.,,r-em-ind-er,noun,He left a note as a reminder to get groceries.
remodel,"To change the appearance, layout, or furnishings of.",,r-em-od-el,verb,
removal,"The process of moving, or the fact of being removed.",/ɹəˈmuːvəl/,r-em-ov-al,noun,
renew,To make (something) new again; to restore to freshness or original condition.,/ɹɪˈnjuː/,r-en-ew,verb,I'd like to renew these three books.  Did you know that you can renew online?
renewal,The act of renewing.,,r-en-ew-al,noun,
renovate,To renew; to revamp something to make it look new again.,/ˈɹenəʊveɪt/,r-en-ov-at-e,verb,
renovation,"An act, or the process, of renovating.",,r-en-ov-at-ion,noun,
renown,Fame; celebrity; wide recognition.,/ɹɪˈnaʊn/,r-en-own,noun,
rental,Something that is rented.,/ˈɹɛntəl/,r-ent-al,noun,"It's just a rental, so I don't need to take very good care of it."
renter,"A male prostitute, typically young and gay.",,r-ent-er,noun,
reopen,To open (something) again.,,r-eop-en,verb,
repairperson,,,r-ep-airp-ers-on,,
repeatedly,Done several times or in repetition.,/ɹɪˈpiːtɪdli/,r-ep-eat-edl-y,adverb,"He repeatedly violated the court order, and shall now be punished."
repetition,The act or an instance of repeating or being repeated.,/ɹɛpəˈtɪʃən/,r-ep-et-it-ion,noun,
replacement,A person or thing that takes the place of another; a substitute.,/ɹɪˈpleɪsmənt/,r-epl-ac-em-ent,noun,The replacement of that broken light-bulb will have to wait until I can buy a new one.
reproduce,To produce an image or copy of.,/ˌɹi.pɹoʊˈdjus/,r-epr-od-uc-e,verb,
reschedule,To schedule again or at a different time.,,r-esch-ed-ul-e,verb,We'll have to reschedule next Monday's meeting because of the public holiday.
resemble,To be like or similar to (something); to represent as similar.,/ɹɪˈzɛmb(ə)l/,r-es-embl-e,verb,The twins resemble each other.
reservation,"The act of reserving, withholding or keeping back.",/ˌɹɛzəˈveɪʃən/,r-es-erv-at-ion,noun,The committee authorised the reservation of funds.
residence,The place where one lives; one's home.,/ˈɹɛz.ɪ.dəns/,r-es-id-enc-e,noun,
residential,A trip during which people temporarily live together.,,r-es-id-ent-ial,noun,The youth group organises annual residentials.
resignation,The act of resigning.,/ɹɛzɪɡˈneɪʃən/,r-es-ign-at-ion,noun,
respondent,One who responds; one who replies.,,r-esp-ond-ent,noun,
restatement,The act of restating.,,r-est-at-em-ent,noun,
restroom,A room containing a public toilet: a public lavatory.,,r-estr-oom,noun,Could you tell me where I can find the restroom?
resume,To take back possession of (something).,/ɹəˈzjuːm/,r-es-um-e,verb,We will resume this discussion tomorrow at nine.
résumé,A summary or synopsis.,,ré-sumé,noun,
retailer,A retail sales company or salesman.,,r-et-ail-er,noun,
retreat,"The act of pulling back or withdrawing, as from something dangerous, or unpleasant.",/ɹəˈtɹiːt/,r-etr-eat,noun,a retreating forehead
retrieve,A retrieval,/ɹiˈtɹiv/,r-etr-iev-e,noun,to retrieve one's character or independence; to retrieve a thrown ball
reunion,The process or act of reuniting.,/ɹiːˈjuːnjən/,r-eun-ion,noun,It was a tearful and heartfelt reunion as the trapped miners finally saw their dear loved ones again.
reviewer,A person who writes reviews for a newspaper or other publication; a critic.,,r-ev-iew-er,noun,
revision,The process of revising:,/riˈvɪ.ʒ(ə)n/,r-ev-is-ion,noun,A revision story
revolutionize,"To radically or significantly change, as in a revolution",,r-ev-ol-ut-ion-iz-e,verb,
rewrite,The act of writing again or anew.,/ˈɹiː.ɹaɪt/,r-ewr-it-e,noun,The film script underwent a rewrite for the European market.

