word,meaning,pronunciation,syllables,partOfSpeech,example
upcoming,The act of coming up.,,upc-om-ing,noun,The Federal budget lays out government spending for the upcoming budget year.
upgrade,An upward grade or slope.,/ˈʌp.ɡɹeɪd/,upgr-ad-e,noun,"With my phone company, I get a free upgrade every twelve months if I keep topping up 10 pounds a month."
upstairs,An upper storey.,/ˈʌpˌstɛəz/,upst-airs,noun,They can sleep in the upstairs bedroom.
urgent,Requiring immediate attention.,/ˈɜːdʒənt/,urg-ent,adjective,An urgent appeal was sent out for assistance.
urgently,"With great haste, with a sense of urgency, because it is very important.",,urg-entl-y,adverb,Funds are urgently required if this work is to be completed as planned.
usage,The manner or the amount of using; use.,/ˈjuːsɪd͡ʒ/,us-ag-e,noun,
utility,The state or condition of being useful; usefulness.,/juːˈtɪl.ɪ.ti/,ut-il-it-y,noun,I've bought a new disk utility that can recover deleted files.
vacancy,An unoccupied position or job.,/ˈveɪkənsi/,v-ac-anc-y,noun,
vacant,Not occupied; empty.,/ˈveɪkənt/,v-ac-ant,adjective,a vacant stare
vacate,"To move out of a dwelling, either by choice or by eviction.",,v-ac-at-e,verb,"I have to vacate my house by midday, as the new owner is moving in."
vacation,Freedom from some business or activity.,/veɪˈkeɪʃ(ə)n/,v-ac-at-ion,noun,The Conservative Party’s vacation of the centre ground gave an opportunity to its opponents.
vacuum,A region of space that contains no matter.,/ˈvæ.kjuː.əm/,v-ac-uum,noun,"a vacuum of 26 inches of mercury, or 13 pounds per square inch"
valid,"Well grounded or justifiable, pertinent.",/ˈvælɪd/,v-al-id,adjective,I will believe him as soon as he offers a valid answer.
validate,To render valid.,/ˈvæl.ɪ.deɪt/,v-al-id-at-e,verb,The data file cannot be imported because it doesn't validate.
vanilla,"Any tropical, climbing orchid of the genus Vanilla (especially Vanilla planifolia), bearing podlike fruit yielding an extract used in flavoring food or in perfumes.",/vəˈnɛlə/,v-an-ill-a,noun,"You can tell that the secret ingredient missing from New CokeTM was vanilla, because certain South American economies collapsed when it was introduced, and miraculously revived when the old formula was used again."
vase,"An upright open container used mainly for displaying fresh, dried, or artificial flowers.",/væes/,v-as-e,noun,
vegetarian,"A person who does not eat animal flesh, or, in some cases, use any animal products.",/vɛd͡ʒɪˈtɛəɹi.ən/,v-eg-et-ar-ian,noun,I have a vegetarian brother
vend,The act of vending or selling; a sale.,/vɛnd/,v-end,noun,
vendor,A person or a company that vends or sells.,/ˈvɛn.də/,v-end-or,noun,I distributed my application with a vendored copy of Perl so that it wouldn't use the system copies of Perl where it is installed.
venue,"A theater, auditorium, arena, or other area designated for sporting or entertainment events.",/ˈvɛnjuː/,v-en-ue,noun,
verbal,"(grammar) A verb form which does not function as a predicate, or a word derived from a verb. In English, infinitives, participles and gerunds are verbals.",/ˈvɜː.bəl/,v-erb-al,noun,a verbal contract
verify,To substantiate or prove the truth of something,,v-er-if-y,verb,
videoconference,A conference held by video link. An arranged video phone call between more than two parties.,,v-id-eoc-onf-er-enc-e,noun,The four of us should hold a video conference next week.
violate,To break or disregard (a rule or convention).,/ˈvaɪəˌleɪt/,v-iol-at-e,verb,Accessing unauthorized files violates security protocol.
violation,The act or an instance of violating or the condition of being violated.,/ˌvaɪəˈleɪʃən/,v-iol-at-ion,noun,
violin,"A musical four-string instrument, generally played with a bow or by plucking the string, with the pitch set by pressing the strings at the appropriate place with the fingers; also any instrument of the violin family.",/ˌvɑe.ɘˈlɘn/,v-iol-in,noun,The first violin often plays the lead melody lines in a string quartet.
visa,"A permit to enter and leave a country, normally issued by the authorities of the country to be visited.",/ˈviː.sə/,v-is-a,noun,
vitamin,"Any of a specific group of organic compounds essential in small quantities for healthy human growth, metabolism, development, and body function; found in minute amounts in plant and animal foods or sometimes produced synthetically; deficiencies of specific vitamins produce specific disorders.",/ˈvɑet.ə.mən/,v-it-am-in,noun,
volleyball,A game played on a rectangular court between two teams of two to six players which involves striking a ball back and forth over a net.,/ˈvɒlibɔ(ː)l/,v-oll-eyb-all,noun,
voucher,"A piece of paper that entitles the holder to a discount, or that can be exchanged for goods and services.",/ˈvaʊtʃə(ɹ)/,v-ouch-er,noun,
waiter,"A male or female attendant who serves customers at their tables in a restaurant, café or similar.",/ˈweɪtə/,w-ait-er,noun,Waiter! There's a fly in my soup.
waitress,"A female attendant who serves customers in a restaurant, café, or similar.",,w-aitr-ess,noun,
waive,To relinquish (a right etc.); to give up claim to; to forego.,/weɪv/,w-aiv-e,verb,"If you waive the right to be silent, anything you say can be used against you in a court of law."
walkway,A clearly defined path for pedestrians.,/ˈwɔːkˌweɪ/,w-alkw-ay,noun,
wallet,"A small case, often flat and often made of leather, for keeping money (especially paper money), credit cards, etc.",/ˈwɒlɪt/,w-all-et,noun,The thief stole all the money and credit cards out of the old man's wallet.
ward,A warden; a guard; a guardian or watchman.,/wɔːd/,w-ard,noun,
warehouse,"A place for storing large amounts of products. In logistics, a place where products go to from the manufacturer before going to the retailer.",,w-ar-eh-ous-e,noun,the warehousing of syndicated TV shows
warranty,A guarantee that a certain outcome or obligation will be fulfilled; security.,/ˈwɒ.ɹən.ti/,w-arr-ant-y,noun,I made sure to check the terms of my warranty for my computer to ensure I was covered in case it broke down.
webpage,"A single hypertext document (transmitted as HTML) on the World Wide Web, often hyperlinked to others, and intended to be viewed with a web browser.",,w-ebp-ag-e,noun,Be sure to check out my web page on the Internet when you get home.
website,A collection of interlinked web pages on the World Wide Web that are typically accessible from the same base URL and reside on the same server.,/ˈwɛbˌsaɪt/,w-ebs-it-e,noun,
weekday,A day of the week except those which form the weekend; that is:,/ˈwiːkdeɪ/,w-eekd-ay,noun,
wellness,The quality or state of being in good health.,,w-elln-ess,noun,

