word,meaning,pronunciation,syllables,partOfSpeech,example
generalization,The formulation of general concepts from specific instances by abstracting common properties.,,g-en-er-al-iz-at-ion,noun,A hypersphere is a generalization of a sphere across more than three dimensions.
generator,"One who, or that which, generates, begets, causes, or produces.",,g-en-er-at-or,noun,
generic,A product sold under a generic name.,/dʒɪˈnɛɹɪk/,g-en-er-ic,noun,"""Shrimp"" is the generic name for a number of species of sea creature."
generous,"Noble in behaviour or actions; principled, not petty; kind, magnanimous.",/ˈdʒɛn(ə)ɹəs/,g-en-er-ous,adjective,Thank you for your generous words.
genre,"A kind; a stylistic category or sort, especially of literature or other artworks.",/(d)ʒɒn.ɹə/,g-enr-e,noun,The computer game Half-Life redefined the first-person shooter genre.
getaway,A means of escape.,,g-et-aw-ay,noun,They'd been discussing their getaway plans for weeks.
glove,"An item of clothing other than a mitten, covering all or part of the hand and fingers, but usually allowing independent movement of the fingers.",/ɡlʌv/,gl-ov-e,noun,I wore gloves to keep my hands warm.
goods,The forces or behaviours that are the enemy of evil. Usually consists of helping others and general benevolence.,/ɡʊdz/,g-oods,noun,The best is the enemy of the good.
gossip,Someone who likes to talk about other people's private or personal business.,/ˈɡɒs.ɪp/,g-oss-ip,noun,Be careful what you say to him: he’s a bit of a gossip.
graduation,The action or process of graduating and receiving a diploma for completing a course of study (such as from an educational institution).,/ˌɡɹædʒuˈeɪʃən/,gr-ad-uat-ion,noun,
gram,A unit of mass equal to one-thousandth of a kilogram. Symbol: g,/ɡɹæm/,gr-am,noun,
graph,"(applied mathematics) A data chart (graphical representation of data) intended to illustrate the relationship between a set (or sets) of numbers (quantities, measurements or indicative numbers) and a reference set, whose elements are indexed to those of the former set(s) and may or may not be numbers.",/ɡɹæf/,gr-aph,noun,
graphic,A drawing or picture.,/ˈɡɹæfɪk/,gr-aph-ic,noun,I've just played this new computer game: the graphics are amazing.
graphics,The making of architectural or design drawings.,/ˈɡɹæfɪks/,gr-aph-ics,noun,"This game is really fun, but the graphics aren't very good."
grill,"A grating; a grid of wire or a sheet of material with a pattern of holes or slots, usually used to protect something while allowing the passage of air and liquids. Typical uses: to allow air through a fan while preventing fingers or objects from passing; to allow people to talk to somebody, while preventing attack.",/ɡɹɪl/,gr-ill,noun,I put some peppers and mushrooms on the grill to go with dinner.
grocery,(usually groceries) retail foodstuffs and other household supplies.,/ˈɡɹəʊs(ə)ɹi/,gr-oc-er-y,noun,
guidance,The act or process of guiding.,/ˈɡaɪdəns/,g-uid-anc-e,noun,divine guidance
gum,(often in the plural) The flesh around the teeth.,/ɡʌm/,g-um,noun,
gym,A sports facility specialized for lifting weights and exercise.,/dʒɪm/,g-ym,noun,On Wednesdays I hike; on Fridays I gym.
gymnasium,A large room or building for indoor sports.,/dʒɪmˈneɪ.zi.əm/,g-ymn-as-ium,noun,
habitual,"One who does something habitually, such as a serial criminal offender.",/-tjʊ-/,h-ab-it-ual,noun,Her habitual lying was the reason for my mistrust.
hacker,One who is expert at programming and solving problems with a computer.,/hækə(ɹ)/,h-ack-er,noun,a tennis hacker
hallway,A corridor in a building that connects rooms.,,h-allw-ay,noun,
hamburger,"A hot sandwich consisting of a patty of cooked ground beef or a meat substitute, in a sliced bun, sometimes also containing salad vegetables, condiments, or both.",/ˈhæm.bə.ɡə/,h-amb-urg-er,noun,I'm going to make you into hamburger if you do that again.
handbook,"A topically organized book of reference on a certain field of knowledge, regardless of size.",,h-andb-ook,noun,
handy,"Easy to use, useful.",/ˈhæn.di/,h-and-y,adjective,Some people regard duct tape as a handy fix-all.
hardware,"Fixtures, equipment, tools and devices used for general-purpose construction and repair of a structure or object. Also such equipment as sold as stock by a store of the same name, e.g. hardware store.",/ˈhɑːdˌwɛə/,h-ardw-ar-e,noun,military hardware
hardworking,"Of a person, taking their work seriously and doing it well and rapidly.",,h-ardw-ork-ing,adjective,
harmful,Of a kind likely to be damaging; injurious,/ˈhɑːmfl̩/,h-armf-ul,adjective,Wear a hat to protect your skin from harmful sunlight.
hazard,"The chance of suffering harm; danger, peril, risk of loss.",/ˈhazəd/,h-az-ard,noun,He encountered the enemy at the hazard of his reputation and life.
hazardous,"Risky, dangerous, with the nature of a hazard.",/ˈhæzəɹdəs/,h-az-ard-ous,adjective,
headache,A pain or ache in the head.,/ˈhɛdeɪk/,h-ead-ach-e,noun,The clumsy filing system has been a huge headache.
headphone,"A listening device placed or worn in the ear, usually sold in pairs",/ˈhedfəʊn/,h-eadph-on-e,noun,She handed me one headphone so I could listen too.
headquarter,To provide (an organization) with headquarters.,,h-eadq-uart-er,verb,
healthcare,"The prevention, treatment, and management of illness or the preservation of mental and physical well-being through the services offered by the medical, nursing, and allied health professions.",,h-ealthc-ar-e,noun,I think free health care should also cover nearsightedness.
healthful,Beneficial to bodily health.,,h-ealthf-ul,adjective,
heater,"A device that produces and radiates heat, typically to raise the temperature of a room or building.",/ˈhiːtə/,h-eat-er,noun,Turn on the heater; I'm cold.
helmet,"A protective head covering, usually part of armour.",/ˈhɛlmət/,h-elm-et,noun,
hereby,Near this place; nearby.,/hɪəˈbʌɪ/,h-er-eb-y,adverb,I hereby declare you husband and wife.
hesitant,"Tending to hesitate, wait, or proceed with caution or reservation.",/ˈhɛzɪtənt/,h-es-it-ant,adjective,I am hesitant to recommend him as a manager because he has a short temper.
hesitation,An act of hesitating,/hɛzɪˈteɪʃən/,h-es-it-at-ion,noun,She carried out the order without hesitation.

