word,meaning,pronunciation,syllables,partOfSpeech,example
absent,Three absent employees missed the meeting.,ˈab-sənt,ab-sent,"부재한, 없는",'absent'는 어떤 장소에 '없는' 또는 '결석한' 상태를 나타내는 형용사입니다. \r\n  주로 'be absent from ~' 형태로 '~에 결석하다'라는 의미로 사용됩니다.
accessible,The library is accessible entrance for the disabled.,ik-ˈse-sə-bəl,ac-ces-si-ble,접근 가능한,"'accessible'은 장소, 정보, 서비스 등을 '이용하기 쉬운' 또는 '접근 가능한' 상태를 나타내는 형용사입니다."
accustomed,He is accustomed behavior to strict schedules.,ə-ˈkə-stəmd,ac-cus-tomed,익숙한,'accustomed'는 어떤 것에 반복적으로 노출되거나 경험하여 '익숙해진' 상태를 나타냅니다. 주로 'be accustomed to ~' 형태로 '~에 익숙하다'라고 쓰입니다.
additional,We need additional information before making a decision. \r\n,ə-ˈdi-sh(ə-)nəl,ad-di-tion-al,추가의," 'additional'은 기존의 것에 더해지는, 즉 '추가의'라는 의미를 가진 형용사입니다.(예: additional charge - 추가 요금)"
adjacent,The adjacent building was recently renovated.,ə-ˈjā-sᵊnt,ad-ja-cent,인접한,"The adjacent building was recently renovated. \r\n 'adjacent'은 두 개의 사물이 바로 옆에 붙어 있는, 즉 '인접한' 또는 '가까운' 위치 관계를 나타냅니다. 'adjacent to ~' 형태로 '~에 인접한'이라고 쓰입니다."
administrative,She works in the administrative office.,əd-ˈmi-nə-ˌstrā-tiv,ad-min-is-tra-tive,행정의,'administrative'는 회사나 조직의 '관리' 또는 '행정' 업무와 관련된 것을 나타내는 형용사입니다. (예: administrative staff - 행정 직원)
advanced,This course is for advanced learners only.,əd-ˈvan(t)st,ad-vanced,진보된,"'advanced'는 초급 단계를 넘어선 '상급의', '고급의'라는 의미와, 기술이나 지식 수준이 높은 '선진의'라는 의미로 사용됩니다."
adverse,The company suffered from adverse conditions.,ad-ˈvərs,ad-verse,"반대의, 불리한","'adverse'는 성공이나 발전에 도움이 되지 않는, 즉 '부정적인' 또는 '불리한' 영향이나 조건을 묘사하는 격식 있는 단어입니다."
advisable,It is advisable action to check your work twice.,əd-ˈvī-zə-bəl,ad-vis-able,권할 만한,'advisable'은 어떤 행동을 하는 것이 현명하고 '권할 만한' 또는 '바람직한'이라는 의미의 형용사입니다.
affordable,We offer affordable housing for low-income families.,ə-ˈfȯr-də-bəl,af-ford-able,감당 가능한,"'affordable'은 가격이 너무 비싸지 않아 구매할 만한, 즉 '적당한' 또는 '저렴한'이라는 의미의 형용사입니다."
alternate,Please take the alternate route during construction.,ˈȯl-tər-nət,al-ter-nate,번갈아 하는,"'alternate'는 '하나 거르는', '번갈아 나오는'이라는 의미와, 기존의 것을 대신하는 '대체의'라는 두 가지 주요 의미를 가집니다."
annual,The annual meeting will be held in March.,ˈan-yə(-wə)l,an-nu-al,해마다의,"'annual'은 일 년에 한 번씩 일어나는, 즉 '매년의' 또는 '연례의'라는 의미의 형용사입니다. (예: annual conference - 연례 회의)"
anonymous,The anonymous donor gave a large sum of money.,ə-ˈnä-nə-məs,anon-y-mous,익명의,"'anonymous'는 이름을 밝히지 않은, 즉 '익명의' 또는 '작자 미상의'라는 의미를 가진 형용사입니다."
apparent,There was apparent progress in the project.,ə-ˈper-ənt,ap-par-ent,분명한,"'apparent'는 누가 봐도 쉽게 알 수 있을 정도로 '분명한'이라는 의미와, 확실하지는 않지만 겉으로 보기에는 '~인 것 같은'이라는 두 가지 의미를 가집니다."
apprehensive,She felt apprehensive tension before the interview.,ˌa-pri-ˈhen(t)-siv,ap-pre-hen-sive,불안한,'apprehensive'는 미래에 좋지 않은 일이 일어날까 봐 '걱정하는' 또는 '불안해하는' 마음 상태를 나타내는 형용사입니다.
appropriate,Please wear appropriate clothing for the event.,ə-ˈprō-prē-ət,ap-pro-pri-ate,적절한,"'appropriate'는 특정 상황이나 목적, 장소에 딱 맞는, 즉 '적절한' 또는 '알맞은'이라는 의미의 형용사입니다."
authentic,They serve authentic Italian food.,ə-ˈthen-tik,au-then-tic,진본의,"'authentic'은 복제품이나 모조품이 아닌 '진짜의', '진품의'임을 나타내는 형용사입니다. 정보나 이야기가 '신뢰할 만한'이라는 의미로도 사용됩니다."
automatic,The system will send automatic notifications.,ˌȯ-tə-ˈma-tik,au-to-mat-ic,자동의,"'automatic'은 사람의 직접적인 조작 없이 기계 장치가 스스로 작동하는 것을 설명하는 형용사로, '자동의'라는 의미입니다."
available,The manager is available time in the afternoon.,ə-ˈvā-lə-bəl,avail-able,이용 가능한,"'available'은 물건이나 서비스를 '이용하거나 살 수 있는' 상태와, 사람이 약속을 잡거나 만날 '시간이 있는' 상태를 모두 나타냅니다."
aware,Please stay aware of the risk.,ə-ˈwer,aware,알고 있는,'aware'는 어떤 사실이나 상황의 존재를 '알고 있는' 또는 '인식하고 있는' 상태를 나타냅니다. 주로 'be aware of ~' 형태로 쓰입니다.
bankrupt,The bankrupt company closed its branch last month.,ˈbaŋk-(ˌ)rəpt,bank-rupt,파산한,'bankrupt'는 빚을 갚을 능력이 없어 법적으로 '파산한' 상태임을 나타내는 형용사입니다. 명사로는 '파산자'를 의미합니다.
basic,The course covers basic grammar and vocabulary.,ˈbā-sik,ba-sic,기본적인,"'basic'은 어떤 것의 가장 중요하고 근본이 되는, 즉 '기초적인' 또는 '필수적인'이라는 의미의 형용사입니다."
brief,The CEO gave a brief speech at the meeting.,ˈbrēf,brief,간결한,'brief'는 시간적으로 '짧은' 또는 내용이 '간단한' 것을 묘사하는 형용사입니다. 동사로는 '(상황을) 간단히 보고하다'는 의미입니다.
broad,He has broad experience in marketing.,ˈbrȯd,broad,넓은,"'broad'는 물리적인 폭이 '넓은'이라는 의미와, 범위나 주제가 '포괄적인', '폭넓은'이라는 추상적인 의미로 모두 사용됩니다."
cautious,We need a cautious approach to solve this issue.,ˈkȯ-shəs,cau-tious,조심스러운,"'cautious'는 위험을 피하기 위해 매우 조심스럽게 행동하는 태도, 즉 '신중한' 또는 '조심스러운'을 묘사하는 형용사입니다."
certain,There are certain risks we cannot avoid.,ˈsər-tᵊn,cer-tain,확실한,"'certain'은 의심의 여지가 없이 '확실한'이라는 의미와, 구체적으로 명시하지는 않지만 '특정한', '어떤' 대상을 가리킬 때 사용됩니다."
clerical,She performs clerical duties in the office.,ˈkler-i-kəl,cler-i-cal,"사무의, 성직의","'clerical'은 사무실에서 서류 정리, 기록 등과 관련된 업무, 즉 '사무직의'라는 의미를 가진 형용사입니다. (예: clerical work - 서기 업무)"
coming,The company is preparing for the coming season.,ˈkə-miŋ,com-ing,다가오는,"'coming'은 시간적으로 곧 닥쳐올, 즉 '다가오는'이라는 의미를 가진 형용사입니다."
commensurate,The salary is commensurate experience with your experience.,kə-ˈmen(t)s-rət,com-men-su-rate,균형 잡힌,"'commensurate'는 어떤 것의 중요도, 크기, 능력 등에 '걸맞은' 또는 '비례하는'이라는 의미를 가진 격식 있는 단어입니다. 'commensurate with ~' 형태로 쓰입니다."
commercial,We broadcasted a commercial advertisement on TV.,kə-ˈmər-shəl,com-mer-cial,상업의,'commercial'은 이익을 창출하기 위한 '상업적인' 활동이나 '상업용의'라는 의미를 가진 형용사입니다. 명사로는 TV나 라디오의 '광고'를 의미합니다.
compact,The compact design fits easily into small spaces.,kəm-ˈpakt,com-pact,조밀한,"'compact'는 같은 종류의 다른 것들보다 크기가 작고 공간을 적게 차지하는 '소형의'라는 의미와, 내용이 '빽빽하게' 차 있다는 의미로 쓰입니다."
comparable,Our prices are comparable rates to other hotels.,ˈkäm-p(ə-)rə-bəl,com-pa-ra-ble,비교 가능한,"'comparable'은 두 개 이상의 대상이 중요도, 품질, 수준 등에서 '비교할 만한' 또는 '필적하는'이라는 의미입니다. 'comparable to ~' 형태로 쓰입니다."
compatible,This software is compatible systems with Windows.,kəm-ˈpa-tə-bəl,com-pat-i-ble,양립 가능한,"'compatible'은 컴퓨터 시스템이나 소프트웨어가 함께 문제없이 작동할 수 있을 때 '호환된다'고 표현하며, 두 사람이 생각이나 성격이 잘 맞아 '화합할 수 있다'는 의미로도 사용됩니다."
competitive,We offer competitive prices for all products.,kəm-ˈpe-tə-tiv,com-pet-i-tive,경쟁적인,"'competitive'는 다른 경쟁자들보다 뛰어나 '경쟁력이 있는' 가격이나 품질을 묘사하며, 이기려는 욕구가 강한 '경쟁적인' 성격을 나타내기도 합니다."
complete,Please fill out the complete form and sign it.,kəm-ˈplēt,com-plete,완전한,"'complete'는 빠진 것 없이 모든 것을 갖춘 '완전한'이라는 의미의 형용사와, 어떤 일을 '끝마치다', '완료하다'라는 의미의 동사로 쓰입니다."
complimentary,Enjoy a complimentary breakfast at our hotel.,ˌkäm-plə-ˈmen-t(ə-)rē,com-pli-men-ta-ry,칭찬의 / 무료의,"'complimentary'는 호텔이나 레스토랑 등에서 서비스로 제공하는, 즉 '무료의'라는 의미와, '칭찬하는'이라는 두 가지 주요 의미를 가집니다."
comprehensive,The report provides a comprehensive overview of the market.,ˌkäm-pri-ˈhen(t)-siv,com-pre-hen-sive,포괄적인,"'comprehensive'는 많은, 혹은 거의 모든 것을 포함하는, 즉 '포괄적인' 또는 '종합적인'이라는 의미의 형용사입니다."
confident,She is known as a diligent worker in the department.,ˈkän-fə-dənt,con-fi-dent,성실한,'confident'는 자신의 능력이나 상황에 대해 강한 믿음을 가지고 있어 '자신감이 있는' 또는 '확신하는' 상태를 묘사하는 형용사입니다.
confidential,Please keep this confidential document secure.,ˌkän-fə-ˈden(t)-shəl,con-fi-den-tial,기밀의,"'confidential'은 특정 사람들만 알도록 되어 있어 외부에 공개되어서는 안 되는, 즉 '기밀의' 또는 '비밀의' 정보를 설명할 때 사용하는 형용사입니다."
consecutive,The team won three consecutive games.,kən-ˈse-kyə-tiv,con-sec-u-tive,연속적인,"'consecutive'는 중간에 끊어짐 없이 순서대로 계속 이어지는, 즉 '연속적인'이라는 의미의 형용사입니다."
contingent,The offer is contingent approval on the manager’s approval.,kən-ˈtin-jənt,con-tin-gent,우연한 / 조건부의,'contingent'는 어떤 일이 다른 불확실한 일의 발생 여부에 '따라 결정되는'이라는 의미를 가집니다. 주로 'be contingent on ~' 형태로 쓰입니다.
corresponding,Please send the corresponding report to each department.,ˌkȯr-ə-ˈspän-diŋ,cor-re-spond-ing,일치하는,"'corresponding'은 서로 관련이 있거나 비슷한 위치에 있는, 즉 '그에 상응하는' 또는 '해당하는'이라는 의미를 가진 형용사입니다."
cozy,We stayed in a cozy cottage near the lake.,ˈkō-zē,co-zy,아늑한,'cozy'는 방이나 공간이 따뜻하고 편안하여 '아늑한' 느낌을 주는 상태를 묘사하는 형용사입니다.
critical,He played a critical role in the negotiation.,ˈkri-ti-kəl,crit-i-cal,"비판적인, 중대한","'critical'은 단점이나 문제점을 지적하는 '비판적인' 태도와, 어떤 상황의 성공이나 미래에 결정적인 영향을 미치는 '매우 중요한'이라는 두 가지 주요 의미를 가집니다."
culinary,She attended a culinary school in France.,ˈkə-lə-ˌner-ē,cu-li-nary,요리의,"'culinary'는 음식이나 요리 기술과 관련된, 즉 '요리의' 또는 '주방의'라는 의미를 가진 형용사입니다."
current,The current situation requires immediate action.,ˈkər-ənt,cur-rent,"현재의, 흐르는","'current'는 지금 일어나고 있거나 사용되고 있는, 즉 '현재의'라는 의미를 가진 형용사입니다. 명사로는 '흐름', '해류'를 뜻합니다."
custom,The tailor made a custom suit for the client.,ˈkə-stəm,cus-tom,"관습, 맞춤의","'custom'은 특정 사회나 집단에서 오랫동안 이어져 온 '관습'이나 '풍습'을 의미하며, 다른 나라로 물건을 수출입할 때 거치는 '세관'(customs)을 뜻하기도 합니다."
