word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
earn,He earned respect from his peers.,ˈərn,earn,타동사. 수동형 가능.,earn'은 (노동이나 서비스의 대가로) '돈을 벌다' 혹은 (자신의 노력으로) '인정이나 명성을 얻는다'는 의미의 동사입니다.\r\n Employees can earn a bonus for exceeding their sales targets.,You can ____ extra money by working overtime.
edit,She edited the article.,ˈe-dət,ed-it,타동사. 명확한 목적어 필요.,"edit'는 (출판이나 공개 발표를 위해) (문서, 영상 등의) 내용을 '검토'하고 '수정'하거나 '편집한다'는 의미의 동사입니다.\r\n Please edit this report for any grammatical errors before submission.",Please ____ any spelling errors before submitting the report.
eliminate,They eliminated unnecessary steps.,i-ˈli-mə-ˌnāt,elim-i-nate,타동사. 수동형 빈출.,eliminate'는 (불필요하거나 원치 않는 것을) '완전히 없애거나' '제거한다'는 의미의 동사입니다.\r\n The new software helped us eliminate many manual data entry tasks.,We must ____ unnecessary steps from the process.
embark,They embarked on a new journey.,im-ˈbärk,em-bark,자동사 + on. 수동 불가.,embark'는 (특히 배나 비행기에) '올라타거나' '탑승한다'는 의미의 동사입니다. (('embark on': ~을 시작하다)로도 자주 쓰임)\r\n Passengers must check in at least one hour before they embark.,They will ____ on a new business trip next week.
embrace,The company embraced new technology.,im-ˈbrās,em-brace,타동사. 추상적 목적어 자주.,"embrace'는 (껴안다)는 의미 외에, (새로운 생각, 변화, 기술 등을) '기꺼이 받아들인다'는 의미로 자주 쓰이는 동사입니다.\r\n Our company must embrace new technologies to stay competitive.",Let’s ____ new ideas and changes with confidence.
emerge,A new leader emerged. / He emerged from the crisis.,i-ˈmərj,emerge,자동사. 수동 불가.,emerge'는 (숨어있던 것이나 새로운 사실/현상이) '밖으로 나오거나' '알려진다'는 의미의 동사입니다.\r\n New market trends are beginning to emerge.,A clear pattern began to ____ from the data.
emit,The machine emits heat.,ē-ˈmit,emit,타동사. 가스·소리·빛 등 목적어.,"emit'는 (빛, 열, 가스, 소리 등을) '밖으로 내보내거나' '방출한다'는 의미의 동사입니다.\r\n The factory was fined for emitting illegal levels of chemicals.",Cars that ____ smoke will fail the inspection.
emphasize,He emphasized the importance of education.,ˈem(p)-fə-ˌsīz,em-pha-size,타동사. 명사/동명사 목적어.,emphasize'는 (특정 사항의 중요성을) '분명히 하거나' '강조한다'는 의미의 동사입니다.\r\n The CEO emphasized the need for better customer service.,The teacher will ____ the importance of honesty.
enclose,Please enclose your resume with the letter.,in-ˈklōz,en-close,타동사. 문서 관련 빈출.,enclose'는 (편지 봉투나 소포 안에) (문서나 물건을) '함께 넣어 보낸다'는 의미의 동사입니다.\r\n Please find the signed contract enclosed with this letter.,Please ____ your résumé with the application.
encounter,They encountered several difficulties.,in-ˈkau̇n-tər,en-coun-ter,타동사. 수동 가능.,encounter'는 (특히 예상치 못한 문제나 어려움)을 '만나거나' '부딪힌다'는 의미의 동사입니다.\r\n We encountered an unexpected problem with the new software.,We may ____ some problems during the project.
