word,meaning,pronunciation,syllables,partOfSpeech,example
tablecloth,"A cloth used to cover and protect a table, especially for a dining table.",,t-abl-ecl-oth,noun,
tablet,A slab of clay used for inscription.,/ˈtæblət/,t-abl-et,noun,Many people take vitamin tablets as a food supplement.
tactic,"A maneuver, or action calculated to achieve some end.",/ˈtæktɪk/,t-act-ic,noun,
tag,A small label.,/teɪɡ/,t-ag,noun,"The subwoofer in the trunk was so loud, it vibrated the tag like an aluminum can."
tailor,"A person who makes, repairs, or alters clothes professionally, especially suits and men's clothing.",/ˈteɪlə/,t-ail-or,noun,He works as a tailor on Swanston Street.
takeover,"The purchase of one company by another; a merger without the formation of a new company, especially where some stakeholders in the purchased company oppose the purchase.",,t-ak-eov-er,noun,
taker,One who takes something.,/ˈteɪkɚ/,t-ak-er,noun,She is known as quite a risk taker.
tasty,Having a pleasant or satisfying flavor; delicious.,/ˈteɪsti/,t-ast-y,adjective,You could make this tasty meal for breakfast.
tech,Technology,/tɛk/,t-ech,noun,
technician,A person who studies or practises technology.,/tekˈnɪʃən/,t-echn-ic-ian,noun,
teen,A teenager.,/tiːn/,t-een,noun,teen fashion
telecommunication,"The science and technology of the communication of messages over a distance using electric, electronic or electromagnetic impulses.",,t-el-ec-omm-un-ic-at-ion,noun,
teller,A device that provides bank customers with cash withdrawal and other services without the need for a human teller.,/ˈtɛlə/,t-ell-er,noun,
temporarily,For a limited period of time; not permanently.,/ˈtɛmp(ə)ɹəɹəli/,t-emp-or-ar-il-y,adverb,
tempt,"To provoke someone to do wrong, especially by promising a reward; to entice.",/tɛmpt/,t-empt,verb,She tempted me to eat the apple.
tenant,"One who pays a fee (rent) in return for the use of land, buildings, or other property owned by others.",/ˈtɛ.nənt/,t-en-ant,noun,
terminal,A building in an airport where passengers transfer from ground transportation to the facilities that allow them to board airplanes.,/ˈtɚmɪnəl/,t-erm-in-al,noun,terminal cancer
terminate,"To end, especially in an incomplete state.",/ˈtɜːmɪneɪt/,t-erm-in-at-e,verb,to terminate a surface by a line
termination,The process of terminating or the state of being terminated.,/tɚmɪˈneɪʃən/,t-erm-in-at-ion,noun,
terrific,"Terrifying, causing terror; terrible; sublime, awe-inspiring.",/təˈɹɪfɪk/,t-err-if-ic,adjective,I've got a terrific hangover this morning.
textbook,"A coursebook, a formal manual of instruction in a specific subject, especially one for use in schools or colleges.",/ˈtɛkst.bʊk/,t-extb-ook,noun,
theft,The act of stealing property.,/θɛft/,th-eft,noun,
thirsty,Needing to drink.,/ˈθɜː(ɹ)st.i/,th-irst-y,adjective,After all that work I am really thirsty.
thorough,"A furrow between two ridges, to drain off the surface water.",/ˈθʌɹə/,th-or-ough,noun,He is the most thorough worker I have ever seen.
thoroughly,In a thorough or complete manner.,/θʌ.ɹə.liː/,th-or-oughl-y,adverb,He went out in the rain and came back thoroughly drenched.
thrill,"A trembling or quivering, especially one caused by emotion.",[t̪ɾ̪̊ɪl],thr-ill,noun,
thunderstorm,"A storm consisting of thunder and lightning produced by a cumulonimbus, usually accompanied with heavy rain, wind, and sometimes hail; and in rarer cases sleet, freezing rain, or snow.",/ˈθʌn.də(ɹ)ˌstɔː(ɹ)m/,th-und-erst-orm,noun,
tidy,A tabletop container for pens and stationery.,/ˈtaɪdi/,t-id-y,noun,a desk tidy
tile,"A regularly-shaped slab of clay or other material, affixed to cover or decorate a surface, as in a roof-tile, glazed tile, stove tile, carpet tile etc.",/taɪl/,t-il-e,noun,Each tile within Google Maps consists of 256 × 256 pixels.
timeline,A graphical representation of a chronological sequence of events (past or future); a chronology.,/ˈtaɪmˌlaɪn/,t-im-el-in-e,noun,"By killing his great-grandfather, the time traveller disrupted the timestream."
timely,Done at the proper time or within the proper time limits; prompt.,/ˈtaɪmli/,t-im-el-y,adjective,
timer,Someone or something which times.,/ˈtaɪmɚ/,t-im-er,noun,
timetable,"A tabular schedule of events with the times at which they occur, especially times of arrivals and departures",/ˈtaɪmˌteɪbəl/,t-im-et-abl-e,noun,The timetable has been changed several times since it was first announced.
toiletry,Any item used for personal hygiene or grooming.,/ˈtɔɪlɪtɹi/,t-oil-etr-y,noun,
toll,Loss or damage incurred through a disaster.,/toʊl/,t-oll,noun,The war has taken its toll on the people.
tomato,"A widely cultivated plant, Solanum lycopersicum, having edible fruit.",[tʰə̥ˈmɐːtʰɐʉ],t-om-at-o,noun,Lookit the legs on that hot tomato!
ton,A unit of weight (mass) equal to 2240 pounds (a long ton) or 2000 pounds (a short ton) or 1000 kilograms (a metric ton).,/tʌn/,t-on,noun,I've got tons of work to do.
toner,Powder used in laser printers and photocopiers to form the text and images on the printed paper.,/ˈtoʊnɚ/,t-on-er,noun,
tow,,,t-ow,,
towel,"A cloth used for wiping, especially one used for drying anything wet, as a person after a bath.",/taʊl/,t-ow-el,noun,He got out of the shower and toweled himself dry.

