word,meaning,pronunciation,syllables,partOfSpeech,example
whale,Any of several species of large sea mammals of the infraorder Cetacea.,/weɪl/,wh-al-e,noun,
wheelchair,A chair mounted on large wheels for the transportation or use of a sick or disabled person.,/ˈwiːlt͡ʃɛə(ɹ)/,wh-eelch-air,noun,
whoever,(interrogative) Who ever: an emphatic form of who.,/huˈɛvə/,wh-oev-er,pronoun,Whoever thought up that stupid idea?
wildlife,"Animals, plants, and fungi, not normally domesticated, often to the exclusion of plants, fungi, fish, insects and other invertebrates, and microscopic plants and animals; hence:",/ˈwaɪldlaɪf/,w-ildl-if-e,noun,
willingness,The state of being willing,/ˈwɪlɪŋnəs/,w-ill-ingn-ess,noun,All it takes is a willingness to learn.
windy,Fart,/ˈwɪndi/,w-ind-y,noun,It was a long and windy night.
wireless,The medium of radio communication.,/ˈwaɪ.ə(ɹ).ləs/,w-ir-el-ess,noun,"Only about a hundred years ago, wireless was a new technology."
wisely,In a wise manner; using good judgement.,/ˈwaɪzli/,w-is-el-y,adverb,She wisely decided to re-check her homework before submitting it.
withdrawal,Receiving from someone's care what one has earlier entrusted to them. Usually refers to money.,/wɪðˈdɹɔːəl/,w-ithdr-aw-al,noun,caffeine withdrawal
wool,"The hair of the sheep, llama and some other ruminants.",/wʊl/,w-ool,noun,
workbook,"A book, used by a student, in which answers and workings may be entered besides questions and exercises.",,w-orkb-ook,noun,
workforce,"All the workers employed by a specific organization or state, or on a specific project",,w-orkf-orc-e,noun,
workplace,The place where someone works.,,w-orkpl-ac-e,noun,
workshop,"A room, especially one which is not particularly large, used for manufacturing or other light industrial work.",/ˈwɜːk.ʃɒp/,w-orksh-op,noun,
worldwide,Spanning the world; global.,/ˈwɜːldwaɪd/,w-orldw-id-e,adjective,A large meteorite impact would cause worldwide extinction of life.
worthwhile,"Good and important enough to spend time, effort, or money on.",/wɜː(ɹ)θˈwaɪl/,w-orthwh-il-e,adjective,Doing volunteer work to help others is truly worthwhile.
wrinkle,"A small furrow, ridge or crease in an otherwise smooth surface.",/ˈɹɪŋkl̩/,wr-inkl-e,noun,Spending time out in the sun may cause you to develop wrinkles sooner.
wristwatch,A watch that is worn on a strap or band fastened around the wrist,,wr-istw-atch,noun,
yearly,Something that is published once a year.,/ˈjɪəli/,yearl-y,noun,Christmas is a yearly celebration.
yen,"The unit of Japanese currency (symbol: ¥) since 1871, divided into 100 sen.",/jɛn/,yen,noun,
yoga,Any of several Hindu or Buddhist disciplines aimed at training the consciousness for a state of perfect spiritual insight and tranquillity; especially a system of exercises practiced to promote control of the body and mind.,/ˈjoʊɡə/,yog-a,noun,
zoo,A park where live animals are exhibited.,/zuː/,z-oo,noun,The shopping center was a zoo the week before Christmas.

