word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
damage,The storm damaged several buildings.,ˈda-mij,dam-age,타동사. 수동형 빈출.,"damage'는 (사람, 재산, 평판 등에 가해지는) 물리적이거나 경제적인 '손실'이나 '해악'을 의미하는 명사입니다.\r\n The storm caused significant damage to the company's warehouse.",The storm may ____ the crops in the field.
decide,We decided to move. / He decided on a design.,di-ˈsīd,de-cide,자동사(on) / 타동사(결정내용) 구분.,decide'는 (여러 가능성을 고려한 후) 최종적인 '선택'이나 '판단'을 내린다는 의미의 동사입니다.\r\n Management has decided to invest in new technology.,We must ____ on a new plan today.
decline,Sales declined sharply. / He declined the offer.,di-ˈklīn,de-cline,자동사(감소) / 타동사(거절) 모두 가능.,"decline'은 (수량, 가치, 품질 등이) '감소하다'는 의미의 동사, 또는 '감소, 하락'을 의미하는 명사입니다. (제안을 '거절하다'는 뜻도 있음)\r\n There has been a steady decline in the company's profits this year.",Sales may ____ after the busy season.
dedicate,She dedicated her life to helping others.,ˈde-di-kət,ded-i-cate,to + 동명사 구조 고정.,dedicate'는 (형용사형 'dedicated'로) 특정 목적이나 사람만을 위해 '전담하는' 또는 (일이나 신념에) '헌신적인'이라는 의미입니다.\r\n We have a dedicated hotline for technical support.,She will ____ her time to helping others.
delegate,The manager delegated tasks to staff.,ˈde-li-gət,del-e-gate,타동사. to + 사람 자주.,delegate'는 (그룹이나 조직을 대신하여 회의나 행사에 참석하는) '대표자'나 '대리인'을 의미하는 명사입니다.\r\n A delegate from each branch will attend the annual meeting.,The manager will ____ tasks to each team member.
deliver,They delivered the package to the client.,di-ˈli-vər,de-liv-er,3/4형식 모두 가능.,"deliver'는 (물품, 우편, 연설 등을) 목적지나 대상에게 '운반'하거나 '전달한다'는 의미의 동사입니다.\r\n The supplies will be delivered to your office by Friday.",The courier will ____ the package by tomorrow.
demonstrate,He demonstrated that the theory was valid.,ˈde-mən-ˌstrāt,dem-on-strate,타동사. ‘실험·사실’ 목적어.,"demonstrate'는 (제품의 작동 방식 등을) '보여주거나(시연하다)', (사실임을) '분명히 입증한다'는 의미의 동사입니다.\r\n The presentation will demonstrate the new features of our software.",Please ____ how the device works.
depart,The train departs from Seoul for Busan.,di-ˈpärt,de-part,자동사 + from / for. 수동 불가.,"depart'는 (특히 기차, 비행기 등이) 어떤 장소를 '떠나거나' '출발한다'는 의미의 동사입니다.\r\n The train for the airport is scheduled to depart from Platform 3.",The flight will ____ from Gate 5 at noon.
depend,Success depends on effort.,di-ˈpend,de-pend,자동사 + on. 수동형 불가.,depend'는 (주로 'depend on' 형태로) 다른 요인에 의해 '결정되거나' '의존한다'는 의미의 동사입니다.\r\n Our shipping times depend on the destination.,Success will ____ on your effort.
depict,The painting depicts a rural scene.,di-ˈpikt,de-pict,타동사. 작품·설명에 자주 등장.,"depict'는 (그림, 차트, 말로) 어떤 것의 모습을 '묘사'하거나 '나타낸다'는 의미의 동사입니다.\r\n The graph clearly depicts the increase in monthly web traffic.",The poster will ____ scenes from daily life.
describe,He described the view as beautiful.,di-ˈskrīb,de-scribe,as보어 구조 자주.,describe'는 (어떤 것이나 사람의 특징에 대해) 말이나 글로 '묘사'하거나 '설명한다'는 의미의 동사입니다.\r\n Can you describe the main responsibilities of this position?,Can you ____ what you saw at the event?
deserve,She deserves respect. / He deserves to win.,di-ˈzərv,de-serve,타동사 / to부정사 둘 다 가능.,"deserve'는 (자신의 행동이나 자질로 인해) (보상, 인정 등을) '받을 만한 자격이 있다'는 의미의 동사입니다.\r\n Our employees deserve to be recognized for their hard work.",He ____ to win after such hard work.
design,The team designed a system for students.,di-ˈzīn,de-sign,for + 대상 가능.,"design'은 (계획에 따라) (제품, 시스템, 계획 등의) 구조나 형태를 '만들거나' '설계한다'는 의미의 동사입니다.\r\n This marketing campaign was designed to attract younger customers.",They will ____ a new logo for the company.
designate,The area was designated as a park.,ˈde-zig-ˌnāt,des-ig-nate,수동형 + as 보어 구조 자주.,designate'는 (특정 목적이나 용도를 위해) 장소나 사람을 공식적으로 '지정'하거나 '지명한다'는 의미의 동사입니다.\r\n The front rows are designated for guests with special needs.,The board will ____ a leader for the new branch.
detail,The report detailed the process.,di-ˈtāl,de-tail,타동사. 서면 문체에서 자주.,detail'은 (전체 중의) '구체적인 항목'이나 '세부 사항'을 의미하는 명사입니다.\r\n Please check the contract details carefully before signing.,Please ____ your plan in simple steps.
determine,The test determined that he was qualified.,di-ˈtər-mən,de-ter-mine,타동사. 과학·법률 문서에서 빈출.,"determine'은 (조사 등을 통해) 사실이나 원인을 '확실히 알아내거나', (무엇을 할지) '결정한다'는 의미의 동사입니다.\r\n We must determine the cause of the equipment malfunction.",We must ____ the cause of the problem.
develop,They developed a new product. / The issue developed quickly.,di-ˈve-ləp,de-vel-op,타/자동사 모두 가능.,"develop'는 (신제품, 기술, 전략 등을) '만들거나', (기술, 능력 등을) '발전시킨다'는 의미의 동사입니다.\r\n The company is developing a new line of eco-friendly products.",The company plans to ____ a new product line.
differ,Opinions differ from person to person.,ˈdi-fər,dif-fer,자동사 + from/in. 수동 불가.,"differ'는 (성질, 형태, 의견 등에서) '같지 않거나' '다르다'는 의미의 동사입니다.\r\n The two reports differ significantly in their conclusions.",Our opinions may ____ on this issue.
discard,Please discard old documents.,dis-ˈkärd,dis-card,타동사. 물리적/추상적 모두 가능.,discard'는 (더 이상 쓸모없거나 원하지 않는 것을) '버리거나' '폐기한다'는 의미의 동사입니다.\r\n Please discard any old files that are no longer needed.,Please ____ old files you don’t need.
