word,meaning,pronunciation,syllables,partOfSpeech,example
highway,"고속도로",/ˈhaɪweɪ/,h-ighw-ay,noun,"'highway'는 도시와 도시 또는 주요 지역을 연결하는 넓고 포장된 주요 도로, 특히 '고속도로'를 의미합니다."
hike,"하이킹; (가격 등의) 급등",/haɪk/,h-ik-e,noun,"'hike'는 자연 속에서 장거리를 걷는 '하이킹'이나 '도보 여행'을 의미하며, 비유적으로 가격이나 비용의 '급격한 인상'을 뜻하는 비격식적인 단어로도 쓰입니다."
hiker,"하이커, 도보 여행자",/ˈhaɪkɚ/,h-ik-er,noun,"'hiker'는 취미나 운동으로 하이킹을 하는 사람, 즉 '도보 여행자'를 의미합니다."
hobby,"취미",/ˈhɒ.bi/,h-obb-y,noun,"'hobby'는 여가 시간에 즐거움을 위해 하는 활동, 즉 '취미'를 의미합니다."
homeless,"집이 없는",/ˈhoʊmləs/,h-om-el-ess,adjective,"'homeless'는 거주할 집이 없는 상태를 나타내는 형용사입니다. 'the homeless'는 '노숙자들'을 의미하는 명사로 쓰입니다."
homemade,"집에서 만든",,h-om-em-ad-e,adjective,"'homemade'는 가게에서 산 것이 아니라 집에서 직접 만든 음식이나 물건을 묘사하는 형용사입니다."
homeowner,"주택 소유자",,h-om-eown-er,noun,"'homeowner'는 자신이 사는 집을 소유하고 있는 사람, 즉 '주택 소유자'를 의미합니다."
homework,"숙제",/ˈhəʊmˌwɜːk/,h-om-ew-ork,noun,"'homework'는 학생이 학교 수업 후에 집에서 하도록 부여받은 과제, 즉 '숙제'를 의미하는 셀 수 없는 명사입니다."
honestly,"솔직히",/ˈɒnɪstli/,h-on-estl-y,adverb,"'honestly'는 '정직하게'라는 기본적인 의미와 함께, 자신의 생각이나 감정을 강조하며 '솔직히 말해서'라고 말할 때 문장 앞에서 자주 사용됩니다."
hospitality,"환대, 후대",/hɒs.pɪˈtæl.ɪ.ti/,h-osp-it-al-it-y,noun,"'hospitality'는 손님을 따뜻하고 친절하게 맞이하여 대접하는 것, 즉 '환대'를 의미합니다."
