word,meaning,pronunciation,syllables,partOfSpeech,example
o'clock,"~시 정각",/əʊˈklɒk/,o'c-lock,adverb,"'o'clock'은 'of the clock'의 줄임말로, 1시부터 12시까지의 시간을 나타낼 때 정각임을 명확히 하기 위해 숫자 뒤에 붙여 사용합니다."
officially,"공식적으로",/əˈfɪʃəli/,off-ic-iall-y,adverb,"'officially'는 권위 있는 기관에 의해 인정되거나 발표되어 '공식적으로'라는 의미를 나타내며, 비격식적으로는 어떤 사실을 강조할 때 '정말로'라는 의미로도 쓰입니다."
omit,"빠뜨리다, 생략하다",/oʊˈmɪt/,om-it,verb,"'omit'는 실수나 의도적으로 어떤 항목이나 정보를 포함하지 않고 '누락하다', '빠뜨리다', '생략하다'라는 의미의 동사입니다."
ongoing,"계속 진행 중인",,ong-oing,adjective,"'ongoing'은 어떤 과정이나 상황이 끝나지 않고 '계속 진행 중인' 상태임을 나타내는 형용사입니다."
operational,"작동 가능한, 운영상의",,op-er-at-ion-al,adjective,"'operational'은 시스템이나 장비가 사용될 준비가 되어 '작동 가능한' 상태임을 의미하며, 비즈니스의 '운영과 관련된'이라는 뜻으로도 쓰입니다."
opt,"선택하다",/ɒpt/,opt,verb,"'opt'는 여러 가능성 중에서 하나를 '선택하다'라는 의미의 동사입니다. 주로 'opt for ~'(~을 선택하다) 또는 'opt to do ~'(~하기로 선택하다)의 형태로 사용됩니다."
optimistic,"낙관적인",/ˌɒptɪˈmɪstɪk/,opt-im-ist-ic,adjective,"'optimistic'은 미래에 대해 긍정적으로 생각하고 좋은 일이 일어날 것이라고 믿는, 즉 '낙관적인' 태도를 묘사하는 형용사입니다."
optional,"선택적인",,opt-ion-al,adjective,"'optional'은 반드시 해야 하거나 포함해야 하는 것이 아니라, 원하면 할 수도 있고 하지 않을 수도 있는 '선택적인' 또는 '임의의'라는 의미의 형용사입니다."
orchestra,"오케스트라, 관현악단",/ˈɔːkəstɹə/,orch-estr-a,noun,"'orchestra'는 현악기, 관악기, 타악기 등 다양한 악기 연주자들이 모여 함께 연주하는 대규모 악단, 즉 '오케스트라'나 '관현악단'을 의미합니다."
organizational,"조직의, 조직적인",,org-an-iz-at-ion-al,adjective,"'organizational'은 회사나 단체와 같은 '조직의' 구조나 운영과 관련된 것을 나타내는 형용사입니다. (예: organizational chart - 조직도)"
organizer,"주최자; 정리 도구",/ˈɔɹɡənaɪzɚ/,org-an-iz-er,noun,"'organizer'는 행사나 모임을 계획하고 준비하는 '주최자'나 '진행자'를 의미하며, 물건이나 일정을 체계적으로 관리하는 '정리 도구'(예: 다이어리)를 뜻하기도 합니다."
orientation,"오리엔테이션; 방향",/ˌɔɹiɛnˈteɪʃən/,or-ient-at-ion,noun,"'orientation'은 새로운 환경이나 활동을 시작하는 사람들을 위한 '사전 설명회', 즉 '오리엔테이션'을 의미하며, 어떤 대상이 향하고 있는 '방향'이나 개인의 '성향'을 뜻하기도 합니다."
outage,"정전, (서비스) 중단",/ˈaʊtɪd͡ʒ/,out-ag-e,noun,"'outage'는 전기, 수도, 인터넷 등의 공급이 일시적으로 끊기는 상황, 즉 '정전'이나 '서비스 중단'을 의미합니다."
outdate,"구식으로 만들다",,outd-at-e,verb,"'outdate'는 새로운 것의 등장으로 인해 기존의 것이 더 이상 유용하지 않거나 시대에 뒤떨어지게 되다, 즉 '구식이 되다' 또는 '시대에 뒤떨어지게 만들다'는 의미의 동사입니다."
outdoor,"야외의, 실외의",/ˌaʊtˈdɔː/,outd-oor,adjective,"'outdoor'는 건물 '밖의' 또는 '야외에서 하는' 활동을 묘사하는 형용사입니다. 부사 'outdoors'(야외에서)와 구분하여 사용해야 합니다."
outfit,"(특정 목적을 위한) 옷 한 벌",/ˈaʊtfɪt/,outf-it,noun,"'outfit'은 특정 상황이나 목적에 맞게 함께 입도록 갖추어진 옷, 즉 상의, 하의, 액세서리 등을 포함한 '의상 한 벌'을 의미합니다."
outlet,"콘센트; 직판점, 아울렛",/ˈaʊtlɛt/,outl-et,noun,"'outlet'은 전기 플러그를 꽂는 '콘센트'라는 의미와, 공장이나 회사가 제품을 직접 할인하여 판매하는 '직판점' 또는 '아울렛'이라는 두 가지 주요 의미를 가집니다."
outlook,"전망; 견해",/ˈaʊtˌlʊk/,outl-ook,noun,"'outlook'은 미래에 일어날 가능성이 있는 일에 대한 예상, 즉 '전망'을 의미하며, 삶이나 특정 사안에 대한 개인의 '견해'나 '사고방식'을 뜻하기도 합니다."
outstanding,"뛰어난; 미지불된",,outst-and-ing,adjective,"'outstanding'은 같은 종류의 다른 것들보다 훨씬 '뛰어난', '두드러진'이라는 긍정적인 의미와, 아직 지불되거나 처리되지 않은 '미결제의'라는 두 가지 주요 의미를 가집니다."
oval,"타원형의",/ˈəʊvəl/,ov-al,adjective,"'oval'은 달걀처럼 길고 둥근 모양, 즉 '타원형의'라는 의미를 가진 형용사이며, '타원형'이라는 명사로도 쓰입니다."
oven,"오븐",/ˈʌ.vn̩/,ov-en,noun,"'oven'은 빵을 굽거나 음식을 데우고 조리하는 데 사용하는, 사방이 막힌 주방 기구인 '오븐'을 의미합니다."
overcharge,"과다 청구하다",,ov-erch-arg-e,verb,"'overcharge'는 상품이나 서비스에 대해 실제 가격보다 더 많은 돈을 요구하는 것, 즉 '부당하게 많은 요금을 청구하다'라는 의미의 동사입니다."
overcrowd,"초만원을 이루다",,ov-ercr-owd,verb,"'overcrowd'는 특정 장소에 수용 가능한 인원보다 훨씬 더 많은 사람이 몰려 있는 상태, 즉 '너무 많이 붐비다'라는 의미의 동사입니다."
overdue,"기한이 지난",/ˌəʊ.vəˈdju/,ov-erd-ue,adjective,"'overdue'는 정해진 날짜나 시간을 넘긴, 즉 '반납 기한이 지난'(도서), '지불 기일이 지난'(요금) 상태를 나타내는 형용사입니다."
overhead,"(사업의) 경상비, 간접비",/ˈəʊvəˌhɛd/,ov-erh-ead,noun,"'overhead'는 제품 생산에 직접적으로 들지 않지만 사업을 운영하는 데 정기적으로 필요한 임대료, 전기세, 인건비 등의 '고정 경비' 또는 '간접비'를 의미합니다."
overlook,"간과하다; 내려다보다",/əʊvəˈlʊk/,ov-erl-ook,verb,"'overlook'은 실수로 무언가를 보지 못하고 지나치는 것, 즉 '간과하다'라는 의미와, 높은 곳에서 아래를 '내려다보다'는 두 가지 주요 의미를 가집니다."
overnight,"밤사이에; 하룻밤의",,ov-ern-ight,adverb,"'overnight'는 '밤 동안', '밤사이에'라는 의미의 부사와, '하룻밤 동안의'라는 의미의 형용사로 쓰입니다. (예: overnight trip - 1박 여행)"
overpay,"초과 지불하다",/oʊ.vɚ.peɪ/,ov-erp-ay,verb,"'overpay'는 원래 내야 할 금액보다 더 많은 돈을 지불하다, 즉 '과다 지불하다'라는 의미의 동사입니다."
oversee,"감독하다",/əʊvə(ɹ)siː/,ov-ers-ee,verb,"'oversee'는 어떤 작업이나 활동이 제대로 진행되는지 전체적으로 살피고 책임지는 것, 즉 '감독하다'라는 의미의 동사입니다."
