word,meaning,pronunciation,syllables,partOfSpeech,example
passport,"An official document normally used for international journeys, which proves the identity and nationality of the person for whom it was issued.",/ˈpɑːspɔːt/,p-assp-ort,noun,You will have to bring your passport to prove who you are.
password,A word used to gain admittance or to gain access to information; watchword.,/ˈpæswɜːd/,p-assw-ord,noun,
pasta,Dough made from wheat and water and sometimes mixed with egg and formed into various shapes; often sold in dried form and typically boiled for eating.,/ˈpɐːstə/,p-ast-a,noun,
pastry,"A baked food item made from flour and fat pastes such as pie crust; also tarts, bear claws, napoleons, puff pastries, etc.",/ˈpeɪstɹi/,p-astr-y,noun,"That pastry shop sells not just pastries, but all kinds of baked goods."
patent,"A declaration issued by a government agency declaring someone the inventor of a new invention and having the privilege of stopping others from making, using or selling the claimed invention; a letter patent.",/ˈpeɪtənt/,p-at-ent,noun,
patience,The quality of being patient.,/ˈpeɪʃəns/,p-at-ienc-e,noun,
patron,One who protects or supports; a defender or advocate.,/ˈpeɪ.tɹən/,p-atr-on,noun,This car park is for patrons only.
payable,(in the plural) Debts owed by a business; liabilities.,/ˈpeɪəbl̩/,p-ayabl-e,noun,Is value-added tax payable on planning application fees?
paycheck,Money received on payday as payment for work performed.,,p-aych-eck,noun,"He was delighted after getting his first paycheck, but subsequently blew it all on the horses"
payroll,"A list of employees who receive salary or wages, together with the amounts due to each.",/ˈpeɪɹəʊl/,p-ayr-oll,noun,
pedestrian,"A walker; one who walks or goes on foot, especially as opposed to one who uses a vehicle.",/pəˈdɛst.ɹi.ən/,p-ed-estr-ian,noun,pedestrian crossing
penalize,"To subject to a penalty, especially for the infringement of a rule or regulation.",/ˈpiː.nəl.aɪz/,p-en-al-iz-e,verb,
pepper,A plant of the family Piperaceae.,/ˈpɛpə/,p-epp-er,noun,"Some ballparks have signs saying ""No pepper games""."
performer,"One who performs for, or entertains, an audience.",/pəˈfɔːmə/,p-erf-orm-er,noun,the performer of an action
periodical,"A publication issued regularly, but less frequently than daily.",,p-er-iod-ic-al,noun,
periodically,In a regular periodic manner,,p-er-iod-ic-all-y,adverb,
permanently,In a permanent manner; lastingly.,/ˈpɜːmənəntli/,p-erm-an-entl-y,adverb,
personalize,To adapt something to the needs or tastes of an individual,,p-ers-on-al-iz-e,verb,
pet,An animal kept as a companion.,/pɛt/,p-et,noun,His daughter was petted and spoiled.
petition,"A formal, written request made to an official person or organized body, often containing many signatures.",/pəˈtɪ.ʃən/,p-et-it-ion,noun,The villagers petitioned the council to demolish the dangerous building.
pharmaceutical,A pharmaceutical or pharmacological preparation or product; a drug.,/ˌfɑɹməˈs(j)utɪkl̩/,ph-arm-ac-eut-ic-al,noun,
pharmacist,A professional who dispenses prescription drugs in a hospital or retail pharmacy.,/ˈfɑɹməsɪst/,ph-arm-ac-ist,noun,
pharmacy,(countable) A place where prescription drugs are dispensed; a dispensary.,/ˈfɑːməsi/,ph-arm-ac-y,noun,
photocopier,A machine which reproduces documents by photographing the original over a glass plate and printing duplicates.,,ph-ot-oc-op-ier,noun,
photocopy,A copy made using a photocopier.,,ph-ot-oc-op-y,noun,
photographer,"One who takes photographs, typically as an occupation.",/fəˈtɒɡɹəfə/,ph-ot-ogr-aph-er,noun,
photography,"The art and technology of producing images on photosensitive surfaces, and its digital counterpart.",/fəˈtɒɡɹəfi/,ph-ot-ogr-aph-y,noun,
physician,"A practitioner of physic, i.e. a specialist in internal medicine, especially as opposed to a surgeon; a practitioner who treats with medication rather than with surgery.",/fɪˈzɪʃən/,ph-ys-ic-ian,noun,
physics,"A medicine or drug, especially a cathartic or purgative.",/ˈfɪz.ɪks/,ph-ys-ics,noun,Newtonian physics was extended by Einstein to explain the effects of travelling near the speed of light; quantum physics extends it to account for the behaviour of atoms.
picnic,"An informal social gathering, usually in a natural outdoor setting, to which the participants bring their own food and drink.",/ˈpɪknɪk/,p-icn-ic,noun,We went out for a picnic in the forest.
pie,A type of pastry that consists of an outer crust and a filling.,/paɪ/,p-ie,noun,The family had steak and kidney pie for dinner and cherry pie for dessert.
pill,"A small, usually round or cylindrical object designed for easy swallowing, usually containing some sort of medication.",/pɪl/,p-ill,noun,Jane went on the pill when she left for college.
pillow,A soft cushion used to support the head in bed.,/ˈpɪləʊ/,p-ill-ow,noun,
pizza,"A baked Italian dish of a thinly rolled bread dough crust typically topped before baking with tomato sauce, cheese and other ingredients such as meat, vegetables or fruit",/ˈpiːt.sə/,p-izz-a,noun,Want to go out for pizza tonight?
placement,The act of placing or putting in place; the act of locating or positioning; the state of being placed.,/ˈpleɪsmənt/,pl-ac-em-ent,noun,It seems to me that the placement of that poster could be better.
planner,One who plans.,/ˈplænɚ/,pl-ann-er,noun,Johnny is a good planner. He starts his work in time to get it finished by the deadline.
plausible,"Seemingly or apparently valid, likely, or acceptable; conceivably true or likely",/ˈplɔːz.ə.bəl/,pl-aus-ibl-e,adjective,a plausible excuse
plow,"The notional area of land able to be farmed in a year by a team of 8 oxen pulling a carruca plow, usually reckoned at 120 acres.",,pl-ow,noun,The horse-drawn plough had a tremendous impact on agriculture.
plug,"A pronged connecting device which fits into a mating socket, especially an electrical one.",/plʌɡ/,pl-ug,noun,I pushed the plug back into the electrical socket and the lamp began to glow again.
plumber,One who works in or with lead.,/ˈplʌmə/,pl-umb-er,noun,

