word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
one-time,This is a one-time payment with no additional fees.,ˈwən-ˈtīm,one-time,"한때 ~였던, 이전의","'one-time'은 과거에는 그랬지만 지금은 더 이상 그렇지 않은, 즉 '한때 ~였던'이라는 의미를 가진 형용사입니다.",There is a ____ fee for account activation.
ongoing,The ongoing investigation will take several months.,ˈȯn-ˌgō-iŋ,on-go-ing,계속 진행 중인,'ongoing'은 어떤 과정이나 상황이 끝나지 않고 '계속 진행 중인' 상태임을 나타내는 형용사입니다.,Please give an update on the ____ investigation.
operational,The factory became fully operational last month.,ˌä-pə-ˈrā-sh(ə-)nəl,op-er-a-tion-al,"작동 가능한, 운영상의","'operational'은 시스템이나 장비가 사용될 준비가 되어 '작동 가능한' 상태임을 의미하며, 비즈니스의 '운영과 관련된'이라는 뜻으로도 쓰입니다.",The factory will be fully ____ by next Monday.
opposing,The board members held opposing opinions on the issue.,ə-ˈpōz,op-pos-ing,반대하는,"'opposing'은 의견, 팀, 세력 등이 서로 '대립하는', '반대하는' 관계에 있음을 나타내는 형용사입니다.",The debate featured two strongly ____ opinions.
optimal,We chose the optimal solution for the design problem.,ˈäp-tə-məl,op-ti-mal,최적의,"'optimal'은 주어진 조건 하에서 얻을 수 있는 가장 바람직하고 '최상의', '최적의' 상태를 묘사하는 형용사입니다.",We chose the ____ solution to balance cost and speed.
outgoing,She has an outgoing personality and makes friends easily.,ˈau̇t-ˌgō-iŋ,out-go-ing,외향적인; 떠나가는,"'outgoing'은 사람들과 어울리기를 좋아하는 '외향적인' 성격을 묘사하며, 직책 등에서 '물러나는', '떠나가는' 사람을 나타내기도 합니다.",Please confirm the number of ____ shipments today.
outstanding,He received an award for his outstanding performance.,au̇t-ˈstan-diŋ,out-stand-ing,뛰어난; 미지불된,"'outstanding'은 같은 종류의 다른 것들보다 훨씬 '뛰어난', '두드러진'이라는 긍정적인 의미와, 아직 지불되거나 처리되지 않은 '미결제의'라는 두 가지 주요 의미를 가집니다.",The intern received an award for ____ performance.
overall,The overall result of the project was positive.,ˌō-vər-ˈȯl,over-all,전반적인,"'overall'은 개별적인 부분이 아닌 전체를 고려하는, 즉 '종합적인', '전반적인'이라는 의미의 형용사 및 부사입니다.",Our ____ revenue increased by 12% this quarter.
overdue,The library charged a fee for overdue books.,ˌō-vər-ˈdü,over-due,기한이 지난,"'overdue'는 정해진 날짜나 시간을 넘긴, 즉 '반납 기한이 지난'(도서), '지불 기일이 지난'(요금) 상태를 나타내는 형용사입니다.",Your payment is ____ and must be settled immediately.
overhead,The company reduced overhead costs by automating tasks.,ˌō-vər-ˈhed,over-head,머리 위의; 간접비,"'overhead'는 '머리 위의'라는 의미의 형용사 및 부사이며, 명사로는 사업 운영에 드는 '간접 경비'를 의미합니다.",Rising ____ costs have affected our profit margins.
overnight,The package was sent by overnight delivery.,ˌō-vər-ˈnīt,over-night,밤사이에; 하룻밤의,"'overnight'는 '밤 동안', '밤사이에'라는 의미의 부사와, '하룻밤 동안의'라는 의미의 형용사로 쓰입니다. (예: overnight trip - 1박 여행)",The documents should arrive by ____ courier.
overseas,The company opened an overseas branch in Singapore.,ˌō-vər-ˈsēz,over-seas,"해외의, 해외로","'overseas'는 바다 건너 다른 나라, 즉 '해외'를 의미하는 형용사 및 부사입니다.",The firm plans to open ____ offices next year.
overwhelming,The students felt overwhelming pressure before the exam.,ˌō-vər-ˈ(h)wel-miŋ,over-whelm-ing,압도적인,"'overwhelming'은 수나 양, 힘, 감정 등이 너무나 강력하여 저항하거나 감당하기 힘든, 즉 '압도적인' 상태를 묘사하는 형용사입니다.",The product launch received an ____ response from customers.
permanent,She applied for a permanent position at the firm.,ˈpər-mə-nənt,per-ma-nent,영구적인,"'permanent'는 일시적이거나 임시적인 것이 아니라, 앞으로 계속 변하지 않고 '영구적인' 또는 '영원한' 상태를 나타내는 형용사입니다.",She got a ____ job at the company.
personal,Please share your personal information only with HR.,ˈpərs-nəl,per-son-al,"개인의, 사적인","'personal'은 특정 '개인의' 소유이거나 그와 관련된, 또는 공적인 것이 아닌 '사적인'이라는 의미의 형용사입니다.",Please keep your ____ items in a safe place.
persuasive,She gave a persuasive argument during the debate.,pər-ˈswā-siv,per-sua-sive,설득력 있는,"'persuasive'는 다른 사람이 어떤 것을 믿거나 하도록 만드는 힘, 즉 '설득력 있는' 말이나 주장을 묘사하는 형용사입니다.",He made a ____ argument during the meeting.
picturesque,We stayed at a picturesque village by the sea.,ˌpik-chə-ˈresk,pic-tur-esque,그림 같은,'picturesque'는 풍경이나 장소가 매우 아름다워 마치 '그림 같다'고 느껴질 때 사용하는 형용사입니다.,We stayed in a ____ village by the sea.
popular,It’s a popular destination for tourists.,ˈpä-pyə-lər,pop-u-lar,인기 있는,"'popular'는 많은 사람들이 좋아하거나 지지하는, 즉 '인기 있는'이라는 의미의 형용사입니다.",That singer is very ____ among teenagers.
previous,Please refer to the previous report for details.,ˈprē-vē-əs,pre-vi-ous,이전의,"'previous'는 시간이나 순서상으로 바로 '앞의', '이전의'라는 의미를 가진 형용사입니다.",Our ____ report showed great results.
prior,You need prior approval from the manager.,ˈprī(-ə)r,pri-or,"사전의, 이전의",'prior'는 어떤 일이 일어나기 '전의'라는 의미를 나타내는 형용사입니다. 주로 'prior to ~' 형태로 '~ 이전에'라고 쓰이는 격식 있는 표현입니다.,All visitors must arrive ____ to the event.
private,This is a private event for members only.,ˈprī-vət,pri-vate,"사적인, 개인 소유의","'private'은 공적인 것이 아닌 '개인의' 것이거나, 특정인에게만 허용되는 '사유의'라는 의미의 형용사입니다.",This is a ____ meeting for board members only.
profitable,The company found a profitable market in Asia.,ˈprä-fə-tə-bəl,prof-it-able,"수익성이 있는, 이득이 되는","'profitable'은 돈을 벌 수 있거나 이익을 가져다주는, 즉 '수익성이 있는' 사업이나 활동을 묘사하는 형용사입니다.",The new store became very ____.
prominent,She is a prominent researcher in the field.,ˈprä-mə-nənt,prom-i-nent,저명한; 두드러진,"'prominent'는 특정 분야에서 매우 유명하고 중요한, 즉 '저명한' 인물을 묘사하며, 다른 것들 사이에서 쉽게 눈에 띄는 '두드러진' 특징을 나타내기도 합니다.",She is a ____ leader in the industry.
promising,He is a promising candidate for the position.,ˈprɒmɪsɪŋ,prom-is-ing,"유망한, 장래가 촉망되는","'promising'은 미래에 성공할 가능성이 높아 보이는, 즉 '전망이 밝은' 또는 '유망한' 사람이나 상황을 묘사하는 형용사입니다.",He has a ____ future in the company.
prospective,We met several prospective clients last week.,prə-ˈspek-tiv,pro-spec-tive,"장래의, 유망한","'prospective'는 앞으로 특정 역할을 맡거나 고객이 될 가능성이 있는, 즉 '장래의' 또는 '잠재적인'이라는 의미의 형용사입니다. (예: prospective student - 예비 학생)",All ____ students must attend the meeting.
prosperous,The country enjoyed a prosperous economy for years.,ˈprä-sp(ə-)rəs,pros-per-ous,"번영하는, 번창하는","'prosperous'는 경제적으로 성공하고 부유한, 즉 '번영하는' 또는 '번창하는' 개인, 국가, 시기 등을 묘사하는 형용사입니다.",The country became ____ after the reform.
protective,Wear protective clothing when handling chemicals.,prə-ˈtekt,pro-tect-ive,보호하는,"'protective'는 누군가나 무언가를 위험이나 손상으로부터 안전하게 지키려는, 즉 '보호하는' 성질이나 행동을 묘사하는 형용사입니다.",Wear ____ gloves when cleaning.
punctual,He is known for his punctual attendance at work.,ˈpəŋk-chə-wəl,punc-tu-al,시간을 잘 지키는,"'punctual'은 약속이나 정해진 시간을 어기지 않고 항상 제시간에 도착하거나 일을 마치는, 즉 '시간을 엄수하는' 성실한 태도를 묘사하는 형용사입니다.",He is always ____ and never late.
qualified,Only qualified applicants will be interviewed.,ˈkwä-lə-ˌfīd,qual-i-fied,자격 있는,"'qualified'는 특정 직업이나 활동에 필요한 기술, 지식, 경험 등을 갖춘, 즉 '자격이 있는' 상태를 나타냅니다.",Only ____ applicants can join the team.
rare,This museum displays rare artifacts from ancient times.,ˈrer,rare,"드문, 희귀한",'rare'는 자주 일어나거나 발견되지 않아 '드문' 또는 '희귀한' 대상을 묘사하는 형용사입니다.,Such a chance is very ____.
reasonable,We offer reasonable prices for all services.,ˈrēz-nə-bəl,rea-son-able,"합리적인, 적당한","'reasonable'은 논리적으로 타당하고 '합리적인' 생각이나, 가격 등이 너무 비싸지 않고 '적당한' 수준임을 나타냅니다.",That’s a ____ price for this quality.
recent,The company announced recent changes in policy.,ˈrē-sᵊnt,re-cent,최근의,"'recent'는 지금으로부터 멀지 않은 과거에 일어난, 즉 '최근의'라는 의미를 가진 형용사입니다.",We saw a ____ rise in sales this month.
record,The team achieved a record profit this quarter.,ri-ˈkȯrd,rec-ord,기록적인; 기록하다,"'record'는 이전의 어떤 것보다 더 높거나 낮은 수치를 나타내는 '기록적인'이라는 의미의 형용사와, 정보를 '기록하다'는 의미의 동사로 쓰입니다.",She broke the world ____ in swimming.
regular,We hold regular meetings every Monday.,ˈre-gyə-lər,reg-u-lar,규칙적인; 보통의,"'regular'는 일정한 간격을 두고 '규칙적으로' 일어나는 일이나, 특별하지 않은 '보통의', '일반적인' 것을 묘사합니다.",He goes for a walk on a ____ schedule.
relevant,Please include all relevant information in your report.,ˈre-lə-vənt,rel-e-vant,관련 있는,"'relevant'는 현재 논의 중인 주제와 직접적인 관계가 있는, 즉 '관련된' 또는 '적절한'이라는 의미를 가진 형용사입니다.",Please write only ____ details in your report.
reliable,We are looking for a reliable supplier for raw materials.,ri-ˈlī-ə-bəl,re-li-able,"믿을 수 있는, 신뢰할 수 있는",'reliable'은 약속을 잘 지키고 꾸준하여 '믿을 수 있는' 또는 '신뢰할 수 있는' 사람이나 사물을 묘사하는 형용사입니다.,We need a ____ supplier for our project.
remarkable,She made remarkable progress in a short time.,ri-ˈmär-kə-bəl,re-mark-able,"놀라운, 주목할 만한",'remarkable'은 매우 뛰어나거나 특별하여 '주목할 만한' 또는 '놀라운' 대상이나 성과를 묘사하는 형용사입니다.,She gave a ____ performance on stage.
renowned,He is a renowned author of modern fiction.,ri-ˈnau̇nd,re-nowned,명성 있는,'renowned'는 훌륭한 자질이나 업적으로 널리 알려져 '유명한' 또는 '명성 있는'이라는 의미의 형용사입니다. 'famous'보다 격식 있는 표현입니다.,He is a ____ scientist known worldwide.
respective,The managers returned to their respective offices.,ri-ˈspek-tiv,re-spec-tive,각각의,"'respective'는 둘 이상의 사람이나 사물에 대해 말할 때, 언급된 순서대로 '각자의', '각각의'라는 의미를 나타내는 형용사입니다.",Each team finished its ____ task on time.
rewarding,Teaching can be a rewarding career for many people.,ri-ˈwȯr-diŋ,re-ward-ing,보람 있는,'rewarding'은 힘들지만 만족감과 성취감을 주어 '보람 있는' 일이나 경험을 묘사하는 형용사입니다.,Teaching young children is very ____.
rigid,The company maintains a rigid structure of hierarchy.,ˈri-jəd,rig-id,엄격한; 융통성 없는,"'rigid'는 규칙이나 방식이 매우 '엄격하여' 바뀌기 어려운 상태나, 생각이나 태도가 '융통성 없는' 경우를 묘사합니다.",The policy is too ____ to change.
rigorous,The candidates went through a rigorous evaluation process.,ˈri-g(ə-)rəs,rig-or-ous,"엄격한, 철저한",'rigorous'는 규칙의 적용이나 검사 과정이 매우 '엄격하고 철저한' 상태를 나타내는 형용사입니다.,The exam has a ____ grading system.
robust,We need a robust system to handle heavy traffic.,rō-ˈbəst,ro-bust,"튼튼한, 원기 왕성한","'robust'는 사람이나 시스템, 경제 등이 매우 '강건하고 튼튼한' 상태를 묘사하는 형용사입니다.",We need a ____ plan to improve the system.
