word,meaning,pronunciation,syllables,partOfSpeech,example
infer,"추론하다",/ɪnˈfɜː/,inf-er,verb,"'infer'는 주어진 사실이나 증거를 바탕으로 직접적으로 언급되지 않은 결론을 이끌어내는 것, 즉 '추론하다'라는 의미의 동사입니다."
inference,"추론",/ˈɪn.fə.ɹəns/,inf-er-enc-e,noun,"'inference'는 알려진 사실로부터 논리적인 결론을 이끌어내는 과정이나 그 결과, 즉 '추론'을 의미하는 명사입니다."
inflate,"(공기·가스로) 부풀리다; (가격을) 올리다",/ɪnˈfleɪt/,infl-at-e,verb,"'inflate'는 타이어나 풍선 등에 공기를 넣어 '부풀리다'라는 의미와, 가격이나 비용 등을 인위적으로 '올리다', '부풀리다'는 두 가지 주요 의미를 가집니다."
influential,"영향력 있는",/ɪnfluˈɛnʃəl/,infl-uent-ial,adjective,"'influential'은 다른 사람의 생각이나 행동에 큰 영향을 미칠 수 있는 힘, 즉 '영향력이 있는' 사람이나 사물을 묘사하는 형용사입니다."
informal,"비공식적인, 격식을 차리지 않는",/ɪnˈfɔːm(ə)l/,inf-orm-al,adjective,"'informal'은 엄격한 규칙이나 격식에 얽매이지 않는, 즉 '비공식적인' 또는 '편안한' 분위기나 관계를 묘사하는 형용사입니다."
informative,"유익한, 정보를 많이 주는",/ɪnˈfɔɹmətɪv/,inf-orm-at-iv-e,adjective,"'informative'는 유용하거나 흥미로운 정보를 많이 담고 있어 '유익한' 책, 웹사이트, 대화 등을 묘사하는 형용사입니다."
ingredient,"(요리의) 재료, 성분",/ɪnˈɡɹiːdi.ənt/,ingr-ed-ient,noun,"'ingredient'는 어떤 음식을 만드는 데 들어가는 각각의 '재료'나, 어떤 것을 구성하는 '요소' 또는 '성분'을 의미합니다."
ink,"잉크",/ɪŋk/,ink,noun,"'ink'는 펜으로 글씨를 쓰거나 인쇄를 할 때 사용하는 유색 액체, 즉 '잉크'를 의미합니다."
innovative,"혁신적인",/ɪnˈnɒ.və.tɪv/,inn-ov-at-iv-e,adjective,"'innovative'는 기존의 방식에서 벗어나 새롭고 독창적인 아이디어나 기술을 도입하는, 즉 '혁신적인'이라는 의미의 형용사입니다."
inquire,"문의하다, 묻다",/ɪnˈkwaɪə/,inq-uir-e,verb,"'inquire'는 정보를 얻기 위해 질문하는 것, 즉 '문의하다' 또는 '묻다'라는 의미의 동사입니다. 'ask'보다 더 격식 있는 표현입니다."
insert,"끼워 넣다, 삽입하다",/ɪnˈsɜːt/,ins-ert,verb,"'insert'는 틈이나 공간 사이에 어떤 물건을 '끼워 넣다' 또는 글이나 문서 중간에 텍스트나 이미지를 '삽입하다'라는 의미의 동사입니다."
inspect,"검사하다, 점검하다",/ɪnˈspɛkt/,insp-ect,verb,"'inspect'는 어떤 것이 안전 기준에 맞는지, 제대로 작동하는지, 문제가 없는지 등을 알아보기 위해 면밀히 살피는 것, 즉 '검사하다' 또는 '점검하다'라는 의미의 동사입니다."
inspection,"검사, 점검",/ɪnˈspɛkʃən/,insp-ect-ion,noun,"'inspection'은 공식적으로 무언가를 자세히 살펴보는 행위, 즉 '검사'나 '점검'을 의미하는 명사입니다."
inspector,"검사관, 감독관",/ɪnˈspɛktə/,insp-ect-or,noun,"'inspector'는 특정 기준에 따라 검사나 감독을 하는 공식적인 직책을 가진 사람, 즉 '검사관'이나 '조사관'을 의미합니다."
inspiration,"영감",/ɪnspɨˈɹeɪʃən/,insp-ir-at-ion,noun,"'inspiration'은 예술 작품이나 새로운 아이디어를 창조하도록 자극을 주는 갑작스러운 영적인 힘, 즉 '영감'을 의미합니다."
installation,"설치",/[ɪnstəˈleɪʃən]/,inst-all-at-ion,noun,"'installation'은 새로운 장비나 시스템, 소프트웨어 등을 사용할 수 있도록 제자리에 놓고 연결하는 과정, 즉 '설치'를 의미합니다."
