word,meaning,pronunciation,syllables,partOfSpeech,example
enroll,"등록하다, 입학하다",/ɪnˈɹəʊl/,enr-oll,verb,"'enroll'은 학교, 강좌, 프로그램 등에 공식적으로 이름을 올려 '등록하다' 또는 '입학하다'라는 의미의 동사입니다. 주로 'enroll in ~' 형태로 '~에 등록하다'라고 쓰입니다."
enrollment,"등록, 입학",,enr-ollm-ent,noun,"'enrollment'는 학교나 강좌에 등록하는 절차나 행위, 또는 등록한 학생 수를 의미하는 명사입니다."
enthusiasm,"열정, 열의",/-θuː-/,enth-us-iasm,noun,"'enthusiasm'은 어떤 일에 대한 강한 흥미와 열렬한 마음, 즉 '열정' 또는 '열의'를 의미하는 명사입니다."
enthusiast,"열광적인 팬, 애호가",,enth-us-iast,noun,"'enthusiast'는 특정 분야나 활동에 대해 매우 큰 열정을 가진 사람, 즉 '열광적인 팬'이나 '애호가'를 의미합니다."
enthusiastic,"열정적인, 열렬한",/ɪnˌθjuːzɪˈæstɪk/,enth-us-iast-ic,adjective,"'enthusiastic'은 어떤 것에 대해 강한 흥분과 관심을 보이는, 즉 '열정적인' 또는 '열렬한' 태도를 묘사하는 형용사입니다."
enthusiastically,"열정적으로, 열심히",,enth-us-iast-ic-all-y,adverb,"'enthusiastically'는 어떤 일을 매우 열정적이고 활기차게 하는 방식을 나타내는 부사로, '열심히', '열광적으로'라고 해석됩니다."
entrée,"앙트레, 주 요리",/ˈɑntɹeɪ/,entr-ée,noun,"'entrée'는 식사에서 가장 중심이 되는 '주 요리'(main course)를 의미합니다. 프랑스에서는 주 요리 전에 나오는 작은 요리를 의미하기도 하지만, 미국식 영어에서는 주 요리를 뜻하는 경우가 일반적입니다."
entrepreneur,"기업가, 사업가",/ˌɒn.tɹə.pɹəˈnɜː/,entr-epr-en-eur,noun,"'entrepreneur'는 새로운 사업을 구상하고, 위험을 감수하며 회사를 설립하고 운영하는 사람, 즉 '기업가'나 '사업가'를 의미합니다."
environmentally,"환경적으로",,env-ir-onm-ent-all-y,adverb,"'environmentally'는 '환경적인 관점에서' 또는 '환경에 미치는 영향 면에서'라는 의미의 부사입니다. (예: environmentally friendly - 친환경적인)"
equip,"(장비를) 갖추다, 설비하다",/ɪˈkwɪp/,eq-uip,verb,"'equip'는 특정 목적에 필요한 장비나 물품을 제공하거나 '갖추다'라는 의미의 동사입니다. 주로 수동태 'be equipped with' 형태로 '~을 갖추고 있다'라고 쓰입니다."
erase,"지우다",/ɪˈɹeɪz/,er-as-e,verb,"'erase'는 연필로 쓴 글씨를 지우개로 지우거나, 녹음된 데이터 등을 '지우다', '삭제하다'라는 의미의 동사입니다."
escalator,"에스컬레이터",/ˈɛs.kə.leɪ.tə/,esc-al-at-or,noun,"'escalator'는 건물 층간을 자동으로 오르내릴 수 있도록 만든 계단 형태의 장치, 즉 '에스컬레이터'를 의미합니다."
escort,"호위(하다), 에스코트(하다)",/ɛˈskɔːt/,esc-ort,verb,"'escort'는 중요한 인물을 보호하거나 어떤 장소로 안전하게 안내하기 위해 '동행하다' 또는 '호위하다'라는 의미를 가집니다."
ethics,"윤리학, 윤리",/ˈɛθ.ɪks/,eth-ics,noun,"'ethics'는 무엇이 옳고 그른지에 대한 도덕적 원칙이나 신념 체계, 즉 '윤리' 또는 그것을 연구하는 학문인 '윤리학'을 의미하며, 항상 복수형으로 씁니다."
euro,"유로",/ˈjʊəɹəʊ/,eur-o,noun,"'euro'는 유럽 연합(EU)의 여러 국가에서 사용하는 공식 통화, 즉 '유로'를 의미합니다."
evacuate,"대피시키다, 피난하다",/ɪˈvæk.ju.eɪt/,ev-ac-uat-e,verb,"'evacuate'는 위험한 장소에서 사람들을 안전한 곳으로 옮기거나 스스로 떠나는 것, 즉 '(장소를) 비우다', '대피시키다'라는 의미의 동사입니다."
