word,meaning,pronunciation,syllables,partOfSpeech,example
rider,"타는 사람",/ˈɹaɪ.də(ɹ)/,r-id-er,noun,"'rider'는 말, 자전거, 오토바이 등을 타는 사람을 의미합니다."
rose,"장미",/ɹəʊz/,r-os-e,noun,"'rose'는 아름다운 꽃과 향기로 사랑받는 '장미'를 의미하며, 동사 'rise'(오르다)의 과거형이기도 합니다."
rubber,"고무",/ˈɹʌbə(ɹ)/,r-ubb-er,noun,"'rubber'는 탄력성이 있는 소재인 '고무'를 의미합니다. 영국 영어에서는 '지우개'라는 뜻으로도 쓰입니다."
rug,"러그, 작은 양탄자",/ɹʌɡ/,r-ug,noun,"'rug'는 바닥 전체가 아닌, 일부에만 까는 작은 크기의 '양탄자'나 '깔개'를 의미합니다."
rumor,"소문, 풍문",/ˈɹuːmə(ɹ)/,r-um-or,noun,"'rumor'는 사실인지 확인되지 않은 채 사람들 사이에 퍼지는 이야기, 즉 '소문'이나 '풍문'을 의미합니다."
runner,"달리는 사람, 주자",/ˈɹʌnə/,r-unn-er,noun,"'runner'는 달리기를 하는 사람, 즉 '주자'를 의미합니다."
safely,"안전하게",/ˈseɪfli/,s-af-el-y,adverb,"'safely'는 위험이나 해를 입지 않도록 '안전하게'라는 의미의 부사입니다."
salad,"샐러드",/ˈsæləd/,s-al-ad,noun,"'salad'는 주로 신선한 채소에 드레싱을 곁들여 먹는 음식인 '샐러드'를 의미합니다."
salesman,"판매원 (남성)",,s-al-esm-an,noun,"'salesman'은 물건을 파는 남자 직원, 즉 '남성 판매원'을 의미합니다."
salespeople,"판매원들",,s-al-esp-eopl-e,noun,"'salespeople'는 'salesperson'의 복수형으로, 여러 명의 판매원을 의미합니다."
salesperson,"판매원",,s-al-esp-ers-on,noun,"'salesperson'은 물건을 파는 직원을 성별에 관계없이 부르는 중립적인 단어입니다."
salon,"미용실, 살롱",/səˈlɒn/,s-al-on,noun,"'salon'은 머리 손질이나 피부 관리 등을 전문적으로 하는 '미용실'(beauty salon)이나 '헤어살롱'(hair salon)을 의미합니다."
sandwich,"샌드위치",/ˈsæmwɪd͡ʒ/,s-andw-ich,noun,"'sandwich'는 두 조각의 빵 사이에 고기, 채소, 치즈 등을 넣어 만든 간편한 음식인 '샌드위치'를 의미합니다."
satellite,"인공위성",/ˈsætəlaɪt/,s-at-ell-it-e,noun,"'satellite'는 통신, 방송, 관측 등을 위해 지구 궤도를 도는 '인공위성'을 의미합니다."
satisfactory,"만족스러운, 괜찮은",/sætɪsˈfækt(ə)ɹi/,s-at-isf-act-or-y,adjective,"'satisfactory'는 기대나 기준을 충족시켜 '만족스러운' 또는 '충분히 괜찮은' 수준임을 나타내는 형용사입니다."
sauna,"사우나",/ˈsaʊ.nə/,s-aun-a,noun,"'sauna'는 뜨거운 증기를 이용하여 땀을 내는 핀란드식 증기 목욕 또는 그 시설인 '사우나'를 의미합니다."
scarf,"스카프, 목도리",/skɑːf/,sc-arf,noun,"'scarf'는 목을 따뜻하게 하거나 멋을 내기 위해 목에 두르는 '목도리'나 '스카프'를 의미합니다."
scenery,"풍경, 경치",/ˈsiːnəɹi/,sc-en-er-y,noun,"'scenery'는 눈에 보이는 자연의 아름다운 모습, 즉 '풍경'이나 '경치'를 의미하는 셀 수 없는 명사입니다."
scholarship,"장학금",/ˈskɒləʃɪp/,sch-ol-arsh-ip,noun,"'scholarship'은 학업 성적이 우수하거나 특정 조건을 만족하는 학생에게 학비를 지원해 주는 '장학금'을 의미합니다."
sculpture,"조각(품)",/ˈskʌlptj(ʊ)ə/,sc-ulpt-ur-e,noun,"'sculpture'는 돌, 나무, 금속 등을 깎거나 빚어서 입체적인 형태로 만든 예술 작품, 즉 '조각' 또는 '조소'를 의미합니다."
seafood,"해산물",/ˈsiːfuːd/,s-eaf-ood,noun,"'seafood'는 생선, 조개, 새우, 게 등 바다에서 나는 먹을 수 있는 모든 것을 총칭하는 '해산물'을 의미합니다."
seaside,"바닷가, 해변",,s-eas-id-e,noun,"'seaside'는 바다와 육지가 만나는 지역, 즉 '바닷가'나 '해변'을 의미하며, 주로 휴양지를 가리킬 때 쓰입니다."
seasonal,"계절적인",/ˈsiːzənəl/,s-eas-on-al,adjective,"'seasonal'은 특정 계절에만 이용 가능하거나 활동이 이루어지는, 즉 '계절적인' 특징을 가진 것을 묘사하는 형용사입니다."
sedan,"세단 (일반 승용차)",/səˈdæn/,s-ed-an,noun,"'sedan'은 문이 네 개 있고 지붕이 덮여 있는 가장 일반적인 형태의 승용차, 즉 '세단'을 의미합니다."
seeker,"찾는 사람",/ˈsiːkə/,s-eek-er,noun,"'seeker'는 무언가를 구하거나 찾는 사람을 의미합니다. (예: job seeker - 구직자)"
seldom,"좀처럼 ~않는, 드물게",/ˈsɛldəm/,s-eld-om,adverb,"'seldom'은 어떤 일이 일어나는 횟수가 매우 적음을 나타내는 부사로, '좀처럼 ~않는', '드물게'라고 해석됩니다. 부정의 의미를 가집니다."
seller,"판매자",/ˈsɛlə/,s-ell-er,noun,"'seller'는 물건이나 서비스를 파는 사람이나 회사, 즉 '판매자'를 의미합니다. 'buyer'(구매자)의 반대말입니다."
semester,"학기",/sɪˈmɛstə/,s-em-est-er,noun,"'semester'는 1년의 학년을 보통 두 개로 나눈 교육 단위, 즉 '학기'를 의미합니다."
seminar,"세미나",,s-em-in-ar,noun,"'seminar'는 특정 주제에 대해 소수의 사람들이 모여 토론하고 연구하는 방식의 수업이나 회의, 즉 '세미나'를 의미합니다."
sender,"보내는 사람, 발신인",/ˈsɛndɚ/,s-end-er,noun,"'sender'는 편지, 소포, 이메일 등을 보내는 사람, 즉 '발신인'을 의미합니다."
separately,"따로, 별개로",/ˈsɛpəɹətli/,s-ep-ar-at-el-y,adverb,"'separately'는 함께가 아니라 '각각', '따로따로'라는 의미의 부사입니다."
serial,"연속물",/ˈsɪəɹiːəɫ/,s-er-ial,noun,"'serial'은 이야기가 여러 회에 걸쳐 나뉘어 발행되거나 방송되는 '연속극'이나 '연재 소설'을 의미합니다."
