word,meaning,pronunciation,syllables,partOfSpeech,example
permanent,She applied for a permanent position at the firm.,ˈpər-mə-nənt,per-ma-nent,영구적인,"'permanent'는 일시적이거나 임시적인 것이 아니라, 앞으로 계속 변하지 않고 '영구적인' 또는 '영원한' 상태를 나타내는 형용사입니다."
personal,Please share your personal information only with HR.,ˈpərs-nəl,per-son-al,"개인의, 사적인","'personal'은 특정 '개인의' 소유이거나 그와 관련된, 또는 공적인 것이 아닌 '사적인'이라는 의미의 형용사입니다."
persuasive,She gave a persuasive argument during the debate.,pər-ˈswā-siv,per-sua-sive,설득력 있는,"'persuasive'는 다른 사람이 어떤 것을 믿거나 하도록 만드는 힘, 즉 '설득력 있는' 말이나 주장을 묘사하는 형용사입니다."
picturesque,We stayed at a picturesque village by the sea.,ˌpik-chə-ˈresk,pic-tur-esque,그림 같은,'picturesque'는 풍경이나 장소가 매우 아름다워 마치 '그림 같다'고 느껴질 때 사용하는 형용사입니다.
popular,It’s a popular destination for tourists.,ˈpä-pyə-lər,pop-u-lar,인기 있는,"'popular'는 많은 사람들이 좋아하거나 지지하는, 즉 '인기 있는'이라는 의미의 형용사입니다."
previous,Please refer to the previous report for details.,ˈprē-vē-əs,pre-vi-ous,이전의,"'previous'는 시간이나 순서상으로 바로 '앞의', '이전의'라는 의미를 가진 형용사입니다."
prior,You need prior approval from the manager.,ˈprī(-ə)r,pri-or,"사전의, 이전의",'prior'는 어떤 일이 일어나기 '전의'라는 의미를 나타내는 형용사입니다. 주로 'prior to ~' 형태로 '~ 이전에'라고 쓰이는 격식 있는 표현입니다.
private,This is a private event for members only.,ˈprī-vət,pri-vate,"사적인, 개인 소유의","'private'은 공적인 것이 아닌 '개인의' 것이거나, 특정인에게만 허용되는 '사유의'라는 의미의 형용사입니다."
profitable,The company found a profitable market in Asia.,ˈprä-fə-tə-bəl,prof-it-able,"수익성이 있는, 이득이 되는","'profitable'은 돈을 벌 수 있거나 이익을 가져다주는, 즉 '수익성이 있는' 사업이나 활동을 묘사하는 형용사입니다."
prominent,She is a prominent researcher in the field.,ˈprä-mə-nənt,prom-i-nent,저명한; 두드러진,"'prominent'는 특정 분야에서 매우 유명하고 중요한, 즉 '저명한' 인물을 묘사하며, 다른 것들 사이에서 쉽게 눈에 띄는 '두드러진' 특징을 나타내기도 합니다."
promising,He is a promising candidate for the position.,ˈprɒmɪsɪŋ,prom-is-ing,"유망한, 장래가 촉망되는","'promising'은 미래에 성공할 가능성이 높아 보이는, 즉 '전망이 밝은' 또는 '유망한' 사람이나 상황을 묘사하는 형용사입니다."
