word,meaning,pronunciation,syllables,partOfSpeech,example
lobby,An entryway or reception area; vestibule; passageway; corridor.,/lɒbi/,l-obb-y,noun,I had to wait in the lobby for hours before seeing the doctor.
locally,With respect to place; in place.,,l-oc-all-y,adverb,These things are locally separated.
locker,"A type of storage compartment with a lock, usually used to store clothing, equipment, or books.",,l-ock-er,noun,The student placed her books in her locker when she arrived at school.
logical,In agreement with the principles of logic.,/ˈlɒdʒɪkəɫ/,l-og-ic-al,adjective,"Logical memory appears contiguous to an application program, but may well be stored on several physical devices, including in RAM and on hard-disks, as determined by the operating system."
login,"A combination of a user's identification and password used to enter a computer, program, network, etc.",/ˈlɒɡ.ɪn/,l-og-in,noun,I've forgotten my login again.
logo,A visual symbol or emblem that acts as a trademark or a means of identification of a company or organization.,/ˈləʊɡəʊ/,l-og-o,noun,
loudly,In a loud manner; at a high volume.,/ˈlaʊdli/,l-oudl-y,adverb,He spoke loudly so that his brother could hear him from across the street.
lounge,"A waiting room in an office, airport etc.",/laʊndʒ/,l-oung-e,noun,
loyal,Having or demonstrating undivided and constant support for someone or something.,/ˈlɔɪəl/,l-oyal,adjective,
loyalty,The state of being loyal; fidelity.,/ˈlɔɪəlti/,l-oyalt-y,noun,
luggage,The bags and other containers that hold a traveller's belongings.,/ˈlʌɡɪd͡ʒ/,l-ugg-ag-e,noun,
luncheon,A formal meal served in the middle of the day.,/ˈlʌntʃ.ən/,l-unch-eon,noun,
lunchtime,The time or hour at or around which lunch is normally eaten.,/ˈlʌnt͡ʃtaɪm/,l-uncht-im-e,noun,"It's almost lunchtime, so I think I'll finish up later this afternoon."
ma'am,"To address (someone) using ""ma'am"".",/mæm/,m-a'am,verb,"Later, Mrs Grey was sitting in her favourite tea shop. “Would madam like the usual cream cakes and patisserie with her tea?” the waitress asked."
machinery,"The machines constituting a production apparatus, in a plant etc., collectively.",/məˈʃiːnəɹi/,m-ach-in-er-y,noun,
malfunction,Faulty functioning,/ˌmælˈfʌŋk.ʃən/,m-alf-unct-ion,noun,"She told him the machine was poorly built, but they both knew that she was the one who had malfunctioned."
mall,"A pedestrianised street, especially a shopping precinct.",/mɔːl/,m-all,noun,
managerial,Of or relating to a manager or management; involving management-like duties.,,m-an-ag-er-ial,adjective,
mandatory,"A sign or line that require the path of the disc to be above, below or to one side of it.",/ˈmæn.də.t(ə)ɹi/,m-and-at-or-y,noun,Attendance at a school is usually mandatory for children.
manual,A handbook.,/ˈman.j(ʊ)əl/,m-an-ual,noun,The dishwasher isn't working; can you remember where we put the manual?
mask,"A cover, or partial cover, for the face, used for disguise or protection.",/mæsk/,m-ask,noun,a dancer's mask; a fencer's mask; a ball player's mask
massage,"The action of rubbing, kneading or hitting someone's body, to help the person relax, prepare for muscular action (as in contact sports) or to relieve aches.",/ˈmæsɑːʒ/,m-ass-ag-e,noun,Having a massage can have many beneficial effects.
maximize,To make as large as possible,,m-ax-im-iz-e,verb,
meaningful,"Having meaning, significant.",/ˈminɪŋfʊl/,m-ean-ingf-ul,adjective,I think we made a meaningful contribution to this project today.
meantime,The time spent waiting for another event; time in between.,/ˈmiːntaɪm/,m-eant-im-e,noun,"I'll get started tomorrow but, in the meantime, let's see if we can get a few more opinions."
mechanic,A manual worker; a labourer or artisan.,/məˈkænɪk/,m-ech-an-ic,noun,This game has a mechanic where if you run toward a ledge you automatically jump off rather than just falling.
mechanical,Manually created layout of artwork that is camera ready for photographic reproduction.,/mɪˈkanɪk(ə)l/,m-ech-an-ic-al,noun,mechanical engineering
media,The middle layer of the wall of a blood vessel or lymph vessel which is composed of connective and muscular tissue.,/ˈmiːdɪə/,m-ed-ia,noun,
medication,"A medicine, or all the medicines regularly taken by a patient.",/mɛdɪˈkeɪʃən/,m-ed-ic-at-ion,noun,
memo,A short note; a memorandum.,/ˈmɛməʊ̯/,m-em-o,noun,I made sure to memo him about the client's complaints.
memorandum,A short note serving as a reminder.,,m-em-or-and-um,noun,
memorize,"To learn by heart, commit to memory.",/ˈmɛm.əɹˌaɪ̯z/,m-em-or-iz-e,verb,
mentor,A wise and trusted counselor or teacher,/ˈmɛn.tɔː/,m-ent-or,noun,
merchandise,Commodities offered for sale.,/ˈmɜːtʃənˌdaɪs/,m-erch-and-is-e,noun,good business depends on having good merchandise
merchant,A person who traffics in commodities for profit.,/ˈmɜːtʃənt/,m-erch-ant,noun,a merchanting service
merge,The joining together of multiple sources.,/mɜːdʒ/,m-erg-e,noun,The merge of the two documents failed.
merger,One that merges.,/ˈmɜːdʒə/,m-erg-er,noun,
merit,A claim to commendation or a reward.,/ˈmɛɹət/,m-er-it,noun,"For her good performance in the examination, her teacher gave her ten merits."
messenger,One who brings messages.,/ˈmɛs.n̩.d͡ʒə/,m-ess-eng-er,noun,I'll messenger over the signed documents.

