word,meaning,pronunciation,syllables,partOfSpeech,example
maintain,They maintained that the plan would work.,mān-ˈtān,main-tain,타동사. 수동형 자주.,"maintain'은 (기계, 건물, 상태 등을) '좋은' '상태'로 '계속' '보존'하거나 '관리'한다는 '의미'의 '동사'입니다.\r\n It is important to maintain the equipment in good condition."
make,He made a mistake. / The news made me happy.,ˈmāk,make,5형식 문형 대표.,"make'는 (물건을) '만들다'는 의미 외에, (결정, 예약, 약속, 전화 등을) '하다'는 의미로 광범위하게 쓰이는 동사입니다.\r\n Please make a reservation at least 24 hours in advance."
mark,The teacher marked the paper as correct.,ˈmärk,mark,as보어 구조 가능.,"mark'는 (명사) '경계'라는 뜻도 있지만, (동사) (중요한 정보나 오류 등을) '체크'하거나 '표시한다'는 의미로 훨씬 자주 쓰입니다.\r\n Please mark any items on the list that are out of stock."
matter,It doesn’t matter at all.,ˈma-tər,mat-ter,자동사. 수동 불가.,"matter'는 (고려하거나) '처리'해야 '할' '주제', '문제', '사안'을 '의미'하는 '명사'입니다.\r\n We need to discuss an urgent matter concerning the budget."
meet,We met our sales target.,ˈmēt,meet,타동사. 목적어 바로 취함.,"meet'는 (사람을) '만나다'는 의미 외에, (요구, 필요, 기한, 표준 등을) '만족'시키거나 '충족시킨다'는 의미로 매우 자주 쓰입니다.\r\n All products must meet strict quality standards."
mention,He mentioned attending the meeting.,ˈmen(t)-shən,men-tion,타동사. 전치사 about 금지.,"mention'은 (명사) '언급'이라는 뜻도 있지만, (동사) (어떤 것에 대해) '간단히' '이야기'하거나 '언급한다'는 '의미'로 '자주' '쓰'입니다.\r\n The manager did not mention any changes to the project deadline."
misplace,She misplaced her wallet.,ˌmis-ˈplās,mis-place,타동사. 수동형 가능.,misplace'는 (물건을) '엉뚱한' '장소'에 '두'어서 '일시적'으로 '찾지' '못한다'는 '의미'의 '동사'입니다.\r\n I seem to have misplaced the invoice for that order.
modify,We modified the schedule.,ˈmä-də-ˌfī,mod-i-fy,타동사. 수동 가능.,"modify'는 (더' '나은' '결과'를 '위해') (계획, '디자인', '시스템' '등'을) '부분적'으로 '바꾸거나' '수정한다'는 '의미'의 '동사'입니다.\r\n We had to modify the original design to reduce costs."
monitor,The system monitors user activity.,ˈmä-nə-tər,mon-i-tor,타동사. 전치사 불필요.,"monitor'는 (명사) '학생' '조교'라는 '뜻'도 '있'지만, (동사) (상황의' '변화'를 '알기' '위해') '지속적'으로 '확인'하고 '관찰'한다'는 '의미'로 '훨씬' '자주' '쓰'입니다.\r\n We need to monitor the system's performance closely."
name,He was named manager.,ˈnām,name,5형식. 수동형 자주.,name'은 (사람이나) '사물'을 '구별'하여 '부'르는 '말'인 '이름'을 '의미'하는 '명사'입니다.\r\n Please write your full name and address on the registration form.
