word,meaning,pronunciation,syllables,partOfSpeech,example
passport,"여권",/ˈpɑːspɔːt/,p-assp-ort,noun,"'passport'는 다른 나라를 여행할 때 자신의 신분과 국적을 증명하기 위해 정부가 발행하는 공식 문서, 즉 '여권'을 의미합니다."
password,"비밀번호, 암호",/ˈpæswɜːd/,p-assw-ord,noun,"'password'는 컴퓨터, 웹사이트, 계정 등에 접근하기 위해 사용하는 비밀 단어나 문자열, 즉 '비밀번호' 또는 '암호'를 의미합니다."
pasta,"파스타",/ˈpɐːstə/,p-ast-a,noun,"'pasta'는 밀가루와 물, 때로는 달걀을 반죽하여 만든 이탈리아 국수 요리를 총칭하는 단어입니다."
pastry,"페이스트리",/ˈpeɪstɹi/,p-astr-y,noun,"'pastry'는 밀가루, 지방, 물을 반죽하여 바삭하게 구운 파이나 타르트 같은 과자류를 총칭하는 단어입니다."
patent,"특허(권)",/ˈpeɪtənt/,p-at-ent,noun,"'patent'는 발명가가 자신의 발명품에 대해 갖는 독점적인 법적 권리, 즉 '특허' 또는 '특허권'을 의미합니다."
patience,"인내심, 참을성",/ˈpeɪʃəns/,p-at-ienc-e,noun,"'patience'는 어렵거나 시간이 걸리는 상황을 불평 없이 기다리거나 견뎌내는 능력, 즉 '인내심'이나 '참을성'을 의미합니다."
patron,"(가게·식당 등의) 고객, 단골",/ˈpeɪ.tɹən/,p-atr-on,noun,"'patron'은 특정 가게, 식당, 호텔 등을 정기적으로 이용하는 '단골손님'이나 '고객'을 의미하며, 예술가나 단체를 후원하는 '후원자'를 뜻하기도 합니다."
payable,"지불해야 하는",/ˈpeɪəbl̩/,p-ayabl-e,adjective,"'payable'은 정해진 날짜에 '지불해야 하는' 의무가 있음을 나타내는 형용사입니다. 'payable to ~'는 '~에게 지불해야 하는'이라는 의미입니다."
paycheck,"급여, 월급",,p-aych-eck,noun,"'paycheck'은 일을 한 대가로 받는 돈, 즉 '급여'나 '월급'을 의미하는 비격식적인 단어입니다. 원래는 '급여 수표'를 뜻했습니다."
payroll,"급여 대상자 명단; 급여 총액",/ˈpeɪɹəʊl/,p-ayr-oll,noun,"'payroll'은 회사에서 급여를 지급해야 할 모든 직원의 '명단' 또는 그들에게 지급되는 '급여 총액'을 의미합니다. 'be on the payroll'은 '~에 고용되어 있다'는 뜻입니다."
pedestrian,"보행자",/pəˈdɛst.ɹi.ən/,p-ed-estr-ian,noun,"'pedestrian'은 차를 이용하지 않고 길을 걸어 다니는 사람, 즉 '보행자'를 의미합니다."
penalize,"처벌하다, 벌칙을 주다",/ˈpiː.nəl.aɪz/,p-en-al-iz-e,verb,"'penalize'는 규칙이나 법을 어긴 것에 대해 벌을 주거나 불리한 상황에 놓이게 하다, 즉 '처벌하다' 또는 '벌칙을 가하다'라는 의미입니다."
pepper,"후추; 피망",/ˈpɛpə/,p-epp-er,noun,"'pepper'는 음식의 맛을 내는 향신료인 '후추'를 의미하며, 채소의 일종인 '피망'이나 '고추'를 뜻하기도 합니다."
performer,"공연자, 연기자",/pəˈfɔːmə/,p-erf-orm-er,noun,"'performer'는 관객 앞에서 연기, 연주, 노래 등을 하는 사람, 즉 '공연자'나 '연기자'를 총칭하는 단어입니다."
periodical,"정기 간행물",,p-er-iod-ic-al,noun,"'periodical'은 주간지, 월간지, 계간지처럼 매일이 아닌, 정해진 주기를 두고 발행되는 '정기 간행물'이나 '잡지'를 의미합니다."
periodically,"정기적으로",,p-er-iod-ic-all-y,adverb,"'periodically'는 일정한 시간 간격을 두고 반복적으로, 즉 '정기적으로'라는 의미를 가진 부사입니다."
permanently,"영구적으로, 영원히",/ˈpɜːmənəntli/,p-erm-an-entl-y,adverb,"'permanently'는 일시적이거나 임시적인 것이 아니라, 앞으로 계속 변하지 않고 '영구적으로' 또는 '영원히'라는 의미를 나타내는 부사입니다."
personalize,"개인의 필요에 맞추다",,p-ers-on-al-iz-e,verb,"'personalize'는 일반적인 물건이나 서비스를 특정 개인의 이름, 취향, 필요에 맞게 만드는 것, 즉 '개인화하다'라는 의미의 동사입니다."
pet,"애완동물",/pɛt/,p-et,noun,"'pet'은 즐거움을 위해 집에서 기르는 동물, 즉 '애완동물'을 의미합니다."
petition,"탄원(서), 청원(서)",/pəˈtɪ.ʃən/,p-et-it-ion,noun,"'petition'은 어떤 것을 바꾸거나 요구하기 위해 많은 사람들의 서명을 받아 정부나 기관에 공식적으로 제출하는 문서, 즉 '탄원서'나 '청원서'를 의미합니다."
pharmaceutical,"제약의",/ˌfɑɹməˈs(j)utɪkl̩/,ph-arm-ac-eut-ic-al,adjective,"'pharmaceutical'은 의약품을 만들고 판매하는 것과 관련된, 즉 '제약의'라는 의미를 가진 형용사입니다. 명사로는 '제약 회사'나 '의약품'을 뜻하기도 합니다."
pharmacist,"약사",/ˈfɑɹməsɪst/,ph-arm-ac-ist,noun,"'pharmacist'는 의사의 처방에 따라 약을 조제하고 판매할 자격을 가진 전문인, 즉 '약사'를 의미합니다."
pharmacy,"약국",/ˈfɑːməsi/,ph-arm-ac-y,noun,"'pharmacy'는 약을 조제하고 판매하는 장소, 즉 '약국'을 의미합니다."
photocopier,"복사기",,ph-ot-oc-op-ier,noun,"'photocopier'는 문서나 그림을 복사하는 기계, 즉 '복사기'를 의미합니다. 줄여서 'copier'라고도 합니다."
photocopy,"복사(본)",,ph-ot-oc-op-y,noun,"'photocopy'는 복사기로 만든 '복사본' 또는 복사하는 행위 자체를 의미합니다. 줄여서 'copy'라고도 합니다."
photographer,"사진작가",/fəˈtɒɡɹəfə/,ph-ot-ogr-aph-er,noun,"'photographer'는 사진 찍는 것을 직업으로 하는 사람, 즉 '사진작가'나 '사진사'를 의미합니다."
photography,"사진술, 사진 촬영",/fəˈtɒɡɹəfi/,ph-ot-ogr-aph-y,noun,"'photography'는 사진을 찍는 기술이나 예술, 즉 '사진술' 또는 '사진 촬영'을 의미합니다."
physician,"의사 (특히 내과 의사)",/fɪˈzɪʃən/,ph-ys-ic-ian,noun,"'physician'은 환자를 진찰하고 치료하는 '의사'를 의미하는 격식 있는 단어이며, 특히 수술을 하지 않는 '내과 의사'를 가리키는 경우가 많습니다."
physics,"물리학",/ˈfɪz.ɪks/,ph-ys-ics,noun,"'physics'는 물질, 에너지, 힘, 운동 등 자연의 기본적인 원리를 연구하는 과학 분야, 즉 '물리학'을 의미합니다."
picnic,"소풍, 피크닉",/ˈpɪknɪk/,p-icn-ic,noun,"'picnic'은 주로 날씨 좋은 날 야외에 나가 음식을 먹으며 즐거운 시간을 보내는 것, 즉 '소풍'을 의미합니다."
pie,"파이",/paɪ/,p-ie,noun,"'pie'는 과일, 고기, 채소 등을 채워 넣고 밀가루 반죽으로 덮어 오븐에 구운 음식, 즉 '파이'를 의미합니다."
pill,"알약",/pɪl/,p-ill,noun,"'pill'은 삼키기 쉽게 작고 둥글게 만든 고체 형태의 약, 즉 '알약'을 의미합니다."
pillow,"베개",/ˈpɪləʊ/,p-ill-ow,noun,"'pillow'는 잠을 잘 때 머리를 받치는 침구, 즉 '베개'를 의미합니다."
pizza,"피자",/ˈpiːt.sə/,p-izz-a,noun,"'pizza'는 둥글고 납작한 빵 위에 토마토소스, 치즈, 여러 토핑을 얹어 구운 이탈리아 음식, 즉 '피자'를 의미합니다."
placement,"배치; 실습",/ˈpleɪsmənt/,pl-ac-em-ent,noun,"'placement'는 사람이나 사물을 적절한 위치에 놓는 '배치'라는 의미와, 학생들이 실무 경험을 쌓기 위해 일정 기간 동안 직장에서 일하는 '현장 실습'이라는 의미로 사용됩니다."
planner,"플래너, 일정 관리표; 계획가",/ˈplænɚ/,pl-ann-er,noun,"'planner'는 일정이나 계획을 기록하고 관리하는 수첩이나 앱, 즉 '플래너'를 의미하며, 계획을 잘 세우는 '계획가'를 뜻하기도 합니다."
plausible,"그럴듯한, 타당해 보이는",/ˈplɔːz.ə.bəl/,pl-aus-ibl-e,adjective,"'plausible'은 어떤 설명이나 변명이 완전히 사실인지는 모르지만, 논리적으로 가능성이 있어 '그럴듯하게 들리는' 또는 '타당해 보이는' 상태를 묘사하는 형용사입니다."
plow,"쟁기",,pl-ow,noun,"'plow' 또는 'plough'는 농사를 짓기 위해 땅을 갈아엎는 데 사용하는 농기구, 즉 '쟁기'를 의미합니다."
plug,"플러그; (틈을) 막다",/plʌɡ/,pl-ug,noun,"'plug'는 전기 기구를 콘센트에 연결하는 부분인 '플러그'를 의미하는 명사와, 구멍이나 틈을 '막다'라는 의미의 동사로 쓰입니다."
plumber,"배관공",/ˈplʌmə/,pl-umb-er,noun,"'plumber'는 건물에 수도관, 배수관, 난방 장치 등을 설치하고 수리하는 일을 하는 전문 기술자, 즉 '배관공'을 의미합니다."
