word,meaning,pronunciation,syllables,partOfSpeech,example
hands-on,"직접 해보는, 실무의",ˈhan(d)z-ˈȯn,hands-on,adjective,"'hands-on'은 이론만이 아닌, 실제 행동을 통해 직접 경험하는, 즉 '실습의' 또는 '실무적인'이라는 의미의 형용사입니다. (예: hands-on experience - 실무 경험)"
ideal,"이상적인",ī-ˈdē(-ə)l,ide-al,adjective,"'ideal'은 생각할 수 있는 것 중 가장 완벽하고 최상의 상태, 즉 '이상적인'이라는 의미의 형용사입니다."
identical,"동일한",ī-ˈden-ti-kəl,iden-ti-cal,adjective,"'identical'은 모든 면에서 두 개 이상의 대상이 완전히 똑같은, 즉 '동일한' 상태를 나타내는 형용사입니다."
immediate,"즉각적인; 바로 옆의",i-ˈmē-dē-ət,im-me-di-ate,adjective,"'immediate'는 시간적으로 지체 없는 '즉각적인'이라는 의미와, 공간적으로 바로 '옆에 있는', '직속의'라는 두 가지 주요 의미를 가집니다."
immense,"엄청난, 어마어마한",i-ˈmen(t)s,im-mense,adjective,"'immense'는 크기, 양, 정도 등이 측정하기 어려울 정도로 '거대한' 또는 '엄청난'이라는 의미의 형용사입니다."
impressive,"인상적인",im-ˈpre-siv,im-pres-sive,adjective,"'impressive'는 뛰어난 솜씨나 규모 등으로 깊은 감명이나 존경심을 불러일으키는, 즉 '인상적인'이라는 의미의 형용사입니다."
incidental,"부수적인",ˌin(t)-sə-ˈden-tᵊl,in-ci-den-tal,adjective,"'incidental'은 주요한 일에 덧붙여 발생하는 '부수적인' 또는 '중요하지 않은' 일을 묘사하는 형용사입니다. (예: incidental expenses - 부대 비용)"
inclement,"(날씨가) 궂은, 혹독한",(ˌ)in-ˈkle-mənt,in-clem-ent,adjective,"'inclement'는 비나 눈, 바람 등으로 날씨가 매우 좋지 않은, 즉 '궂은' 또는 '혹독한' 상태를 나타내는 격식 있는 단어입니다."
informative,"유익한, 정보를 많이 주는",in-ˈfȯr-mə-tiv,in-for-ma-tive,adjective,"'informative'는 유용하거나 흥미로운 정보를 많이 담고 있어 '유익한' 책, 웹사이트, 대화 등을 묘사하는 형용사입니다."
initial,"처음의, 초기의",i-ˈni-shəl,ini-tial,adjective,"'initial'은 어떤 과정이나 기간의 맨 앞부분, 즉 '처음의' 또는 '초기의'라는 의미를 가진 형용사입니다."
