word,meaning,pronunciation,syllables,partOfSpeech,example
state,The report stated that sales rose.,ˈstāt,state,타동사. 공식문체에서 자주.,"state'는 (명사) (어떤' '것'의) '존재' '방식'이나 '물리적'인 '조건', '즉' '상태'를 '의미'합니다. (동사로 '진술하다'는 뜻도 있음)\r\n Please describe the current state of the project."
stay,We stayed at a hotel.,ˈstā,stay,자동사. 전치사 주의.,"stay'는 (명사) '돛대' '버팀줄'이라는 '뜻'도 '있'으나, (동사) (어떤' '장소'나 '상태'에) '계속' '있다(머무르다, 유지하다)'는 '의미'로 '훨씬' '자주' '쓰'입니다.\r\n Please stay on the line while I transfer your call."
stimulate,The new policy stimulated growth.,ˈstim-yə-ˌlāt,stim-u-late,타동사. 수동 가능.,stimulate'는 (어떤' '활동'이나 '성장'을) '더' '활발'하게 '만들도록' '촉진'하거나 '자극'한다는 '의미'의 '동사'입니다.\r\n The new tax cuts are designed to stimulate investment.
stipulate,The contract stipulates that payment be made monthly.,ˈsti-pyə-ˌlāt,stip-u-late,타동사. 법적 문맥에서 빈출.,stipulate'는 (계약이나' '합의'의 '중요'한 '조건'으로서) (어떤' '것'을 '하거나' '하지' '않을' '것'을) '공식적'으로 '요구'하고 '명시'한다는 '의미'의 '동사'입니다.\r\n The warranty stipulates that repairs must be done by an authorized dealer.
store,Data is stored on the server.,ˈstȯr,store,타동사. 수동형 자주.,store'는 (동사) (어떤' '것'을) '나중'에 '쓰기' '위해) '안전'한 '곳'에 '두거나' '모은다(저장/보관하다)'는 '의미'입니다. (명사로 '상점'이라는 뜻도 있음)\r\n Sensitive data should be stored on a secure server.
streamline,We streamlined the workflow.,ˈstrēm-ˌlīn,stream-line,타동사. 수동 가능.,"streamline'은 (명사) '유선형'이라는 '뜻'도 '있'으나, (동사) (조직'이나 '과정' '등'을) '더' '단순'하고 '효율적'으로 '만든다(간소화하다)'는 '의미'로 '자주' '쓰'입니다.\r\n The company is looking for ways to streamline its operations."
strive,We strive to achieve excellence.,ˈstrīv,strive,자동사. 수동 불가.,strive'는 (어떤' '것'을 '성취'하기 '위해) '진지'한 '노력'이나 '에너지'를 '쏟는다(애쓰다)'는 '의미'의 '동사'입니다.\r\n We must strive to meet the deadline.
submit,Please submit the form to HR.,səb-ˈmit,sub-mit,타동사. 수동형 자주.,"submit'는 (권위'에 '굴복하다)라는 '뜻' '외'에, (서류,' '지원서,' '보고서' '등'을) '(검토' '받기' '위해) '공식적'으로 '낸다(제출하다)'는 '의미'로 '자주' '쓰'입니다.\r\n Applicants must submit all required documents by March 1st."
substitute,You can substitute honey for sugar.,ˈsəb-stə-ˌtüt,sub-sti-tute,substitute A for B(=B를 A로 대체).,"substitute'는 (명사) (어떤' '사람'이나 '사물'의) '자리'나 '기능'을 '대신'하는 '사람' '또는' '물건'(대리인, '대체물)을 '의미'합니다.\r\n A substitute will teach the class while Mr. Brown is away."
subtract,Subtract 10 from 50.,səb-ˈtrakt,sub-tract,수학 표현. 전치사 from 고정.,subtract'는 (어떤' '수'나 '양'을) (다른' '것'에서) '덜어내'거나 '뺀다(공제하다)'는 '의미'의 '동사'입니다.\r\n The 10% discount will be subtracted from the total amount at checkout.
succeed,She succeeded in business. / He succeeded his father.,sək-ˈsēd,suc-ceed,자동/타동 모두 가능.,"succeed'는 (성공하다)라는 '뜻' '외'에, (직위'나 '재산' '등'을) '물려받'거나 '뒤를' '잇는다'는 '의미'로 '자주' '쓰'입니다.\r\n She is expected to succeed the current CEO upon his retirement."
suggest,He suggested going out for dinner.,səg-ˈjest,sug-gest,타동사. to부정사 불가.,suggest'는 (어떤' '아이디어'나 '행동' '계획' '등'을) '고려'해 '보도록) '언급'하거나 '제안한다'는 '의미'의 '동사'입니다.\r\n We suggest booking your tickets well in advance.
