word,meaning,pronunciation,syllables,partOfSpeech,example
trademark,"상표",/ˈtɹeɪdmɑː(ɹ)k/,tr-ad-em-ark,noun,"'trademark'는 특정 회사의 상품임을 나타내기 위해 사용하는 독점적인 기호나 이름, 즉 '상표'나 '트레이드마크'를 의미합니다."
traditionally,"전통적으로",/tɹəˈdɪʃənli/,tr-ad-it-ion-all-y,adverb,"'traditionally'는 오랜 관습이나 방식을 따라서, 즉 '전통적으로'라는 의미의 부사입니다."
trainee,"교육생, 수습 직원",/tɹeɪˈni/,tr-ain-ee,noun,"'trainee'는 특정 기술이나 업무를 배우기 위해 훈련을 받고 있는 사람, 즉 '교육생'이나 '수습사원'을 의미합니다."
trainer,"트레이너, 조련사",/ˈtɹeɪnə/,tr-ain-er,noun,"'trainer'는 운동 방법을 가르쳐주는 '헬스 트레이너'나 동물을 훈련시키는 '조련사' 등 무언가를 가르치고 훈련시키는 사람을 의미합니다."
transaction,"거래",/tɹænˈzækʃən/,tr-ans-act-ion,noun,"'transaction'은 사람들 사이의 사업상 '거래'나 은행 계좌의 '입출금 내역'을 의미하는 명사입니다."
transit,"수송, 운송",/ˈtɹæn.sɪt/,tr-ans-it,noun,"'transit'은 사람이나 물품을 한 장소에서 다른 장소로 옮기는 것, 즉 '수송'이나 '운송'을 의미합니다. 'public transit'은 '대중교통'입니다."
translation,"번역, 통역",/tɹæns-/,tr-ansl-at-ion,noun,"'translation'은 한 언어를 다른 언어로 옮기는 것, 즉 '번역'(글)이나 '통역'(말)을 의미합니다."
translator,"번역가",/ˈtɹanzleɪtə/,tr-ansl-at-or,noun,"'translator'는 글을 한 언어에서 다른 언어로 옮기는 일을 전문으로 하는 사람, 즉 '번역가'를 의미합니다. 말을 옮기는 사람은 'interpreter'(통역사)라고 합니다."
transmission,"전송, 전달",/tɹænsˈmɪʃən/,tr-ansm-iss-ion,noun,"'transmission'은 신호, 데이터, 질병 등을 한 곳에서 다른 곳으로 '보내는 것', 즉 '전송'이나 '전파'를 의미하며, 자동차의 '변속기'를 뜻하기도 합니다."
transmit,"전송하다, 전달하다",/tɹænsˈmɪt/,tr-ansm-it,verb,"'transmit'은 신호나 정보를 보내거나, 질병을 옮기는 것, 즉 '전송하다' 또는 '전파하다'라는 의미의 동사입니다."
