word,meaning,pronunciation,syllables,partOfSpeech,example
stack,(heading) A pile.,/stæk/,st-ack,noun,They paid him a stack of money to keep quiet.
stadium,A venue where sporting events are held.,/ˈsteɪ.di.əm/,st-ad-ium,noun,
staple,"A town containing merchants who have exclusive right, under royal authority, to purchase or produce certain goods for export; also, the body of such merchants seen as a group.",/ˈsteɪ.pəl/,st-apl-e,noun,Rice is a staple in the diet of many cultures.
stapler,A device which binds together sheets of paper by driving a thin metal staple through the sheets and simultaneously folding over the ends of the staple against the back surface of the paper.,/ˈsteɪplə/,st-apl-er,noun,
stationery,"Writing materials, envelopes, office materials",/ˈsteɪʃ(ə)n(ə)ɹi/,st-at-ion-er-y,noun,"When school finished, he threw all of his stationery away, as he no longer had any need for pencils and exercise books."
statistics,"A mathematical science concerned with data collection, presentation, analysis, and interpretation.",/stəˈtɪstɪks/,st-at-ist-ics,noun,Statistics is the only mathematical field required for many social sciences.
statue,"A three-dimensional work of art, usually representing a person or animal, usually created by sculpting, carving, molding, or casting.",/ˈstæt.juː/,st-at-ue,noun,
steadily,In a steady manner.,/ˈstɛdɪli/,st-ead-il-y,adverb,
steak,"Beefsteak, a slice of beef, broiled or cut for broiling.",/steɪk/,st-eak,noun,
steer,A suggestion about a course of action.,/stɪə(ɹ)/,st-eer,noun,I steered homeward.
stereo,"A system of recording or reproducing sound that uses two channels, each playing a portion of the original sound in such a way as to create the illusion of locating the sound at a particular position, each offset from the other, thereby more accurately imitating the location of the original sound when the recorded or reproduced sound is heard.",/ˈstɛɹi.əʊ/,st-er-eo,noun,He liked to listen to classical music on his stereo.
sticker,Something or someone that sticks.,/ˈstɪkə(r)/,st-ick-er,noun,"When buying a car, know the sticker and the invoice price."
stimulus,"Any external phenomenon that has an influence on a system, by triggering or modifying an internal phenomenon.",/ˈstɪm.jə.ləs/,st-im-ul-us,noun,an economic stimulus
stockbroker,"A person who buys and sells shares (stock) on a stock exchange on behalf of clients. May also provide investment advice and/or company information, depending on the level of service offered (or chosen by the client).",,st-ockbr-ok-er,noun,
stockholder,One who owns stock.,/ˈstɒkhəʊldə/,st-ockh-old-er,noun,"XX are stockholders of round bar, flat bar and plate."
storeroom,A room used for storage.,,st-or-er-oom,noun,
strategic,Of or pertaining to strategy,/stɹəˈtiː.dʒɪk/,str-at-eg-ic,adjective,
streamline,A line that is tangent to the velocity of flow of a fluid; equivalent to the path of a specific particle in that flow.,,str-eaml-in-e,noun,
strictly,In a strict manner.,/ˈstɹɪktli/,str-ictl-y,adverb,He adhered strictly to the diet his doctor prescribed.
stripe,"A long, relatively straight region of a single colour.",/st(ʃ)ɹʌɪp/,str-ip-e,noun,zebra stripes
submission,The act of submitting or yielding; surrender.,/səbˈmɪʃən/,s-ubm-iss-ion,noun,Any submissions received after Friday will have marks deducted for lateness.
subscribe,"To sign up to have copies of a publication, such as a newspaper or a magazine, delivered for a period of time.",/səbˈskɹaɪb/,s-ubscr-ib-e,verb,"Would you like to subscribe or subscribe a friend to our new magazine, Lexicography Illustrated?"
subscriber,A person who subscribes to a publication or a service,/səbˈskɹaɪbəɹ/,s-ubscr-ib-er,noun,Our magazine has over ten thousand subscribers.
subscription,"Access to a resource for a period of time, generally for payment.",,s-ubscr-ipt-ion,noun,I have a monthly subscription to the Daily Telegraph newspaper.
subsidize,To assist (someone or something) by granting a subsidy.,/ˈsʌbsɪdaɪz/,s-ubs-id-iz-e,verb,
substantially,In a strong substantial manner; considerably.,,s-ubst-ant-iall-y,adverb,
subtract,To remove or reduce; especially to reduce a quantity or number,/səbˈtɹækt/,s-ubtr-act,verb,"If you subtract the $100 for gas from the total cost, it was a fairly inexpensive trip."
suburb,"A residential area located on the outskirts of a city or large town that usually includes businesses that cater to its residents; such as schools, grocery stores, shopping centers, restaurants, convenience stores, etc.",/ˈsʌbɜːb/,s-ub-urb,noun,
subway,"An underground railway, especially for mass transit of people in urban areas.",/ˈsʌbˌweɪ/,s-ubw-ay,noun,
sue,"To file a legal action against someone, generally a non-criminal action.",/suː/,s-ue,verb,to sue a ship
suitcase,"A large (usually rectangular) piece of luggage used for carrying clothes, and sometimes suits, when travelling.",/ˈsutkeɪs/,s-uitc-as-e,noun,
suite,"A retinue or company of attendants, as of a distinguished personage",/swiːt/,s-uit-e,noun,the ambassador's suite
sunny,A sunfish.,/ˈsʌni/,s-unn-y,noun,"Whilst it may be sunny today, the weather forecast is predicting rain."
sunscreen,"A cream, to be spread on the skin, containing organic compounds that absorb, and/or titanium dioxide that reflects the sun’s ultraviolet radiation.",,s-unscr-een,noun,
sunshine,"The direct rays, light or warmth of the sun.",/ˈsʌnʃaɪn/,s-unsh-in-e,noun,We were warmed by the bright sunshine.
superb,First-rate; of the highest quality; exceptionally good.,/sjuːˈpɜːb/,s-up-erb,adjective,This champagne is superb.
superior,A person of higher rank or quality.,/suːˈpɪəɹi.ə(ɹ)/,s-up-er-ior,noun,"Rebecca had always thought shorts were far superior to pants, as they didn't constantly make her legs itch."
supermarket,"A large self-service store that sells groceries and, usually, medications, household goods and/or clothing.",/ˌsuːpəˈmɑːkɪt/,s-up-erm-ark-et,noun,I went to the supermarket to buy some food.
supervise,To oversee or direct a task or organization.,,s-up-erv-is-e,verb,"Without someone to supervise them, the group will lack direction."
supervisor,"A person with the official task of overseeing the work of a person or group, or of other operations and activities.",/ˈsuːpɚˌvaɪzɚ/,s-up-erv-is-or,noun,
surf,Waves that break on an ocean shoreline.,/sɜːf/,s-urf,noun,We went of a surf this morning.
suspicious,Arousing suspicion.,/səˈspɪ.ʃəs/,s-usp-ic-ious,adjective,His suspicious behaviour brought him to the attention of the police.
sweater,"A knitted jacket or jersey, usually of thick wool, worn by athletes before or after exercise.",/ˈswetə/,sw-eat-er,noun,

