word,meaning,pronunciation,syllables,partOfSpeech,example
absent,"결석한, 없는",ˈab-sənt,ab-sent,adjective,"'absent'는 어떤 장소에 '없는' 또는 '결석한' 상태를 나타내는 형용사입니다. 주로 'be absent from ~' 형태로 '~에 결석하다'라는 의미로 사용됩니다."
accessible,"접근 가능한, 이용하기 쉬운",ik-ˈse-sə-bəl,ac-ces-si-ble,adjective,"'accessible'은 장소, 정보, 서비스 등을 '이용하기 쉬운' 또는 '접근 가능한' 상태를 나타내는 형용사입니다."
accustomed,"익숙한",ə-ˈkə-stəmd,ac-cus-tomed,adjective,"'accustomed'는 어떤 것에 반복적으로 노출되거나 경험하여 '익숙해진' 상태를 나타냅니다. 주로 'be accustomed to ~' 형태로 '~에 익숙하다'라고 쓰입니다."
additional,"추가의",ə-ˈdi-sh(ə-)nəl,ad-di-tion-al,adjective,"'additional'은 기존의 것에 더해지는, 즉 '추가의'라는 의미를 가진 형용사입니다. (예: additional charge - 추가 요금)"
adjacent,"인접한, 가까운",ə-ˈjā-sᵊnt,ad-ja-cent,adjective,"'adjacent'은 두 개의 사물이 바로 옆에 붙어 있는, 즉 '인접한' 또는 '가까운' 위치 관계를 나타냅니다. 'adjacent to ~' 형태로 '~에 인접한'이라고 쓰입니다."
administrative,"관리의, 행정의",əd-ˈmi-nə-ˌstrā-tiv,ad-min-is-tra-tive,adjective,"'administrative'는 회사나 조직의 '관리' 또는 '행정' 업무와 관련된 것을 나타내는 형용사입니다. (예: administrative staff - 행정 직원)"
advanced,"고급의; 선진의",əd-ˈvan(t)st,ad-vanced,adjective,"'advanced'는 초급 단계를 넘어선 '상급의', '고급의'라는 의미와, 기술이나 지식 수준이 높은 '선진의'라는 의미로 사용됩니다."
adverse,"부정적인, 불리한",ad-ˈvərs,ad-verse,adjective,"'adverse'는 성공이나 발전에 도움이 되지 않는, 즉 '부정적인' 또는 '불리한' 영향이나 조건을 묘사하는 격식 있는 단어입니다."
advisable,"권할 만한, 바람직한",əd-ˈvī-zə-bəl,ad-vis-able,adjective,"'advisable'은 어떤 행동을 하는 것이 현명하고 '권할 만한' 또는 '바람직한'이라는 의미의 형용사입니다."
affordable,"(가격이) 알맞은, 저렴한",ə-ˈfȯr-də-bəl,af-ford-able,adjective,"'affordable'은 가격이 너무 비싸지 않아 구매할 만한, 즉 '적당한' 또는 '저렴한'이라는 의미의 형용사입니다."
