word,meaning,pronunciation,syllables,partOfSpeech,example
amateur,A lover of something.,/ˈæ.mə.tə/,am-at-eur,noun,The contest is only open to amateurs.
ambassador,A minister of the highest rank sent to a foreign court to represent there his sovereign or country. (Sometimes called ambassador-in-residence),/æmˈbæs.ə.də(ɹ)/,amb-ass-ad-or,noun,"As front hall porter, you are an ambassador for the hotel."
ambitious,"(of a person or their character) Having or showing ambition; wanting a lot of power, honor, respect, superiority, or other distinction.",/æmˈbɪʃ.əs/,amb-it-ious,adjective,an ambitious person
amenity,Pleasantness.,/əˈmiːnəti/,am-en-it-y,noun,We especially enjoyed the amenity of the climate on our last holiday.
ample,"Large; great in size, extent, capacity, or bulk; for example spacious, roomy or widely extended.",/ˈæm.pəl/,ampl-e,adjective,an ample house
amuse,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.,/əˈmjuːz/,am-us-e,verb,I watch these movies because they amuse me.
anew,"Again, once more; afresh, in a new way, newly.",/əˈnjuː/,an-ew,adverb,"Each morning, opportunity—like the sun—dawns anew."
anniversary,A day that is an exact number of years (to the day) since a given significant event occurred. Often preceded by an ordinal number indicating the number of years.,/ˌænɪˈvɜːs(ə)ɹi/,ann-iv-ers-ar-y,noun,Today is the fiftieth anniversary of the end of the war.
announcer,One who makes announcements.,/əˈnaʊnsə/,ann-ounc-er,noun,
annoy,A feeling of discomfort or vexation caused by what one dislikes.,/əˈnɔɪ/,ann-oy,noun,"Marc loved his sister, but when she annoyed him he wanted to switch her off."
annually,"Once every year without fail, yearly",/ˈæn.jʊə.li/,ann-uall-y,adverb,
antique,A grotesque representation of a figure; a gargoyle.,/ænˈtiːk/,ant-iq-ue,noun,
anyhow,(manner) In any way or manner whatever.,/ˈæn.i.haʊ/,an-yh-ow,adverb,"Anyhow, he is dead now."
anytime,Suitable for any time; not associated with any particular time.,,an-yt-im-e,adjective,
apology,An expression of remorse or regret for having said or done something that harmed another: an instance of apologizing (saying that one is sorry).,/əˈpɒl.ə.dʒi/,ap-ol-og-y,noun,"The CEO made a public apology for the scandal, and promised full cooperation with the authorities."
appendix,Something attached to something else; an attachment or accompaniment.,/əˈpɛn.dɪks/,app-end-ix,noun,
appetizer,"A small, light, and usually savory first course in a meal",,app-et-iz-er,noun,
apple,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.",/ˈæp.əl/,appl-e,noun,
appliance,"An implement, an instrument or apparatus designed (or at least used) as a means to a specific end (often specified), especially:",/əˈplaɪəns/,appl-ianc-e,noun,
applicable,"Suitable for application, relevant",/əˈplɪkəbəl/,appl-ic-abl-e,adjective,
applicant,One who applies for something; one who makes a request; a petitioner.,/ˈæp.lə.kɪnt/,appl-ic-ant,noun,Our job advertisement attracted seven applicants.
appraisal,The act or process of developing an opinion of value.,/əˈpɹeɪzəl/,appr-ais-al,noun,
appreciation,"A fair valuation or estimate of merit, worth, weight, etc.; recognition of excellence.",/əˌpɹiː.ʃiˈeɪ.ʃən/,appr-ec-iat-ion,noun,We give to you this trophy as a token of our appreciation of all your years of service.
apprehensive,Anticipating something with anxiety or fear.,,appr-eh-ens-iv-e,adjective,
apprentice,"A trainee, especially in a skilled trade.",/əˈpɹɛntɪs/,appr-ent-ic-e,noun,He was apprenticed to a local employer.
approximate,To estimate.,,appr-ox-im-at-e,verb,"NASA's Genesis spacecraft has on board an ion monitor to record the speed, density, temperature and approximate composition of the solar wind ions."
arc,That part of a circle which a heavenly body appears to pass through as it moves above and below the horizon.,/ɑːk/,arc,noun,
architect,"A professional who designs buildings or other structures, or who prepares plans and superintends construction.",/ˈɑːkɪtɛkt/,arch-it-ect,noun,"Plato made the causes of things to be matter, ideas, and an efficient architect."
architectural,Pertaining to architecture.,/ˌɑɹkɪˈtɛktjəɹəl/,arch-it-ect-ur-al,adjective,
archive,"A place for storing earlier, and often historical, material. An archive usually contains documents (letters, records, newspapers, etc.) or other types of media kept for historical interest.",/ˈɑɹkaɪv/,arch-iv-e,noun,His archive of Old High German texts is the most extensive in Britain.
artistic,Having or revealing creative skill.,/ɑːˈtɪstɪk/,art-ist-ic,adjective,
asleep,"In a state of sleep; also, broadly, resting.",/əˈsliːp/,asl-eep,adjective,I was asleep when you called.
aspect,"Any specific feature, part, or element of something.",/ˈæspɛkt/,asp-ect,noun,Japan's aging population is an important aspect of its economy.
assemble,To put together.,/əˈsɛmbl̩/,ass-embl-e,verb,He assembled the model ship.
assembly,A set of pieces that work together in unison as a mechanism or device.,/əˈsɛmb.lɪ/,ass-embl-y,noun,"In order to change the bearing, you must first remove the gearbox assembly."
assignment,The act of assigning; the allocation of a job or a set of tasks.,,ass-ignm-ent,noun,This flow chart represents the assignment of tasks in our committee.
assurance,The act of assuring; a declaration tending to inspire full confidence; that which is designed to give confidence.,/əˈʃɔːɹəns/,ass-ur-anc-e,noun,his assurance is intolerable
athletic,Having to do with athletes.,/æθˈlɛt.ɪk/,athl-et-ic,adjective,Are you a member of the American Athletic Association?
attain,To gain (an object or desired result).,/əˈteɪn/,att-ain,verb,To attain such a high level of proficiency requires hours of practice each day.
attendant,One who attends; one who works with or watches over something.,/əˈtɛndənt/,att-end-ant,noun,Give your keys to the parking attendants and they will park your car for you.
attendee,A person who is in attendance or in the audience of an event.,,att-end-ee,noun,
attire,(clothing) One's dress; what one wears; one's clothes.,/əˈtaɪə(ɹ)/,att-ir-e,noun,"He stood there, attired in his best clothes, waiting for applause."
attorney,A lawyer; one who advises or represents others in legal matters as a profession.,/əˈtɜː(ɹ)ni/,att-orn-ey,noun,
auction,A public event where goods or property are sold to the highest bidder.,/ˈɒkʃən/,auct-ion,noun,
audit,A judicial examination.,/ɔː.dɪt/,aud-it,noun,National Assembly audit
audition,"A performance, by an aspiring performer, to demonstrate suitability or talent.",,aud-it-ion,noun,I've been to five auditions this week.
auditor,One who audits bookkeeping accounts.,/ˈɔːdɪtə(ɹ)/,aud-it-or,noun,
auditorium,A large room for public meetings or performances.,/ɔː.dɪˈtɔː.ɹɪ.əm/,aud-it-or-ium,noun,
authentic,Of the same origin as claimed; genuine.,/ɒ.ˈθɛn.tɪk/,auth-ent-ic,adjective,The experts confirmed it was an authentic signature.
authority,The power to enforce rules or give orders.,/ɔːˈθɒɹəti/,auth-or-it-y,noun,"I have the authority to penalise the staff in my department, but not the authority to sack them."
authorization,Permission.,,auth-or-iz-at-ion,noun,I've got authorization. Call the office and you'll see.
authorize,To grant (someone) the permission or power necessary to do (something).,/ˈɑθəɹaɪz/,auth-or-iz-e,verb,The General Assembly authorized the Council to take up the matter.
auto,An automobile.,/ˈɑtoʊ/,aut-o,noun,My brother is an auto mechanic.
