word,meaning,pronunciation,syllables,partOfSpeech,example
dive,"다이빙하다, 잠수하다",/ˈdaɪv/,d-iv-e,verb,"'dive'는 물속으로 뛰어들거나 '잠수하다'라는 의미의 동사입니다. 비유적으로 주가나 기온 등이 '급락하다'는 의미로도 쓰입니다."
dividend,"배당금",/ˈdɪvɪdɛnd/,d-iv-id-end,noun,"'dividend'는 회사가 주주들에게 이익의 일부를 나누어 주는 '배당금'을 의미하는 경제 용어입니다. 수학에서는 '나누어지는 수'(피제수)를 뜻하기도 합니다."
dock,"부두, 선착장",/dɒk/,d-ock,noun,"'dock'은 배가 정박하여 승객이 타고 내리거나 화물을 싣고 내리는 장소, 즉 '부두'나 '선착장'을 의미합니다. 동사로는 '(배를) 부두에 대다'라는 뜻입니다."
documentary,"다큐멘터리, 기록물",/ˌdɒk.jəˈmɛn.tɹi/,d-oc-um-ent-ar-y,noun,"'documentary'는 실제 사건이나 사실을 바탕으로 만든 영화나 텔레비전 프로그램, 즉 '다큐멘터리'를 의미합니다."
documentation,"(증빙) 서류",/ˌdɒkjʊmənˈteɪʃən/,d-oc-um-ent-at-ion,noun,"'documentation'은 어떤 주장을 증명하거나 과정을 설명하는 데 필요한 공식적인 '서류'나 '기록'을 의미하는 셀 수 없는 명사입니다."
donate,"기부하다",/dəʊˈneɪt/,d-on-at-e,verb,"'donate'는 자선 단체나 공공 기관에 돈이나 물건을 대가 없이 주는 것, 즉 '기부하다'라는 의미의 동사입니다."
donation,"기부(금)",/dəʊˈneɪʃən/,d-on-at-ion,noun,"'donation'은 기부하는 행위 또는 그 '기부금'이나 '기부 물품'을 의미하는 명사입니다."
donut,"도넛",/ˈdoʊnət/,d-on-ut,noun,"'donut' 또는 'doughnut'은 밀가루 반죽을 튀겨 만든 달콤한 빵, 즉 '도넛'을 의미합니다."
doorman,"도어맨, 문지기",,d-oorm-an,noun,"'doorman'은 호텔, 아파트, 고급 상점 등의 입구에서 문을 열어주고 손님을 맞이하는 남자 직원을 의미합니다."
dose,"(약의) 1회 복용량",/dəʊs/,d-os-e,noun,"'dose'는 한 번에 먹거나 투여해야 하는 약의 정해진 양, 즉 '1회 복용량'을 의미합니다."
