word,meaning,pronunciation,syllables,partOfSpeech,example,sentence
jam,잼; 교통 체증,/ˈdʒæːm/,j-am,noun,"'jam'은 과일을 설탕과 함께 졸여 만든 '잼'이라는 의미와, 차가 많이 막히는 '교통 체증'(traffic jam)이라는 두 가지 주요 의미를 가집니다.",All staff must ____ to the new safety regulations.
jazz,재즈,/d͡ʒæz/,j-azz,noun,"'jazz'는 20세기 초 미국 남부의 아프리카계 미국인 사회에서 유래한 음악 장르로, 즉흥 연주와 독특한 리듬이 특징인 '재즈'를 의미합니다.",All staff must ____ to the new safety regulations.
jeans,청바지,/d͡ʒiːnz/,j-eans,noun,"'jeans'는 데님(denim)이라는 질긴 면직물로 만든 바지, 즉 '청바지'를 의미하며, 항상 복수형으로 씁니다.",All staff must ____ to the new safety regulations.
jet,제트기; 분출,/dʒɛt/,j-et,noun,"'jet'는 제트 엔진으로 나는 매우 빠른 비행기인 '제트기'(jet plane)를 의미하며, 좁은 구멍에서 액체나 가스가 강하게 '분출'되는 것을 뜻하기도 합니다.",All staff must ____ to the new safety regulations.
jewelry,"보석류, 장신구",,j-ew-elr-y,noun,"'jewelry'는 반지, 목걸이, 귀걸이 등 몸을 장식하는 물건들을 총칭하는 단어, 즉 '보석류'나 '장신구'를 의미하는 셀 수 없는 명사입니다.",All staff must ____ to the new safety regulations.
jog,조깅하다,/dʒɒɡ/,j-og,verb,"'jog'는 건강을 위해 천천히 꾸준한 속도로 달리는 것, 즉 '조깅하다'라는 의미의 동사입니다.",All staff must ____ to the new safety regulations.
journalism,"저널리즘, 언론 활동",/ˈdʒɜːn(ə)lɪzəm/,j-ourn-al-ism,noun,"'journalism'은 신문, 방송, 잡지, 인터넷 등을 통해 대중에게 뉴스와 정보를 수집하고 전달하는 모든 활동, 즉 '저널리즘' 또는 '언론계'를 의미합니다.",All staff must ____ to the new safety regulations.
juice,"주스, 즙",/d͡ʒuːs/,j-uic-e,noun,"'juice'는 과일이나 채소에서 짜낸 액체, 즉 '주스'나 '즙'을 의미합니다.",All staff must ____ to the new safety regulations.
junior,"손아랫사람, 후배; 하급의",/ˈdʒuːnɪə/,j-un-ior,adjective,"'junior'는 나이나 지위가 더 낮은 '손아랫사람' 또는 '후배'를 의미하며, (미국의 4년제 대학/고등학교에서) 3학년을 뜻하기도 합니다. 'senior'(선배)의 반대말입니다.",All staff must ____ to the new safety regulations.
junk,"쓸모없는 물건, 쓰레기",/dʒʌŋk/,j-unk,noun,"'junk'는 가치가 없거나 쓸모가 없어 버려야 할 낡은 물건, 즉 '쓰레기'나 '폐물'을 의미하는 비격식적인 단어입니다. 'junk food'(정크 푸드)라는 표현으로도 널리 쓰입니다.",All staff must ____ to the new safety regulations.
keyboard,"키보드, 건반",/ˈkiːbɔːd/,k-eyb-oard,noun,"'keyboard'는 컴퓨터에 문자를 입력하는 '키보드'와, 피아노나 오르간 같은 악기의 '건반'이라는 두 가지 주요 의미를 가집니다.",All staff must ____ to the new safety regulations.
kilogram,킬로그램,/ˈkɪləɡɹæm/,k-il-ogr-am,noun,"'kilogram'은 질량을 재는 기본 단위로, 1000그램에 해당하는 '킬로그램(kg)'을 의미합니다.",All staff must ____ to the new safety regulations.
kilometer,킬로미터,/kɪˈlɒmɪtə/,k-il-om-et-er,noun,"'kilometer'는 거리를 재는 단위로, 1000미터에 해당하는 '킬로미터(km)'를 의미합니다.",All staff must ____ to the new safety regulations.
kit,(특정 목적용) 도구 한 세트,/kɪt/,k-it,noun,"'kit'는 특정 활동이나 목적에 필요한 도구나 장비를 모아 놓은 한 세트, 즉 '도구 상자'를 의미합니다. (예: first-aid kit - 구급상자)",All staff must ____ to the new safety regulations.
knowledgeable,"아는 것이 많은, 박식한",/ˈnɑl.ɪd͡ʒ.ə.bəl/,kn-owl-edg-eabl-e,adjective,'knowledgeable'은 특정 주제에 대해 많은 것을 알고 있어 '박식한' 또는 '정통한' 사람을 묘사하는 형용사입니다.,All staff must ____ to the new safety regulations.
lab,실험실,/læb/,l-ab,noun,"'lab'은 'laboratory'의 줄임말로, 과학 실험이나 연구를 하는 장소인 '실험실'을 의미하는 비격식적인 단어입니다.",All staff must ____ to the new safety regulations.
ladder,사다리,/ˈladə/,l-add-er,noun,'ladder'는 높은 곳을 오르내릴 때 사용하는 '사다리'를 의미합니다. 비유적으로 성공이나 계급 상승의 '단계'나 '수단'을 뜻하기도 합니다.,All staff must ____ to the new safety regulations.
lamp,"램프, 등",/læmp/,l-amp,noun,"'lamp'는 빛을 내는 기구, 즉 '램프'나 '등'을 의미하며, 주로 탁자 위에 놓는 스탠드 형태의 조명 기구를 가리킵니다.",All staff must ____ to the new safety regulations.
landlord,"집주인, 임대주",/ˈlænd.lɔːd/,l-andl-ord,noun,"'landlord'는 집, 아파트, 사무실 등 부동산을 소유하고 다른 사람에게 세를 내주는 사람, 즉 '집주인'을 의미합니다.",All staff must ____ to the new safety regulations.
