word,meaning,pronunciation,syllables,partOfSpeech,example
upcoming,"다가오는",,upc-om-ing,adjective,"'upcoming'은 시간적으로 곧 일어날, 즉 '다가오는' 행사나 사건을 묘사하는 형용사입니다."
upgrade,"업그레이드(하다), 개선(하다)",/ˈʌp.ɡɹeɪd/,upgr-ad-e,verb,"'upgrade'는 컴퓨터 시스템, 좌석, 서비스 등의 품질이나 등급을 더 좋은 것으로 '향상시키다'라는 의미의 동사이며, 그 '개선' 자체를 의미하는 명사로도 쓰입니다."
upstairs,"위층(에)",/ˈʌpˌstɛəz/,upst-airs,adverb,"'upstairs'는 건물의 '위층에' 또는 '위층으로'라는 의미의 부사이며, '위층'이라는 명사로도 쓰입니다. 'downstairs'(아래층에)의 반대말입니다."
urgent,"긴급한",/ˈɜːdʒənt/,urg-ent,adjective,"'urgent'는 즉각적인 관심이나 조치가 필요한, 즉 '긴급한' 또는 '시급한' 상황을 나타내는 형용사입니다."
urgently,"급히, 서둘러",,urg-entl-y,adverb,"'urgently'는 어떤 일이 매우 중요하여 '급히' 또는 '서둘러서' 처리해야 함을 나타내는 부사입니다."
usage,"사용(법)",/ˈjuːsɪd͡ʒ/,us-ag-e,noun,"'usage'는 단어나 언어의 '사용법' 또는 전기, 물 등의 '사용량'을 의미하는 명사입니다."
utility,"공공 서비스 (전기, 수도 등); 유용성",/juːˈtɪl.ɪ.ti/,ut-il-it-y,noun,"'utility'는 전기, 수도, 가스 등 생활에 필수적인 '공공 서비스'를 의미하며(주로 복수형 utilities), 어떤 것이 '쓸모 있음' 또는 '유용성'을 뜻하기도 합니다."
vacancy,"빈자리, 공석; 빈방",/ˈveɪkənsi/,v-ac-anc-y,noun,"'vacancy'는 채용 예정인 '빈 일자리'(공석)나 호텔 등의 '빈방'을 의미합니다."
vacant,"비어 있는",/ˈveɪkənt/,v-ac-ant,adjective,"'vacant'는 집, 방, 좌석, 일자리 등이 아무도 사용하거나 차지하고 있지 않은, 즉 '비어 있는' 상태를 나타내는 형용사입니다."
vacate,"(집·방 등을) 비우다",,v-ac-at-e,verb,"'vacate'는 머물던 집, 호텔 방, 사무실 등을 '비우고 떠나다'라는 의미의 동사입니다."
vacation,"휴가",/veɪˈkeɪʃ(ə)n/,v-ac-at-ion,noun,"'vacation'은 일이나 학업을 쉬는 기간, 즉 '휴가'나 '방학'을 의미합니다."
