word,meaning,pronunciation,syllables,partOfSpeech,example
replace,They replaced the old printer with a new one.,ri-ˈplās,re-place,with 구조 중요.,"replace'는 (낡'거나 '고장' '난' '것,' '혹은' '사람'을) '새로운' '것'으로 '바꾸거나' '대신'한다는 '의미'의 '동사'입니다.\r\n We need to replace the old printer with a new model."
report,The team reported the results. / He reported on the issue.,ri-ˈpȯrt,re-port,"자동사(on), 타동사 모두 가능.","report'는 (명사) (업무,' '연구,' '사건' '등'에 '대한) '공식적'인 '글'이나 '문서', '즉' '보고서'를 '의미'합니다.\r\n The sales report must be submitted by the end of the day."
represent,The lawyer represented the client.,ˌre-pri-ˈzent,rep-re-sent,타동사. 수동 가능.,represent'는 (어떤' '그룹'이나 '회사'를) '대신'하여 '공식적'으로 '행동'하거나 '말한다(대표하다)'는 '의미'의 '동사'입니다.\r\n Mr. Lee will represent our company at the conference.
request,We requested more information.,ri-ˈkwest,re-quest,타동사. for 사용 X.,"request'는 (명사) (어떤' '것'을 '해달'라고) '공식적'이고 '정중'하게 '부탁'하는 '행위', '즉' '요청'을 '의미'합니다.\r\n All requests for vacation must be approved by a manager."
require,The job requires experience. / The task requires you to work late.,ri-ˈkwī(-ə)r,re-quire,5형식(to부정사 보어형) 가능.,require'는 (규칙'이나 '필요'에 '의해) (어떤' '것'이) '반드시' '있어야' '하거나' '행해져야' '함'을 '의미'하는 '동사'입니다.\r\n This position requires at least five years of experience.
reserve,Please reserve a seat for me.,ri-ˈzərv,re-serve,타동사. 수동형 자주.,"reserve'는 (좌석,' '방,' '테이블' '등'을) '미리' '확보'하여 '사용'할 '수' '있도록 '예약한다'는 '의미'의 '동사'입니다.\r\n I would like to reserve a meeting room for this afternoon."
resign,She resigned from her position.,ri-ˈzīn,re-sign,자동사 + from. 수동 불가.,resign'은 (직위'나 '일자리'에서) '공식적'으로 '물러난다(사임하다)'는 '의미'의 '동사'입니다.\r\n The CEO announced that he will resign at the end of the year.
resolve,They resolved the issue. / He resolved to try again.,ri-ˈzälv,re-solve,타/자동 둘 다 가능.,"resolve'는 (문제,' '불만,' '갈등' '등'을) '성공적'으로 '다루어' '분명'하게 '끝낸다(해결하다)'는 '의미'의 '동사'입니다.\r\n Our technical support team will help you resolve the issue quickly."
restore,The project restored the building to its original state.,ri-ˈstȯr,re-store,to + 상태 구조.,restore'는 (이전'의 '좋은' '상태'나 '기능' '등'을) '다시' '되찾'거나 '회복시킨다(복구하다)'는 '의미'의 '동사'입니다.\r\n Service has been restored after the temporary network outage.
restrict,Access is restricted to members only.,ri-ˈstrikt,re-strict,수동형 + to 구조 자주.,"restrict'는 (어떤' '것'의 '범위,' '양,' '자유' '등'을) '일정' '한도' '내'로 '막거나' '제한한다'는 '의미'의 '동사'입니다.\r\n Access to this area is restricted to authorized personnel only."
result,The error resulted in delay.,ri-ˈzəlt,re-sult,자동사. 수동 불가.,"result'는 (동사, 'result' 'from'/'in' '형태'로) (어떤' '것'이) '결과'로서 '생겨나거나' (어떤' '결과'를 '초래'한다)는 '의미'입니다.\r\n The errors resulted from a flaw in the software."
resume,She resumed work after the break.,ri-ˈzüm,re-sume,타동사. 수동형 자주.,resume'는 (잠시' '중단'되었던) '활동'이나 '상태'를 '다시' '시작한다(재개하다)'는 '의미'의 '동사'입니다. (참고: 명사 이력서는 [ˈre-zə-ˌmā]로 발음이 다름)\r\n We will resume the meeting after a 15-minute break.
retain,The company retained its employees.,ri-ˈtān,re-tain,타동사. continue와 유사.,retain'은 (어떤' '것'을) '잃지' '않고' '계속' '가지고' '있거나' '보유한다'는 '의미'의 '동사'입니다.\r\n The company must work hard to retain its best employees.
