word,meaning,pronunciation,syllables,partOfSpeech,example
predict,Experts predicted that sales would rise.,pri-ˈdikt,pre-dict,타동사. 수동형 가능.,"predict'는 (관찰,' '경험,' '과학적' '이유' '등'에 '근거'하여) (미래'의 '일'을) '미리' '선언'하거나 '예측한다'는 '의미'의 '동사'입니다.\r\n Analysts predict that the market will continue to grow."
prefer,I prefer tea to coffee.,pri-ˈfər,pre-fer,to + 비교대상.,prefer'는 (다른' '것'보다) (어떤' '것'을) '더' '좋아하거나' '선호한다'는 '의미'의 '동사'입니다.\r\n Many customers prefer online shopping for its convenience.
present,They presented him with an award.,ˈpre-zᵊnt,pres-ent,사람+with 구조 빈출.,"present'는 (형용사) (특정' '장소'에) '존재'하거나 '참석'한 '상태'를 '의미'합니다. (명사로 '선물', '현재'라는 '뜻'도 '있'습니다.)\r\n All managers must be present at the mandatory meeting."
process,The system processes payments automatically.,ˈprä-ˌses,pro-cess,타동사. 수동형 가능.,"process'는 (명사) (어떤' '결과'에 '이르기'까지의) '연속적'인 '행동' '단계', '즉' '과정'이나 '절차'를 '의미'합니다. (동사로 '처리하다'는 '뜻'도 '있'습니다.)\r\n The hiring process can take up to four weeks."
prohibit,The policy prohibits students from smoking.,prō-ˈhi-bət,pro-hib-it,from + 동명사 구조.,prohibit'는 (권위'를 '가지고) (어떤' '행동'이나 '물건'을) '법률'이나 '규칙'으로 '엄격'하게 '금지한다'는 '의미'의 '동사'입니다.\r\n Smoking is strictly prohibited inside the building.
prolong,Stress can prolong recovery.,prə-ˈlȯŋ,pro-long,타동사. 수동형 가능.,prolong'은 (시간'이나 '기간'을) '더' '길게' '늘이거나' '연장시킨다'는 '의미'의 '동사'입니다.\r\n Any further delays will only prolong the project timeline.
promote,She was promoted to manager.,prə-ˈmōt,pro-mote,수동형 자주. to + 직위.,"promote'는 (누군가를) '더' '높은' '직급'으로 '올리다(승진시키다)', '혹은' (제품'이나 '서비스'를) '널리' '알리다(홍보하다)'라는 '의미'의 '동사'입니다.\r\n Ms. Evans was promoted to Senior Manager last week."
prove,The plan proved successful.,ˈprüv,prove,타/자동 모두 가능. C보어 자주.,prove'는 (증거'나 '논리'를 '통해) (어떤' '것'이) '사실'이거나 '유효'함'을 '확립'한다는 '의미'의 '동사'입니다.\r\n This new strategy has proven to be very effective.
provide,The hotel provides guests with breakfast.,prə-ˈvīd,pro-vide,사람+with 구조.,provide'는 (필요'하거나 '원하는' '것'을) '쓸' '수' '있도록' '공급'하거나 '이용' '가능'하게 '만든다'는 '의미'의 '동사'입니다.\r\n The hotel provides free Wi-Fi for all guests.
publicize,The company publicized its new campaign.,ˈpə-blə-ˌsīz,pub-li-cize,타동사. announce와 유사.,publicize'는 (대중'의 '관심'을 '끌기' '위해) (어떤' '것'을) '널리' '알리'거나 '광고'한다는 '의미'의 '동사'입니다.\r\n We need to publicize the upcoming charity event more effectively.
publish,The author published a novel.,ˈpə-blish,pub-lish,타동사. 수동형 가능.,"publish'는 (책'이나 '잡지'를) '출판하다'는 '뜻' '외'에, (보고서' '등'의 '정보'를) '공식적'으로 '일반'에 '알린다'는 '의미'로도 '쓰'입니다.\r\n The company will publish its annual report next week."
purchase,We purchased new equipment.,ˈpər-chəs,pur-chase,타동사. buy의 격식형.,purchase'는 (돈'이나 '그에' '상응'하는 '것'을 '지불'하고) '물건'을 '얻는다(구매하다)'는 '의미'의 '동사' '및' '명사'입니다. (buy보다' '격식' '있음)\r\n All purchases over $50 are eligible for free shipping.
put off,Don’t put off doing your homework.,ˈpu̇t-ˈȯf,put off,타동사. postpone과 유사.,put off'는 (어떤' '일'이나 '약속'을) '나중'으로 '미룬다(postpone)'는 '의미'의 '구동사'입니다.\r\n We had to put off the meeting due to the client's schedule.
quote,She quoted a line from Shakespeare.,ˈkwōt,quote,타동사. from + 출처.,"quote'는 (동사) '인용하다'는 '뜻' '외'에, (명사) (서비스나' '작업'에 '대한) '예상' '비용', '즉' '견적'을 '의미'하는 '단어'로 '매우' '자주' '쓰'입니다.\r\n The contractor gave us a quote for the renovation work."
raise,They raised prices last month.,ˈrāz,raise,타동사. rise와 혼동 주의.,"raise'는 (물건'이나 '손'을) '위로' '올리다'는 '뜻' '외'에, (가격,' '임금,' '수준' '등'을) '높이다' '혹은' (자금'을) '모으다'는 '의미'로 '쓰'입니다.\r\n The company decided to raise the prices of its main products."
rank,The city ranks among the safest in the world.,ˈraŋk,rank,자동/타동 모두 가능. among 구조 중요.,"rank'는 (명사) '상대적'인 '지위'나 '순위', (동사) (어떤' '것'의) '순위'나 '등급'을 '매긴다'는 '의미'입니다.\r\n Our new product was ranked as the best in its category."
retire,She retired from the company last year.,ri-ˈtī(-ə)r,re-tire,자동사 + from. 수동 불가.,retire'는 (주로' '나이'가 '들어) '직장' '생활'을 '그만두고' '물러난다'는 '의미'의 '동사'입니다.\r\n Mr. Kim will retire next month after 30 years with the company.
reach,We finally reached an agreement.,ˈrēch,reach,타동사. to 불필요. (X reach to),"reach'는 (손'을 '뻗다)라는 '뜻' '외'에, (어떤' '장소'에) '도착하다' '혹은' (전화나' '이메일' '등'으로) '연락'이 '닿다'는 '의미'로 '자주' '쓰'입니다.\r\n You can reach our customer service team by phone or email."
recall,I can’t recall his name.,ri-ˈkȯl,re-call,타동사. 제품 회수에도 쓰임.,recall'은 (결함' '등'으로 '인해) (시중'의 '제품'을) '회수'하는 '것(리콜)'을 '의미'하는 '동사'입니다. ('기억해내다'는 '뜻'도 '있'습니다.)`\r\n The company had to recall the product due to a safety defect.
receive,She received a scholarship.,ri-ˈsēv,re-ceive,타동사. 수동형 자주.,receive'는 (어떤' '것'을) '주'는 '것'을 '받거나' '소유'하게 '된다'는 '의미'의 '동사'입니다.\r\n You will receive an email confirmation shortly after ordering.
recognize,He was recognized as a leader.,ˈre-kig-ˌnīz,rec-og-nize,as보어 구조 가능.,"recognize'는 (누군가'나 '무엇'을) '알아보다'는 '뜻' '외'에, (누군가'의 '노력'이나 '공로'를) '공식적'으로 '인정'하고 '포상'한다는 '의미'로 '자주' '쓰'입니다.\r\n The company recognized her hard work with a bonus."
recruit,The firm recruited new employees.,ri-ˈkrüt,re-cruit,타동사. 수동형 가능.,recruit'는 (회사나' '조직'에 '필요'한) '새' '구성원'을 '찾아' '뽑는다(모집하다)'는 '의미'의 '동사'입니다.\r\n We are currently recruiting experienced software developers.
