word,meaning,pronunciation,syllables,partOfSpeech,example
pole,"Originally, a stick; now specifically, a long and slender piece of metal or (especially) wood, used for various construction or support purposes.",/pɔːl/,p-ol-e,noun,Huck Finn poled that raft southward down the Mississippi because going northward against the current was too much work.
polish,A substance used to polish.,/ˈpɒlɪʃ/,p-ol-ish,noun,A good silver polish will remove tarnish easily.
polite,To polish; to refine; to render polite.,/pəˈlaɪt/,p-ol-it-e,verb,It's not polite to use a mobile phone in a restaurant.
pollute,"To make something harmful, especially by the addition of some unwanted product.",/pəˈljuːt/,p-oll-ut-e,verb,The factory polluted the river when it cleaned its tanks.
poorly,"In a poor manner or condition; without plenty, or sufficiency, or suitable provision for comfort.",/ˈpɔː(r)li/,p-oorl-y,adverb,to live poorly
popcorn,A snack food made from corn/maize kernels popped by dry heating.,/ˈpɒp.kɔː(ɹ)n/,p-opc-orn,noun,
popularity,"The quality or state of being popular; especially, the state of being esteemed by, or of being in favor with, the people at large",/ˌpɒp.jəˈlæɹ.ɪ.ti/,p-op-ul-ar-it-y,noun,Politicians are rarely known for their popularity.
portable,"A portable building used for temporary purposes, particularly:",/ˈpɔː(ɹ)təbl̩/,p-ort-abl-e,noun,a portable pension plan
portfolio,"A case for carrying papers, drawings, photographs, maps and other flat documents.",/-əʊl.jəʊ/,p-ortf-ol-io,noun,I would like to introduce you to our portfolio of services.
postage,The charge for posting an item.,/ˈpəʊstɪdʒ/,p-ost-ag-e,noun,
postal,"Relating to the collection, sorting and delivery of mail.",[ˈpəʊstl̩],p-ost-al,adjective,for all your postal needs
postcard,A rectangular piece of thick paper or thin cardboard intended to be written on and mailed without an envelope. In the case of a picture postcard one side carries a picture or photograph.,/ˈpoʊstˌkɑɹd/,p-ostc-ard,noun,to postcard one's friends
poster,"A picture of a celebrity, an event etc., intended to be attached to a wall.",/ˈpoʊstɚ/,p-ost-er,noun,"He has posters of his favorite band, sports teams and holiday resorts up."
postpone,"To delay or put off an event, appointment etc.",/poʊstˈpoʊn/,p-ostp-on-e,verb,
pottery,Fired ceramic wares that contain clay when formed.,/ˈpɒtəɹi/,p-ott-er-y,noun,The shelves were lined with pottery of all shapes and sizes.
